"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Time","Unweighted_Sample_Time","Weighted_Sample_Individuals_aged_5-16","Unweighted_Sample_Individuals_aged_5-16","Notes"
"Average trip time to school in minutes of children aged 5 to 16","2002/06","5-year rolling average","All ethnic groups","ONS 2011 5+1","18","Minutes per trip","83948","81224","1543815","1506745","12626","12996",""
"Average trip time to school in minutes of children aged 5 to 16","2002/06","5-year rolling average","Asian / Asian British","ONS 2011 5+1","18","Minutes per trip","5524","4975","99546","88085","790","765",""
"Average trip time to school in minutes of children aged 5 to 16","2002/06","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","26","Minutes per trip","2636","2595","69505","69642","376","389",""
"Average trip time to school in minutes of children aged 5 to 16","2002/06","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","21","Minutes per trip","2635","2473","54810","52175","373","370",""
"Average trip time to school in minutes of children aged 5 to 16","2002/06","5-year rolling average","Other ethnic group","ONS 2011 5+1","22","Minutes per trip","1088","1002","23655","21970","157","158",""
"Average trip time to school in minutes of children aged 5 to 16","2002/06","5-year rolling average","White","ONS 2011 5+1","18","Minutes per trip","71985","70117","1294774","1273688","10923","11308",""
"Average trip time to school in minutes of children aged 5 to 16","2003/07","5-year rolling average","All ethnic groups","ONS 2011 5+1","18","Minutes per trip","85828","84210","1579147","1566704","12778","13316",""
"Average trip time to school in minutes of children aged 5 to 16","2003/07","5-year rolling average","Asian / Asian British","ONS 2011 5+1","17","Minutes per trip","5671","5275","98008","91877","801","806",""
"Average trip time to school in minutes of children aged 5 to 16","2003/07","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","25","Minutes per trip","2953","2930","73746","74861","425","440",""
"Average trip time to school in minutes of children aged 5 to 16","2003/07","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","21","Minutes per trip","2910","2817","60813","59586","408","417",""
"Average trip time to school in minutes of children aged 5 to 16","2003/07","5-year rolling average","Other ethnic group","ONS 2011 5+1","22","Minutes per trip","1007","950","21743","20974","143","148",""
"Average trip time to school in minutes of children aged 5 to 16","2003/07","5-year rolling average","White","ONS 2011 5+1","18","Minutes per trip","73208","72176","1323311","1318221","10991","11495",""
"Average trip time to school in minutes of children aged 5 to 16","2004/08","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","84045","81990","1555839","1535658","12582","13043",""
"Average trip time to school in minutes of children aged 5 to 16","2004/08","5-year rolling average","Asian / Asian British","ONS 2011 5+1","17","Minutes per trip","5720","5232","97792","90516","806","805",""
"Average trip time to school in minutes of children aged 5 to 16","2004/08","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","25","Minutes per trip","2928","2877","74368","74147","434","448",""
"Average trip time to school in minutes of children aged 5 to 16","2004/08","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","20","Minutes per trip","2825","2741","56070","54704","395","403",""
"Average trip time to school in minutes of children aged 5 to 16","2004/08","5-year rolling average","Other ethnic group","ONS 2011 5+1","22","Minutes per trip","1241","1191","26968","26628","171","174",""
"Average trip time to school in minutes of children aged 5 to 16","2004/08","5-year rolling average","White","ONS 2011 5+1","18","Minutes per trip","71250","69884","1299111","1288472","10765","11202",""
"Average trip time to school in minutes of children aged 5 to 16","2005/09","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","82828","80747","1545983","1526221","12523","12932",""
"Average trip time to school in minutes of children aged 5 to 16","2005/09","5-year rolling average","Asian / Asian British","ONS 2011 5+1","17","Minutes per trip","6306","5849","107031","100659","878","883",""
"Average trip time to school in minutes of children aged 5 to 16","2005/09","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","26","Minutes per trip","2781","2751","72031","73006","404","421",""
"Average trip time to school in minutes of children aged 5 to 16","2005/09","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","19","Minutes per trip","2885","2849","55745","55821","406","418",""
"Average trip time to school in minutes of children aged 5 to 16","2005/09","5-year rolling average","Other ethnic group","ONS 2011 5+1","19","Minutes per trip","1243","1200","24140","23430","169","173",""
"Average trip time to school in minutes of children aged 5 to 16","2005/09","5-year rolling average","White","ONS 2011 5+1","18","Minutes per trip","69555","68043","1285927","1272304","10655","11026",""
"Average trip time to school in minutes of children aged 5 to 16","2006/10","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","Minutes per trip","80569","78997","1522896","1513181","12247","12756",""
"Average trip time to school in minutes of children aged 5 to 16","2006/10","5-year rolling average","Asian / Asian British","ONS 2011 5+1","17","Minutes per trip","6552","6189","113702","109028","898","921",""
"Average trip time to school in minutes of children aged 5 to 16","2006/10","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","25","Minutes per trip","2981","3071","74195","79087","447","479",""
