"Ethnicity","%","Pupils"
"All","42.6"
"Asian","49.5"
"Bangladeshi","48.4"
"Indian","61.9"
"Pakistani","38.6"
"Asian other","57.2"
"Black","38.4"
"Black African","43.5"
"Black Caribbean","28.7"
"Black other","32.1"
"Chinese","72.0"
"Mixed","43.2"
"Mixed White/Asian","53.9"
"Mixed White/Black African","42.8"
"Mixed White/Black Caribbean","31.1"
"Mixed other","46.7"
"White","42.0"
"White British","42.1"
"White Irish","55.0"
"Gypsy/Roma","4.7"
"Irish Traveller","9.3"
"White other","41.4"
"Other","43.6"
"Unknown","34.7"
