"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","43.5","521,202","50.7","55,183","39.2","28,609","75.9","1,856","43.9","24,531","42.7","395,716"
"Barking and Dagenham","40.4","2,199","55.7","449","42.2","619","100.0","2","30.7","127","32.7","921"
"Barnet","60.8","3,810","81.2","532","46.1","497","84.1","44","58.9","409","59.6","1,914"
"Barnsley","39.2","2,011","50.0","8","21.4","14","N/A","0","42.9","35","39.2","1,940"
"Bath and North East Somerset","47.6","2,074","52.2","23","29.2","24","100.0","5","48.9","94","48.5","1,868"
"Bedford","40.4","1,832","39.0","269","47.3","91","100.0","1","30.9","152","41.5","1,281"
"Bexley","51.3","3,032","70.7","232","61.9","620","78.8","33","44.3","194","45.8","1,901"
"Birmingham","40.1","12,166","40.5","5,017","34.5","1,489","92.9","42","37.5","864","42.4","3,992"
"Blackburn with Darwen","41.4","1,830","51.1","838","23.1","13","66.7","3","44.4","45","32.6","913"
"Blackpool","26.6","1,136","31.8","22","20.0","5","66.7","3","39.1","23","26.0","1,078"
"Bolton","39.8","3,251","49.7","698","37.7","146","80.0","5","32.1","109","37.2","2,238"
"Bournemouth","53.2","1,512","63.4","41","42.9","7","78.6","14","55.4","74","53.0","1,328"
"Bracknell Forest","45.2","1,043","54.2","59","33.3","21","0.0","1","58.5","41","44.2","911"
"Bradford","36.2","5,941","37.8","2,727","30.8","104","100.0","3","27.5","244","35.7","2,715"
"Brent","50.9","2,858","55.4","897","40.4","675","100.0","3","51.7","178","44.7","494"
"Brighton and Hove","46.7","2,169","47.4","57","25.9","58","53.8","13","47.1","191","47.2","1,775"
"Bristol, City of","41.0","3,109","44.4","261","29.6","345","76.9","13","39.9","248","42.3","2,167"
"Bromley","49.5","3,214","83.1","166","48.0","306","93.9","33","49.1","269","48.4","2,270"
"Buckinghamshire","60.8","5,665","64.2","1,021","58.3","187","83.3","18","59.6","327","59.8","4,015"
"Bury","39.4","2,113","38.1","307","17.4","46","62.5","8","30.9","97","40.4","1,618"
"Calderdale","47.9","2,410","45.6","384","30.8","26","75.0","4","42.5","73","48.8","1,909"
"Cambridgeshire","46.1","5,491","56.7","157","32.8","61","79.2","24","54.6","227","45.8","4,858"
"Camden","47.1","1,533","46.4","274","38.5","358","63.6","11","40.9","181","54.6","546"
"Central Bedfordshire","41.5","2,579","60.0","50","42.9","56","66.7","9","32.5","114","41.5","2,301"
"Cheshire East","47.9","3,537","55.7","61","41.7","12","87.5","8","41.2","85","47.9","3,328"
"Cheshire West and Chester","40.8","3,298","46.7","30","25.0","12","50.0","10","39.0","59","40.8","3,161"
"City of London","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Cornwall","38.7","5,117","50.0","16","60.0","5","33.3","6","42.7","82","38.6","4,940"
