"Ethnicity","Geography","%","Pupils"
"All","All - England","43.5","521,202"
"All","Barking and Dagenham","40.4","2,199"
"All","Barnet","60.8","3,810"
"All","Barnsley","39.2","2,011"
"All","Bath and North East Somerset","47.6","2,074"
"All","Bedford","40.4","1,832"
"All","Bexley","51.3","3,032"
"All","Birmingham","40.1","12,166"
"All","Blackburn with Darwen","41.4","1,830"
"All","Blackpool","26.6","1,136"
"All","Bolton","39.8","3,251"
"All","Bournemouth","53.2","1,512"
"All","Bracknell Forest","45.2","1,043"
"All","Bradford","36.2","5,941"
"All","Brent","50.9","2,858"
"All","Brighton and Hove","46.7","2,169"
"All","Bristol, City of","41.0","3,109"
"All","Bromley","49.5","3,214"
"All","Buckinghamshire","60.8","5,665"
"All","Bury","39.4","2,113"
"All","Calderdale","47.9","2,410"
"All","Cambridgeshire","46.1","5,491"
"All","Camden","47.1","1,533"
"All","Central Bedfordshire","41.5","2,579"
"All","Cheshire East","47.9","3,537"
"All","Cheshire West and Chester","40.8","3,298"
"All","City of London","N/A","0"
"All","Cornwall","38.7","5,117"
"All","County Durham","39.2","4,614"
"All","Coventry","37.5","3,377"
"All","Croydon","42.4","3,452"
"All","Cumbria","43.3","4,689"
"All","Darlington","44.9","1,097"
"All","Derby","38.2","2,747"
"All","Derbyshire","42.7","7,069"
"All","Devon","41.0","6,559"
"All","Doncaster","37.4","2,903"
"All","Dorset","43.8","3,989"
"All","Dudley","36.7","3,283"
"All","Ealing","52.2","2,853"
"All","East Riding of Yorkshire","46.3","3,151"
"All","East Sussex","41.4","4,665"
"All","Enfield","41.6","3,414"
"All","Essex","41.0","14,040"
"All","Gateshead","42.9","1,885"
"All","Gloucestershire","47.3","6,006"
"All","Greenwich","39.4","2,269"
"All","Hackney","46.7","2,058"
"All","Halton","32.3","1,333"
"All","Hammersmith and Fulham","54.8","1,291"
"All","Hampshire","45.2","12,497"
"All","Haringey","42.6","2,190"
"All","Harrow","51.2","2,044"
"All","Hartlepool","37.8","1,016"
"All","Havering","44.2","2,774"
"All","Herefordshire, County of","42.7","1,644"
"All","Hertfordshire","53.1","12,372"
"All","Hillingdon","47.7","3,064"
"All","Hounslow","49.2","2,666"
"All","Isle of Wight","33.3","1,070"
"All","Isles of Scilly","80.0","15"
"All","Islington","44.2","1,404"
"All","Kensington and Chelsea","53.8","718"
"All","Kent","44.2","15,516"
"All","Kingston upon Hull, City of","32.9","2,307"
"All","Kingston upon Thames","64.2","1,515"
"All","Kirklees","42.5","4,488"
"All","Knowsley","21.0","929"
"All","Lambeth","39.3","2,114"
"All","Lancashire","44.2","11,631"
"All","Leeds","40.9","7,598"
"All","Leicester","36.3","3,511"
"All","Leicestershire","43.6","6,837"
"All","Lewisham","40.7","2,104"
"All","Lincolnshire","43.0","7,255"
"All","Liverpool","35.9","4,461"
"All","Luton","35.9","2,567"
"All","Manchester","35.6","4,734"
"All","Medway","41.9","2,899"
"All","Merton","46.6","1,404"
"All","Middlesbrough","37.0","1,337"
"All","Milton Keynes","38.8","2,774"
"All","Newcastle upon Tyne","40.3","2,438"
"All","Newham","46.1","3,745"
"All","Norfolk","39.6","7,486"
"All","North East Lincolnshire","36.6","1,558"
"All","North Lincolnshire","40.9","1,680"
"All","North Somerset","43.8","2,085"
"All","North Tyneside","40.6","1,879"
"All","North Yorkshire","48.0","5,971"
"All","Northamptonshire","41.4","7,323"
"All","Northumberland","43.5","3,056"
"All","Nottingham","32.8","2,539"
"All","Nottinghamshire","45.6","7,494"
"All","Oldham","35.8","2,957"
