"","Boys","","Girls",""
"Ethnicity","%","Pupils","%","Pupils"
"All","40.0","266,906","46.7","256,720"
"Asian","48.1","28,532","52.5","27,205"
"Bangladeshi","47.6","4,620","50.6","4,764"
"Indian","59.6","7,452","64.6","7,123"
"Pakistani","38.1","11,636","42.0","11,204"
"Asian other","54.7","4,824","62.5","4,114"
"Black","34.5","14,334","42.9","14,615"
"Black African","40.0","9,143","48.6","9,215"
"Black Caribbean","22.1","3,355","31.5","3,578"
"Black other","29.8","1,836","36.6","1,822"
"Chinese","71.8","903","78.5","972"
"Mixed","40.7","12,447","46.7","12,199"
"Mixed White/Asian","52.8","2,793","56.7","2,744"
"Mixed White/Black African","37.6","1,474","44.7","1,462"
"Mixed White/Black Caribbean","27.8","3,550","35.1","3,543"
"Mixed other","44.4","4,630","50.6","4,450"
"White","39.2","202,483","46.2","194,197"
"White British","39.3","187,806","46.3","179,874"
"White Irish","54.4","832","57.2","814"
"Gypsy/Roma","3.1","517","7.3","590"
"Irish Traveller","9.1","55","10.7","56"
"White other","38.7","13,273","45.4","12,863"
"Other","40.3","4,462","47.7","4,111"
"Unknown","31.1","3,745","37.2","3,421"
