"","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Geography","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"Barking and Dagenham","55.7","48.4","62.9","42.2","36.7","48.0","100.0","N/A","100.0","30.7","19.3","40.0","32.7","31.7","33.7"
"Barnet","81.2","82.4","80.0","46.1","39.8","53.0","84.1","80.0","87.5","58.9","55.8","62.2","59.6","56.1","63.3"
"Barnsley","50.0","0.0","100.0","21.4","12.5","33.3","N/A","N/A","N/A","42.9","37.5","47.4","39.2","33.9","44.6"
"Bath and North East Somerset","52.2","50.0","53.8","29.2","25.0","33.3","100.0","100.0","100.0","48.9","48.9","49.0","48.5","43.4","53.6"
"Bedford","39.0","37.1","41.3","47.3","46.9","47.6","100.0","100.0","N/A","30.9","26.4","36.9","41.5","39.8","43.3"
"Bexley","70.7","70.6","70.8","61.9","53.7","69.1","78.8","66.7","88.9","44.3","40.4","48.0","45.8","44.5","47.1"
"Birmingham","40.5","40.5","40.6","34.5","30.4","38.8","92.9","100.0","85.0","37.5","36.4","38.6","42.4","38.5","46.5"
"Blackburn with Darwen","51.1","47.1","55.3","23.1","25.0","20.0","66.7","N/A","66.7","44.4","38.1","50.0","32.6","31.1","34.3"
"Blackpool","31.8","16.7","50.0","20.0","33.3","0.0","66.7","50.0","100.0","39.1","27.3","50.0","26.0","23.5","28.8"
"Bolton","49.7","45.5","54.3","37.7","37.0","38.4","80.0","N/A","80.0","32.1","27.8","36.4","37.2","32.4","42.3"
"Bournemouth","63.4","56.5","72.2","42.9","66.7","25.0","78.6","66.7","87.5","55.4","56.1","54.5","53.0","47.5","58.5"
"Bracknell Forest","54.2","58.1","50.0","33.3","22.2","41.7","0.0","N/A","0.0","58.5","58.3","58.8","44.2","39.6","48.8"
"Bradford","37.8","35.3","40.2","30.8","31.4","30.2","100.0","100.0","100.0","27.5","29.2","25.4","35.7","31.6","40.0"
"Brent","55.4","53.8","57.1","40.4","36.1","44.4","100.0","100.0","N/A","51.7","46.4","58.0","44.7","44.4","45.1"
"Brighton and Hove","47.4","53.6","41.4","25.9","26.9","25.0","53.8","50.0","57.1","47.1","39.2","55.3","47.2","46.2","48.3"
"Bristol, City of","44.4","40.6","48.4","29.6","29.4","29.7","76.9","75.0","77.8","39.9","36.6","43.2","42.3","37.5","46.7"
"Bromley","83.1","86.7","80.2","48.0","36.8","56.6","93.9","92.3","95.0","49.1","46.8","51.0","48.4","43.2","53.9"
"Buckinghamshire","64.2","65.3","63.0","58.3","57.1","59.4","83.3","85.7","81.8","59.6","66.7","52.2","59.8","57.9","61.7"
"Bury","38.1","39.9","36.4","17.4","20.7","11.8","62.5","75.0","50.0","30.9","28.3","34.1","40.4","39.1","41.8"
"Calderdale","45.6","43.0","48.4","30.8","36.4","26.7","75.0","66.7","100.0","42.5","47.5","36.4","48.8","44.6","52.9"
"Cambridgeshire","56.7","59.5","54.2","32.8","32.3","33.3","79.2","91.7","66.7","54.6","55.1","54.1","45.8","42.5","49.4"
"Camden","46.4","40.5","51.7","38.5","31.0","43.7","63.6","40.0","83.3","40.9","29.4","47.8","54.6","43.4","62.6"
"Central Bedfordshire","60.0","50.0","70.8","42.9","47.8","39.4","66.7","25.0","100.0","32.5","31.5","33.3","41.5","39.6","43.5"
"Cheshire East","55.7","51.6","60.0","41.7","16.7","66.7","87.5","100.0","75.0","41.2","32.0","54.3","47.9","45.1","50.7"
"Cheshire West and Chester","46.7","47.4","45.5","25.0","0.0","50.0","50.0","33.3","75.0","39.0","34.5","43.3","40.8","39.3","42.5"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","50.0","66.7","28.6","60.0","50.0","66.7","33.3","0.0","50.0","42.7","37.8","48.6","38.6","34.7","42.6"
"County Durham","53.1","56.5","44.4","54.5","50.0","66.7","83.3","100.0","50.0","42.9","52.4","35.7","39.3","36.0","42.7"
"Coventry","47.2","43.9","50.6","34.3","32.0","36.8","50.0","50.0","50.0","32.8","28.0","38.0","35.5","33.9","37.1"
"Croydon","53.2","49.6","56.8","37.7","37.3","38.1","92.3","100.0","85.7","41.3","38.2","44.0","44.6","41.5","47.2"
"Cumbria","66.7","64.3","68.8","46.7","53.8","0.0","86.7","100.0","66.7","50.8","51.9","50.0","43.2","39.5","46.9"
"Darlington","43.8","45.5","42.9","60.0","50.0","66.7","50.0","0.0","66.7","62.5","53.8","68.4","44.3","42.0","47.0"
"Derby","45.6","47.7","43.5","33.3","28.3","38.0","58.3","75.0","25.0","38.5","35.5","43.8","36.7","34.7","39.0"
"Derbyshire","57.1","56.1","58.6","37.0","37.5","36.4","83.3","100.0","66.7","41.5","39.5","43.5","42.6","37.7","47.6"
"Devon","47.8","50.0","46.7","20.0","0.0","33.3","84.6","80.0","87.5","43.1","45.8","40.0","41.1","36.8","45.8"
"Doncaster","40.0","37.0","43.9","29.6","21.4","38.5","40.0","0.0","66.7","45.6","39.0","55.6","37.1","32.5","42.0"
"Dorset","64.3","62.5","66.7","42.9","25.0","66.7","50.0","33.3","55.6","50.6","53.8","44.4","43.5","39.6","47.7"
"Dudley","43.4","37.2","49.4","23.2","22.9","23.5","75.0","100.0","50.0","30.9","25.0","37.6","37.1","32.6","41.7"
"Ealing","56.4","54.9","57.8","40.1","38.8","41.4","90.9","100.0","66.7","56.3","50.9","61.2","55.3","53.7","56.9"
"East Riding of Yorkshire","85.7","80.0","100.0","0.0","0.0","N/A","66.7","66.7","N/A","55.2","50.0","61.5","45.9","41.9","49.9"
"East Sussex","58.8","63.3","56.0","40.0","40.0","40.0","66.7","100.0","55.6","47.5","41.3","52.4","41.1","37.0","45.6"
"Enfield","64.9","59.9","70.4","36.5","33.3","39.8","82.4","62.5","100.0","45.2","39.8","51.3","38.9","35.3","42.7"
"Essex","68.4","69.2","67.5","51.1","41.6","59.2","80.5","70.0","90.5","43.2","44.0","42.4","39.6","36.1","43.4"
"Gateshead","50.0","41.9","69.2","38.1","36.4","40.0","80.0","100.0","75.0","50.0","28.6","61.5","42.5","39.7","45.4"
"Gloucestershire","58.0","54.6","62.0","35.2","28.6","41.7","60.0","50.0","71.4","48.1","46.0","50.0","47.2","43.2","51.3"
"Greenwich","46.2","47.2","45.1","39.9","33.2","46.6","62.5","50.0","83.3","40.1","34.5","46.3","37.3","37.1","37.5"
"Hackney","52.7","50.8","54.4","40.1","33.8","44.7","44.4","0.0","80.0","41.9","42.4","41.4","53.2","47.6","57.6"
"Halton","50.0","50.0","50.0","N/A","N/A","N/A","0.0","N/A","0.0","51.6","61.1","38.5","31.7","29.5","34.0"
"Hammersmith and Fulham","51.8","50.8","52.9","40.3","39.1","41.5","83.3","85.7","80.0","49.2","31.6","63.8","64.2","56.1","72.3"
"Hampshire","53.6","50.0","57.8","39.0","36.5","41.7","64.9","72.2","57.9","49.5","43.4","55.5","44.8","41.4","48.5"
"Haringey","52.5","45.3","59.0","29.2","25.4","33.3","77.8","80.0","75.0","48.2","45.0","51.3","47.7","48.1","47.3"
"Harrow","62.5","58.6","66.5","40.8","31.2","48.6","62.5","50.0","75.0","49.7","50.6","48.8","40.8","36.5","44.7"
"Hartlepool","64.0","61.5","66.7","25.0","N/A","25.0","0.0","N/A","0.0","47.1","44.4","50.0","37.2","31.3","43.0"
"Havering","56.8","58.1","55.6","46.7","42.9","50.3","85.7","100.0","80.0","47.6","54.4","39.1","42.3","40.1","44.7"
"Herefordshire, County of","57.1","0.0","80.0","0.0","0.0","0.0","50.0","50.0","N/A","35.1","38.5","33.3","43.0","38.6","47.7"
"Hertfordshire","67.9","64.9","71.4","44.9","46.0","43.9","81.5","78.6","83.8","54.8","54.3","55.4","51.8","49.1","54.6"
"Hillingdon","61.4","56.8","65.8","41.2","42.4","40.0","50.0","66.7","0.0","49.0","48.9","49.1","41.1","39.0","43.4"
"Hounslow","59.6","55.2","63.9","43.4","42.5","44.2","100.0","N/A","100.0","45.1","43.7","46.8","46.8","45.0","48.7"
"Isle of Wight","60.0","N/A","60.0","50.0","N/A","50.0","N/A","N/A","N/A","46.7","37.5","57.1","33.0","32.9","33.1"
"Isles of Scilly","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","100.0","100.0","N/A","76.9","71.4","83.3"
"Islington","56.4","65.6","47.2","37.4","32.6","43.1","77.8","60.0","100.0","38.1","33.9","44.4","45.7","45.0","46.3"
"Kensington and Chelsea","61.0","77.8","47.8","41.3","47.1","33.3","100.0","N/A","100.0","55.5","53.2","57.9","62.3","67.5","53.2"
"Kent","70.1","65.8","74.9","61.3","55.9","67.8","77.2","66.7","86.7","52.8","45.5","59.9","42.0","37.9","46.3"
