"Ethnicity","Geography","All","Boys","Girls"
"Asian","Barking and Dagenham","55.7","48.4","62.9"
"Asian","Barnet","81.2","82.4","80.0"
"Asian","Barnsley","50.0","0.0","100.0"
"Asian","Bath and North East Somerset","52.2","50.0","53.8"
"Asian","Bedford","39.0","37.1","41.3"
"Asian","Bexley","70.7","70.6","70.8"
"Asian","Birmingham","40.5","40.5","40.6"
"Asian","Blackburn with Darwen","51.1","47.1","55.3"
"Asian","Blackpool","31.8","16.7","50.0"
"Asian","Bolton","49.7","45.5","54.3"
"Asian","Bournemouth","63.4","56.5","72.2"
"Asian","Bracknell Forest","54.2","58.1","50.0"
"Asian","Bradford","37.8","35.3","40.2"
"Asian","Brent","55.4","53.8","57.1"
"Asian","Brighton and Hove","47.4","53.6","41.4"
"Asian","Bristol, City of","44.4","40.6","48.4"
"Asian","Bromley","83.1","86.7","80.2"
"Asian","Buckinghamshire","64.2","65.3","63.0"
"Asian","Bury","38.1","39.9","36.4"
"Asian","Calderdale","45.6","43.0","48.4"
"Asian","Cambridgeshire","56.7","59.5","54.2"
"Asian","Camden","46.4","40.5","51.7"
"Asian","Central Bedfordshire","60.0","50.0","70.8"
"Asian","Cheshire East","55.7","51.6","60.0"
"Asian","Cheshire West and Chester","46.7","47.4","45.5"
"Asian","City of London","N/A","N/A","N/A"
"Asian","Cornwall","50.0","66.7","28.6"
"Asian","County Durham","53.1","56.5","44.4"
"Asian","Coventry","47.2","43.9","50.6"
"Asian","Croydon","53.2","49.6","56.8"
"Asian","Cumbria","66.7","64.3","68.8"
"Asian","Darlington","43.8","45.5","42.9"
"Asian","Derby","45.6","47.7","43.5"
"Asian","Derbyshire","57.1","56.1","58.6"
"Asian","Devon","47.8","50.0","46.7"
"Asian","Doncaster","40.0","37.0","43.9"
"Asian","Dorset","64.3","62.5","66.7"
"Asian","Dudley","43.4","37.2","49.4"
"Asian","Ealing","56.4","54.9","57.8"
"Asian","East Riding of Yorkshire","85.7","80.0","100.0"
"Asian","East Sussex","58.8","63.3","56.0"
"Asian","Enfield","64.9","59.9","70.4"
"Asian","Essex","68.4","69.2","67.5"
"Asian","Gateshead","50.0","41.9","69.2"
"Asian","Gloucestershire","58.0","54.6","62.0"
"Asian","Greenwich","46.2","47.2","45.1"
"Asian","Hackney","52.7","50.8","54.4"
"Asian","Halton","50.0","50.0","50.0"
"Asian","Hammersmith and Fulham","51.8","50.8","52.9"
"Asian","Hampshire","53.6","50.0","57.8"
"Asian","Haringey","52.5","45.3","59.0"
"Asian","Harrow","62.5","58.6","66.5"
"Asian","Hartlepool","64.0","61.5","66.7"
"Asian","Havering","56.8","58.1","55.6"
"Asian","Herefordshire, County of","57.1","0.0","80.0"
"Asian","Hertfordshire","67.9","64.9","71.4"
"Asian","Hillingdon","61.4","56.8","65.8"
"Asian","Hounslow","59.6","55.2","63.9"
"Asian","Isle of Wight","60.0","N/A","60.0"
"Asian","Isles of Scilly","N/A","N/A","N/A"
"Asian","Islington","56.4","65.6","47.2"
"Asian","Kensington and Chelsea","61.0","77.8","47.8"
"Asian","Kent","70.1","65.8","74.9"
"Asian","Kingston upon Hull, City of","52.9","52.6","53.3"
"Asian","Kingston upon Thames","77.9","75.4","80.1"
"Asian","Kirklees","41.3","37.0","45.5"
"Asian","Knowsley","25.0","0.0","50.0"
"Asian","Lambeth","61.5","63.5","57.6"
"Asian","Lancashire","43.8","40.0","47.6"
"Asian","Leeds","39.7","35.6","45.3"
"Asian","Leicester","43.6","40.6","47.0"
"Asian","Leicestershire","61.2","58.8","63.7"
"Asian","Lewisham","46.4","40.0","54.5"
"Asian","Lincolnshire","81.3","85.7","77.8"
"Asian","Liverpool","61.7","59.0","64.2"
"Asian","Luton","40.9","41.2","40.6"
"Asian","Manchester","42.6","38.9","46.3"
"Asian","Medway","62.2","58.4","65.8"
"Asian","Merton","53.4","49.1","57.8"
"Asian","Middlesbrough","44.6","42.2","46.8"
"Asian","Milton Keynes","46.3","44.7","47.9"
"Asian","Newcastle upon Tyne","46.3","39.6","53.0"
"Asian","Newham","54.8","54.7","54.9"
"Asian","Norfolk","55.3","54.3","56.3"
"Asian","North East Lincolnshire","40.0","28.6","50.0"
"Asian","North Lincolnshire","35.7","48.7","19.4"
"Asian","North Somerset","53.1","70.6","33.3"
"Asian","North Tyneside","50.0","50.0","50.0"
"Asian","North Yorkshire","57.7","53.3","62.7"
"Asian","Northamptonshire","48.1","45.8","50.0"
