"","Boys: free school meals","","Boys: no free school meals","","Girls: free school meals","","Girls: no free school meals",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All","19.2","33,697","43.0","233,209","24.1","32,668","50.0","224,052"
"Asian","33.6","4,331","50.7","24,201","36.7","4,279","55.5","22,926"
"Bangladeshi","38.4","1,093","50.4","3,527","39.4","1,163","54.2","3,601"
"Indian","40.7","457","60.8","6,995","45.2","500","66.1","6,623"
"Pakistani","29.3","2,225","40.3","9,411","32.0","2,139","44.4","9,065"
"Asian other","35.6","556","57.2","4,268","42.8","477","65.1","3,637"
"Black","23.4","2,880","37.3","11,454","31.7","3,032","45.9","11,583"
"Black African","29.2","1,774","42.6","7,369","38.1","1,865","51.2","7,350"
"Black Caribbean","11.2","734","25.1","2,621","19.9","797","34.8","2,781"
"Black other","20.2","372","32.2","1,464","24.6","370","39.7","1,452"
"Chinese","59.1","44","72.4","859","73.0","63","78.9","909"
"Mixed","21.6","2,213","44.9","10,234","27.3","2,183","51.0","10,016"
"Mixed White/Asian","24.9","357","56.9","2,436","30.7","352","60.6","2,392"
"Mixed White/Black African","24.5","286","40.7","1,188","32.0","272","47.6","1,190"
"Mixed White/Black Caribbean","15.5","811","31.4","2,739","22.2","803","38.8","2,740"
"Mixed other","25.3","759","48.1","3,871","29.6","756","54.8","3,694"
"White","15.0","22,720","42.2","179,763","19.6","21,607","49.5","172,590"
"White British","14.4","21,285","42.4","166,521","19.1","20,172","49.8","159,702"
"White Irish","19.4","93","58.9","739","29.5","95","60.9","719"
"Gypsy/Roma","2.9","170","3.2","347","2.9","174","9.1","416"
"Irish Traveller","3.1","32","17.4","23","8.6","35","14.3","21"
"White other","27.3","1,140","39.7","12,133","31.1","1,131","46.8","11,732"
"Other","34.4","1,000","42.0","3,462","37.3","980","51.0","3,131"
"Unknown","17.7","509","33.2","3,236","18.9","524","40.5","2,897"
