"Gender","Ethnicity","%","Pupils"
"Boys","All","40.0","276,638"
"Boys","Asian","49.2","30,008"
"Boys","Bangladeshi","48.8","4,942"
"Boys","Indian","60.6","8,082"
"Boys","Pakistani","39.1","12,063"
"Boys","Asian other","55.5","4,921"
"Boys","Black","33.0","15,519"
"Boys","Black African","38.1","9,802"
"Boys","Black Caribbean","21.9","3,776"
"Boys","Black other","28.8","1,941"
"Boys","Chinese","73.4","1,002"
"Boys","Mixed","41.4","13,558"
"Boys","Mixed White/Asian","53.3","3,130"
"Boys","Mixed White/Black African","38.6","1,617"
"Boys","Mixed White/Black Caribbean","27.6","3,629"
"Boys","Mixed other","44.9","5,182"
"Boys","White","39.1","207,380"
"Boys","White British","39.2","191,323"
"Boys","White Irish","53.6","878"
"Boys","Gypsy/Roma","5.0","615"
"Boys","Irish Traveller","10.7","84"
"Boys","White other","38.4","14,480"
"Boys","Other","40.3","4,983"
"Boys","Unknown","32.9","4,188"
"Girls","All","46.6","265,930"
"Girls","Asian","54.8","28,103"
"Girls","Bangladeshi","51.8","4,935"
"Girls","Indian","68.0","7,347"
"Girls","Pakistani","43.6","11,439"
"Girls","Asian other","65.3","4,382"
"Girls","Black","42.5","15,656"
"Girls","Black African","47.6","10,005"
"Girls","Black Caribbean","31.2","3,717"
"Girls","Black other","38.5","1,934"
"Girls","Chinese","79.3","1,004"
"Girls","Mixed","46.3","13,460"
"Girls","Mixed White/Asian","57.8","3,014"
"Girls","Mixed White/Black African","44.3","1,645"
"Girls","Mixed White/Black Caribbean","34.3","3,875"
"Girls","Mixed other","49.3","4,926"
"Girls","White","45.8","199,328"
"Girls","White British","46.0","184,089"
"Girls","White Irish","56.3","810"
"Girls","Gypsy/Roma","7.0","628"
"Girls","Irish Traveller","17.9","67"
"Girls","White other","44.7","13,734"
"Girls","Other","46.8","4,624"
"Girls","Unknown","37.7","3,755"
