"Gender","Ethnicity","%","Pupils"
"Boys","All","45.9","286,588"
"Boys","Asian","55.0","31,129"
"Boys","Bangladeshi","54.4","5,143"
"Boys","Indian","66.6","8,308"
"Boys","Pakistani","45.2","12,280"
"Boys","Asian other","60.1","5,398"
"Boys","Black","40.0","16,436"
"Boys","Black African","45.3","10,522"
"Boys","Black Caribbean","29.2","3,700"
"Boys","Black other","32.9","2,214"
"Boys","Chinese","75.1","957"
"Boys","Mixed","46.1","14,814"
"Boys","Mixed White/Asian","56.1","3,410"
"Boys","Mixed White/Black African","45.3","1,831"
"Boys","Mixed White/Black Caribbean","32.4","3,906"
"Boys","Mixed other","49.8","5,667"
"Boys","White","45.1","212,811"
"Boys","White British","45.3","195,714"
"Boys","White Irish","56.8","837"
"Boys","Gypsy/Roma","6.7","687"
"Boys","Irish Traveller","16.0","75"
"Boys","White other","44.2","15,498"
"Boys","Other","45.5","5,445"
"Boys","Unknown","35.6","4,996"
"Girls","All","54.1","275,406"
"Girls","Asian","61.6","29,894"
"Girls","Bangladeshi","60.0","5,229"
"Girls","Indian","74.4","7,821"
"Girls","Pakistani","50.4","11,995"
"Girls","Asian other","70.4","4,849"
"Girls","Black","51.9","16,499"
"Girls","Black African","56.0","10,777"
"Girls","Black Caribbean","40.4","3,678"
"Girls","Black other","51.2","2,044"
"Girls","Chinese","83.9","1,002"
"Girls","Mixed","54.4","14,667"
"Girls","Mixed White/Asian","65.9","3,244"
"Girls","Mixed White/Black African","55.1","1,875"
"Girls","Mixed White/Black Caribbean","42.5","4,122"
"Girls","Mixed other","56.3","5,426"
"Girls","White","53.2","203,693"
"Girls","White British","53.3","187,307"
"Girls","White Irish","63.7","811"
"Girls","Gypsy/Roma","9.4","667"
"Girls","Irish Traveller","23.5","85"
"Girls","White other","53.3","14,823"
"Girls","Other","55.8","5,077"
"Girls","Unknown","41.1","4,574"
