"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","51.9","575,863","60.6","63,704","48.9","34,911","83.8","2,101","51.5","31,772","50.9","421,995"
"Barking and Dagenham","49.3","2,805","64.3","639","53.8","775","85.7","14","44.2","303","36.4","963"
"Barnet","69.8","4,100","85.6","603","57.3","506","92.5","40","65.3","450","71.3","1,944"
"Barnsley","45.6","2,345","45.5","11","55.6","18","!","2","50.0","52","47.2","2,159"
"Bath and North East Somerset","58.5","2,198","79.5","39","47.6","21","85.7","7","67.7","124","58.1","1,936"
"Bedford","45.3","1,989","44.8","299","40.1","152","100.0","5","39.9","193","46.9","1,302"
"Bexley","57.6","3,262","78.8","278","64.7","640","89.7","39","65.0","197","51.0","2,007"
"Birmingham","49.7","14,036","52.8","5,611","44.5","1,894","83.7","43","46.0","1,023","48.7","4,359"
"Blackburn with Darwen","53.0","2,052","64.1","891","63.3","30","100.0","5","55.7","61","43.1","1,002"
"Blackpool","35.3","1,296","70.0","30","66.7","6","33.3","3","31.0","29","34.4","1,221"
"Bolton","50.4","3,648","59.9","863","38.7","199","66.7","3","52.6","133","47.6","2,355"
"Bournemouth, Christchurch and Poole","61.0","3,665","85.0","100","52.0","25","100.0","13","64.1","192","60.1","3,242"
"Bracknell Forest","56.1","1,227","80.6","62","37.8","37","!","2","53.5","71","55.4","1,047"
"Bradford","43.1","6,658","46.6","2,978","38.7","119","80.0","10","37.5","352","40.7","2,970"
"Brent","56.3","3,160","61.2","959","48.6","665","71.4","7","54.3","208","53.6","634"
"Brighton and Hove","56.3","2,225","63.0","81","37.3","51","55.6","9","51.8","193","57.2","1,804"
"Bristol, City of","48.2","3,694","56.7","300","40.6","429","80.0","15","42.2","339","49.7","2,477"
"Bromley","59.5","3,356","80.4","219","60.9","379","86.8","38","55.7","323","57.3","2,242"
"Buckinghamshire","66.1","6,070","70.4","1,300","55.4","213","95.7","46","64.7","368","65.0","4,029"
"Bury","49.7","2,229","52.1","336","43.5","62","83.3","6","42.5","80","49.6","1,692"
"Calderdale","53.3","2,757","55.3","477","55.3","38","!","2","53.9","115","52.6","2,099"
"Cambridgeshire","55.5","6,039","64.6","209","37.6","85","78.8","33","61.3","313","54.9","5,214"
"Camden","54.6","1,644","57.1","296","49.2","370","100.0","7","46.5","187","58.4","577"
"Central Bedfordshire","48.9","2,790","60.9","64","48.2","85","63.6","11","44.1","161","48.7","2,383"
"Cheshire East","55.0","3,988","66.7","63","50.0","20","70.6","17","55.7","122","55.2","3,685"
"Cheshire West and Chester","54.2","3,743","42.6","47","57.1","21","77.8","9","72.2","97","53.9","3,529"
"Cornwall","47.1","5,399","54.5","11","20.0","5","75.0","8","43.9","123","47.1","5,151"
"County Durham","50.2","5,269","75.6","41","56.3","16","71.4","14","66.2","74","50.4","4,982"
"Coventry","46.5","3,827","63.2","730","42.7","504","85.7","7","45.5","268","42.3","2,191"
"Croydon","50.7","3,831","64.8","522","43.8","1,230","100.0","11","48.8","514","53.9","1,359"
"Cumbria","48.6","5,070","79.4","34","60.0","10","73.7","19","61.8","76","48.4","4,780"
"Darlington","51.3","1,141","63.6","33","25.0","4","!","1","48.3","29","51.1","1,051"
"Derby","42.6","3,008","51.1","591","39.7","131","100.0","9","34.8","210","41.0","1,996"
"Derbyshire","51.2","7,625","68.4","76","69.0","29","85.7","14","56.9","204","50.9","7,256"
"Devon","50.9","7,064","54.2","48","33.3","12","66.7","12","57.6","172","50.8","6,532"
"Doncaster","46.4","3,149","58.1","93","48.5","33","71.4","14","49.0","96","46.1","2,841"
"Dorset","51.4","3,636","80.6","36","71.4","7","100.0","6","49.1","114","51.1","3,414"
"Dudley","46.5","3,514","59.1","328","42.1","114","62.5","8","44.1","220","45.8","2,668"
"Ealing","58.7","3,276","58.4","998","49.3","594","100.0","9","64.2","257","64.0","862"
"East Midlands","50.1","49,843","59.3","4,508","45.4","1,763","82.4","131","47.0","2,447","49.5","40,049"
"East Riding of Yorkshire","54.0","3,259","69.2","13","66.7","6","!","2","50.8","63","54.4","3,117"
"East Sussex","49.3","4,834","61.2","85","43.2","37","61.1","18","49.8","245","49.3","4,350"
"East of England","51.9","64,647","62.3","4,482","52.7","2,557","84.3","255","51.0","3,634","51.0","51,852"
"Enfield","52.0","3,783","77.3","308","46.4","988","84.6","13","56.2","372","48.4","1,732"
"Essex","49.8","15,139","78.4","425","56.4","596","86.8","68","51.0","723","48.3","12,888"
"Gateshead","54.0","1,971","69.5","59","70.3","37","100.0","7","60.5","38","53.2","1,800"
"Gloucestershire","57.3","6,388","74.9","259","42.0","100","87.0","23","52.4","317","57.0","5,569"
"Greenwich","52.5","2,695","66.0","200","55.6","912","82.1","28","53.1","275","45.9","1,163"
"Hackney","54.8","2,331","58.9","282","45.8","813","92.9","14","49.6","232","64.7","797"
"Halton","41.6","1,488","!","2","33.3","3","!","1","40.0","45","41.3","1,406"
"Hammersmith and Fulham","65.4","1,458","70.2","124","56.2","324","66.7","3","63.5","233","71.9","587"
"Hampshire","54.0","13,553","66.9","375","55.0","149","77.1","35","54.2","498","53.6","12,310"
"Haringey","53.6","2,514","67.8","146","43.5","655","70.0","20","52.8","290","57.5","1,125"
"Harrow","58.2","2,521","67.4","1,109","45.2","363","84.6","13","52.6","215","54.3","599"
"Hartlepool","46.8","1,070","50.0","26","28.6","7","100.0","6","63.6","11","46.5","1,013"
"Havering","54.9","2,882","64.9","171","54.8","345","100.0","15","47.5","202","55.0","2,068"
"Herefordshire, County of","51.8","1,762","40.0","10","33.3","3","N/A","0","60.0","50","51.4","1,685"
"Hertfordshire","60.1","13,487","77.8","1,154","51.1","654","91.4","58","56.3","932","59.1","10,420"
"Hillingdon","54.4","3,420","65.6","847","52.2","383","80.0","5","56.3","352","46.7","1,444"
"Hounslow","55.6","2,916","64.0","968","51.1","352","100.0","8","48.7","277","50.9","899"
"Inner London","55.4","28,891","62.3","6,048","48.8","8,413","85.5","152","52.3","3,094","58.7","8,118"
"Isle of Wight","44.2","1,258","33.3","9","66.7","3","!","1","45.2","31","44.3","1,202"
"Isles of Scilly","!","14","N/A","0","N/A","0","N/A","0","N/A","0","!","14"
"Islington","54.1","1,493","68.6","175","50.2","428","!","2","54.5","189","51.2","545"
