"Ethnicity","Geography","%","Pupils"
"All","All - England","51.9","575,863"
"All","Barking and Dagenham","49.3","2,805"
"All","Barnet","69.8","4,100"
"All","Barnsley","45.6","2,345"
"All","Bath and North East Somerset","58.5","2,198"
"All","Bedford","45.3","1,989"
"All","Bexley","57.6","3,262"
"All","Birmingham","49.7","14,036"
"All","Blackburn with Darwen","53.0","2,052"
"All","Blackpool","35.3","1,296"
"All","Bolton","50.4","3,648"
"All","Bournemouth, Christchurch and Poole","61.0","3,665"
"All","Bracknell Forest","56.1","1,227"
"All","Bradford","43.1","6,658"
"All","Brent","56.3","3,160"
"All","Brighton and Hove","56.3","2,225"
"All","Bristol, City of","48.2","3,694"
"All","Bromley","59.5","3,356"
"All","Buckinghamshire","66.1","6,070"
"All","Bury","49.7","2,229"
"All","Calderdale","53.3","2,757"
"All","Cambridgeshire","55.5","6,039"
"All","Camden","54.6","1,644"
"All","Central Bedfordshire","48.9","2,790"
"All","Cheshire East","55.0","3,988"
"All","Cheshire West and Chester","54.2","3,743"
"All","Cornwall","47.1","5,399"
"All","County Durham","50.2","5,269"
"All","Coventry","46.5","3,827"
"All","Croydon","50.7","3,831"
"All","Cumbria","48.6","5,070"
"All","Darlington","51.3","1,141"
"All","Derby","42.6","3,008"
"All","Derbyshire","51.2","7,625"
"All","Devon","50.9","7,064"
"All","Doncaster","46.4","3,149"
"All","Dorset","51.4","3,636"
"All","Dudley","46.5","3,514"
"All","Ealing","58.7","3,276"
"All","East Midlands","50.1","49,843"
"All","East Riding of Yorkshire","54.0","3,259"
"All","East Sussex","49.3","4,834"
"All","East of England","51.9","64,647"
"All","Enfield","52.0","3,783"
"All","Essex","49.8","15,139"
"All","Gateshead","54.0","1,971"
"All","Gloucestershire","57.3","6,388"
"All","Greenwich","52.5","2,695"
"All","Hackney","54.8","2,331"
"All","Halton","41.6","1,488"
"All","Hammersmith and Fulham","65.4","1,458"
"All","Hampshire","54.0","13,553"
"All","Haringey","53.6","2,514"
"All","Harrow","58.2","2,521"
"All","Hartlepool","46.8","1,070"
"All","Havering","54.9","2,882"
"All","Herefordshire, County of","51.8","1,762"
"All","Hertfordshire","60.1","13,487"
"All","Hillingdon","54.4","3,420"
"All","Hounslow","55.6","2,916"
"All","Inner London","55.4","28,891"
"All","Isle of Wight","44.2","1,258"
"All","Isles of Scilly","!","14"
"All","Islington","54.1","1,493"
"All","Kensington and Chelsea","63.8","896"
"All","Kent","52.9","16,779"
"All","Kingston upon Hull, City of","44.3","2,787"
"All","Kingston upon Thames","71.6","1,828"
"All","Kirklees","50.0","4,858"
"All","Knowsley","26.2","1,151"
"All","Lambeth","51.1","2,264"
"All","Lancashire","52.3","13,085"
"All","Leeds","50.5","8,584"
"All","Leicester","44.8","4,070"
"All","Leicestershire","53.1","7,412"
"All","Lewisham","48.3","2,340"
"All","Lincolnshire","50.2","7,860"
"All","Liverpool","44.0","5,028"
"All","London","57.1","85,646"
"All","Luton","44.2","2,832"
"All","Manchester","44.0","5,743"
"All","Medway","49.5","3,169"
"All","Merton","52.6","1,555"
"All","Middlesbrough","42.7","1,547"
"All","Milton Keynes","45.9","3,128"
"All","Newcastle upon Tyne","48.1","2,607"
"All","Newham","54.2","4,311"
"All","Norfolk","48.9","8,197"
"All","North East","49.8","27,055"
"All","North East Lincolnshire","42.4","1,827"
"All","North Lincolnshire","48.6","1,899"
"All","North Northamptonshire","47.0","3,753"
"All","North Somerset","55.3","2,239"
"All","North Tyneside","52.1","2,098"
"All","North West","49.6","79,949"
"All","North Yorkshire","55.5","6,261"
"All","Northumberland","49.7","3,164"
"All","Nottingham","42.3","2,932"
"All","Nottinghamshire","53.4","8,236"
"All","Oldham","42.9","3,231"
"All","Outer London","58.0","56,755"
"All","Oxfordshire","54.0","6,566"
"All","Peterborough","41.8","2,564"
"All","Plymouth","51.9","2,717"
"All","Portsmouth","46.0","1,888"
"All","Reading","57.2","1,397"
"All","Redbridge","63.7","3,874"
"All","Redcar and Cleveland","51.4","1,567"
"All","Richmond upon Thames","67.9","1,736"
"All","Rochdale","40.8","2,657"
"All","Rotherham","47.1","3,239"
"All","Rutland","59.3","504"
"All","Salford","43.1","2,383"
"All","Sandwell","40.1","4,028"
"All","Sefton","50.2","2,906"
"All","Sheffield","47.4","5,640"
"All","Shropshire","50.3","3,013"
"All","Slough","61.1","2,113"
"All","Solihull","53.3","3,157"
"All","Somerset","49.2","5,095"
"All","South East","54.5","90,615"
"All","South Gloucestershire","52.8","2,640"
"All","South Tyneside","44.3","1,618"
"All","South West","52.5","53,700"
"All","Southampton","41.8","2,174"
"All","Southend-on-Sea","64.4","2,188"
"All","Southwark","57.4","3,002"
"All","St. Helens","46.0","1,892"
"All","Staffordshire","48.4","8,897"
"All","Stockport","56.8","2,869"
"All","Stockton-on-Tees","53.9","2,186"
"All","Stoke-on-Trent","41.1","2,672"
"All","Suffolk","47.6","7,474"
"All","Sunderland","49.9","2,817"
"All","Surrey","59.3","10,875"
"All","Sutton","68.9","3,048"
"All","Swindon","48.7","2,313"
"All","Tameside","47.5","2,635"
"All","Telford and Wrekin","49.4","2,174"
"All","Thurrock","51.0","1,948"
"All","Torbay","56.0","1,638"
"All","Tower Hamlets","54.2","2,967"
"All","Trafford","69.8","3,168"
"All","Wakefield","52.2","3,710"
