"","Boys","","Girls",""
"Ethnicity","%","Pupils","%","Pupils"
"All","40.0","276,638","46.6","265,930"
"Asian","49.2","30,008","54.8","28,103"
"Bangladeshi","48.8","4,942","51.8","4,935"
"Indian","60.6","8,082","68.0","7,347"
"Pakistani","39.1","12,063","43.6","11,439"
"Asian other","55.5","4,921","65.3","4,382"
"Black","33.0","15,519","42.5","15,656"
"Black African","38.1","9,802","47.6","10,005"
"Black Caribbean","21.9","3,776","31.2","3,717"
"Black other","28.8","1,941","38.5","1,934"
"Chinese","73.4","1,002","79.3","1,004"
"Mixed","41.4","13,558","46.3","13,460"
"Mixed White/Asian","53.3","3,130","57.8","3,014"
"Mixed White/Black African","38.6","1,617","44.3","1,645"
"Mixed White/Black Caribbean","27.6","3,629","34.3","3,875"
"Mixed other","44.9","5,182","49.3","4,926"
"White","39.1","207,380","45.8","199,328"
"White British","39.2","191,323","46.0","184,089"
"White Irish","53.6","878","56.3","810"
"Gypsy/Roma","5.0","615","7.0","628"
"Irish Traveller","10.7","84","17.9","67"
"White other","38.4","14,480","44.7","13,734"
"Other","40.3","4,983","46.8","4,624"
"Unknown","32.9","4,188","37.7","3,755"
