"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","16.8","521,202","22.8","55,183","15.3","28,609","46.9","1,856","18.9","24,531","15.7","395,716"
"Barking and Dagenham","13.4","2,199","18.0","449","16.8","619","100.0","2","9.4","127","8.9","921"
"Barnet","37.3","3,810","60.9","532","19.5","497","68.2","44","38.4","409","35.3","1,914"
"Barnsley","8.9","2,011","25.0","8","~0","14","N/A","0","22.9","35","8.6","1,940"
"Bath and North East Somerset","19.7","2,074","34.8","23","16.7","24","60.0","5","20.2","94","19.8","1,868"
"Bedford","11.7","1,832","11.2","269","11.0","91","~0","1","8.6","152","12.0","1,281"
"Bexley","23.3","3,032","42.7","232","29.8","620","51.5","33","20.1","194","18.8","1,901"
"Birmingham","16.7","12,166","17.3","5,017","12.5","1,489","66.7","42","17.1","864","17.0","3,992"
"Blackburn with Darwen","15.8","1,830","27.1","838","7.7","13","33.3","3","13.3","45","5.5","913"
"Blackpool","4.0","1,136","~0","22","~0","5","~0","3","~0","23","4.2","1,078"
"Bolton","14.6","3,251","23.9","698","21.2","146","60.0","5","12.8","109","11.3","2,238"
"Bournemouth","23.2","1,512","39.0","41","14.3","7","57.1","14","16.2","74","23.0","1,328"
"Bracknell Forest","16.2","1,043","23.7","59","14.3","21","~0","1","19.5","41","15.7","911"
"Bradford","12.6","5,941","14.1","2,727","12.5","104","33.3","3","8.2","244","11.5","2,715"
"Brent","27.6","2,858","34.3","897","18.1","675","33.3","3","24.2","178","22.7","494"
"Brighton and Hove","17.2","2,169","19.3","57","13.8","58","38.5","13","19.9","191","16.7","1,775"
"Bristol, City of","13.4","3,109","16.5","261","7.0","345","23.1","13","12.9","248","14.1","2,167"
"Bromley","27.3","3,214","56.0","166","25.8","306","60.6","33","24.9","269","26.2","2,270"
"Buckinghamshire","26.4","5,665","25.1","1,021","26.2","187","44.4","18","28.4","327","26.5","4,015"
"Bury","16.7","2,113","19.2","307","8.7","46","37.5","8","12.4","97","16.4","1,618"
"Calderdale","16.5","2,410","15.6","384","11.5","26","50.0","4","21.9","73","16.4","1,909"
"Cambridgeshire","19.8","5,491","27.4","157","13.1","61","58.3","24","27.3","227","19.1","4,858"
"Camden","19.8","1,533","13.5","274","12.8","358","27.3","11","18.8","181","27.7","546"
"Central Bedfordshire","11.8","2,579","10.0","50","10.7","56","44.4","9","7.9","114","11.9","2,301"
"Cheshire East","15.9","3,537","16.4","61","16.7","12","37.5","8","12.9","85","15.8","3,328"
"Cheshire West and Chester","17.4","3,298","26.7","30","8.3","12","30.0","10","22.0","59","17.1","3,161"
"City of London","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Cornwall","11.9","5,117","12.5","16","20.0","5","~0","6","19.5","82","11.7","4,940"
"County Durham","13.2","4,614","15.6","32","18.2","11","66.7","6","12.2","49","13.2","4,434"
"Coventry","12.3","3,377","19.1","687","10.1","335","33.3","6","9.9","192","10.6","2,105"
"Croydon","16.0","3,452","17.2","472","12.0","998","61.5","13","18.4","499","17.9","1,268"
"Cumbria","15.0","4,689","26.7","30","13.3","15","46.7","15","22.0","59","14.7","4,407"
"Darlington","16.0","1,097","15.6","32","20.0","5","~0","4","18.8","32","15.7","1,008"
"Derby","15.5","2,747","19.3","487","15.6","96","25.0","12","14.4","174","14.7","1,925"
"Derbyshire","13.3","7,069","17.1","70","18.5","27","33.3","12","13.5","171","13.2","6,739"
"Devon","14.2","6,559","26.1","23","~0","5","46.2","13","11.0","109","14.2","6,179"
"Doncaster","7.4","2,903","13.7","95","3.7","27","20.0","5","8.8","68","7.1","2,677"
"Dorset","16.4","3,989","35.7","28","28.6","7","33.3","12","22.8","79","16.2","3,827"
"Dudley","11.6","3,283","16.2","302","11.0","82","75.0","4","14.4","181","10.9","2,643"
"Ealing","27.5","2,853","23.1","824","16.3","563","81.8","11","35.1","222","36.4","837"
"East Riding of Yorkshire","14.8","3,151","57.1","7","~0","3","~0","3","17.2","58","14.7","3,032"
"East Sussex","12.9","4,665","32.5","80","12.0","25","41.7","12","14.2","183","12.5","4,274"
"Enfield","19.3","3,414","40.1","299","12.9","852","82.4","17","23.2","336","17.4","1,619"
"Essex","14.7","14,040","41.6","380","21.8","440","56.1","41","15.9","546","13.4","12,382"
"Gateshead","16.2","1,885","27.3","44","14.3","21","60.0","5","30.0","20","15.2","1,729"
"Gloucestershire","19.8","6,006","33.5","176","18.3","71","53.3","15","23.4","231","19.0","5,417"
"Greenwich","15.3","2,269","15.7","197","14.1","747","31.3","16","15.9","227","15.6","1,011"
"Hackney","22.3","2,058","25.2","258","17.5","758","33.3","9","22.7","172","25.7","713"
"Halton","14.5","1,333","25.0","4","N/A","0","~0","1","29.0","31","13.9","1,281"
"Hammersmith and Fulham","32.4","1,291","26.3","114","19.4","315","33.3","12","29.4","126","43.6","567"
"Hampshire","16.0","12,497","24.1","319","16.3","123","16.2","37","23.5","323","15.4","11,536"
"Haringey","19.3","2,190","22.8","158","8.8","566","55.6","9","23.9","222","22.6","1,021"
"Harrow","24.5","2,044","30.6","912","16.4","311","25.0","8","26.9","167","18.9","507"
"Hartlepool","9.1","1,016","24.0","25","25.0","4","~0","1","17.6","17","8.5","966"
"Havering","19.2","2,774","27.4","146","20.2","366","57.1","7","15.4","143","18.8","2,025"
"Herefordshire, County of","14.9","1,644","57.1","7","~0","3","50.0","2","16.2","37","14.7","1,580"
"Hertfordshire","25.0","12,372","39.8","947","18.6","532","50.8","65","26.9","797","23.6","9,820"
"Hillingdon","18.7","3,064","29.9","715","13.3","345","25.0","4","17.1","339","13.6","1,410"
"Hounslow","27.1","2,666","34.2","805","21.7","346","66.7","3","21.5","237","25.7","915"
"Isle of Wight","8.1","1,070","~0","5","~0","2","N/A","0","~0","15","8.3","1,042"
"Isles of Scilly","40.0","15","N/A","0","N/A","0","N/A","0","~0","1","38.5","13"
"Islington","17.4","1,404","19.6","179","11.6","406","55.6","9","17.7","181","19.8","484"
"Kensington and Chelsea","12.0","718","14.6","41","8.3","121","50.0","2","14.3","119","16.2","260"
"Kent","20.8","15,516","39.6","581","33.8","393","52.6","57","28.6","716","19.0","13,479"
"Kingston upon Hull, City of","11.4","2,307","8.8","34","13.9","36","100.0","2","23.6","55","11.5","2,036"
"Kingston upon Thames","40.5","1,515","58.6","384","22.4","76","75.0","12","29.1","134","34.8","841"
"Kirklees","14.2","4,488","15.1","1,235","5.0","80","60.0","15","9.1","254","14.5","2,861"
"Knowsley","7.3","929","~0","4","~0","2","~0","1","~0","12","7.6","900"
"Lambeth","17.5","2,114","19.8","96","14.8","1,012","50.0","16","15.1","258","23.3","540"
