"Group","Ethnicity","%","Pupils"
"Free school meals","All","6.1","66,365"
"Free school meals","Asian","12.0","8,610"
"Free school meals","Bangladeshi","13.6","2,256"
"Free school meals","Indian","15.9","957"
"Free school meals","Pakistani","9.4","4,364"
"Free school meals","Asian other","16.1","1,033"
"Free school meals","Black","10.3","5,912"
"Free school meals","Black African","12.9","3,639"
"Free school meals","Black Caribbean","4.7","1,531"
"Free school meals","Black other","8.9","742"
"Free school meals","Chinese","34.6","107"
"Free school meals","Mixed","7.4","4,396"
"Free school meals","Mixed White/Asian","10.0","709"
"Free school meals","Mixed White/Black African","7.9","558"
"Free school meals","Mixed White/Black Caribbean","4.0","1,614"
"Free school meals","Mixed other","9.7","1,515"
"Free school meals","White","3.8","44,327"
"Free school meals","White British","3.4","41,457"
"Free school meals","White Irish","8.5","188"
"Free school meals","Gypsy/Roma","0.3","344"
"Free school meals","Irish Traveller","0.0","67"
"Free school meals","White other","12.6","2,271"
"Free school meals","Other","15.6","1,980"
"Free school meals","Unknown","4.0","1,033"
"No free school meals","All","18.2","457,261"
"No free school meals","Asian","24.6","47,127"
"No free school meals","Bangladeshi","20.7","7,128"
"No free school meals","Indian","33.7","13,618"
"No free school meals","Pakistani","16.6","18,476"
"No free school meals","Asian other","30.8","7,905"
"No free school meals","Black","16.4","23,037"
"No free school meals","Black African","19.2","14,719"
"No free school meals","Black Caribbean","10.4","5,402"
"No free school meals","Black other","13.1","2,916"
"No free school meals","Chinese","47.1","1,768"
"No free school meals","Mixed","21.3","20,250"
"No free school meals","Mixed White/Asian","29.2","4,828"
"No free school meals","Mixed White/Black African","18.5","2,378"
"No free school meals","Mixed White/Black Caribbean","12.1","5,479"
"No free school meals","Mixed other","23.7","7,565"
"No free school meals","White","17.2","352,353"
"No free school meals","White British","16.8","326,223"
"No free school meals","White Irish","27.8","1,458"
"No free school meals","Gypsy/Roma","0.8","763"
"No free school meals","Irish Traveller","0.0","44"
"No free school meals","White other","21.7","23,865"
"No free school meals","Other","23.0","6,593"
"No free school meals","Unknown","14.4","6,133"
