"","All","","Boys","","Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils"
"All","16.7","523,626","12.8","266,906","20.8","256,720"
"Asian","22.6","55,737","17.5","28,532","28.0","27,205"
"Bangladeshi","19.0","9,384","14.9","4,620","22.9","4,764"
"Indian","32.5","14,575","26.0","7,452","39.4","7,123"
"Pakistani","15.3","22,840","10.8","11,636","19.9","11,204"
"Asian other","29.1","8,938","23.0","4,824","36.3","4,114"
"Black","15.1","28,949","10.1","14,334","20.0","14,615"
"Black African","17.9","18,358","12.3","9,143","23.5","9,215"
"Black Caribbean","9.1","6,933","5.0","3,355","13.0","3,578"
"Black other","12.2","3,658","8.4","1,836","16.0","1,822"
"Chinese","46.4","1,875","40.0","903","52.4","972"
"Mixed","18.8","24,646","15.1","12,447","22.6","12,199"
"Mixed White/Asian","26.7","5,537","22.8","2,793","30.7","2,744"
"Mixed White/Black African","16.5","2,936","11.4","1,474","21.7","1,462"
"Mixed White/Black Caribbean","10.2","7,093","7.2","3,550","13.3","3,543"
"Mixed other","21.4","9,080","17.7","4,630","25.2","4,450"
"White","15.7","396,680","12.0","202,483","19.6","194,197"
"White British","15.3","367,680","11.6","187,806","19.2","179,874"
"White Irish","25.6","1,646","20.9","832","30.3","814"
"Gypsy/Roma","0.6","1,107","0.4","517","0.8","590"
"Irish Traveller","0.0","111","0.0","55","0.0","56"
"White other","20.9","26,136","16.9","13,273","25.1","12,863"
"Other","21.3","8,573","17.5","4,462","25.4","4,111"
"Unknown","12.9","7,166","10.3","3,745.00","15.8","3,421"
