"Gender","Ethnicity","%","Pupils"
"All","All","16.7","523,626"
"All","Asian","22.6","55,737"
"All","Bangladeshi","19.0","9,384"
"All","Indian","32.5","14,575"
"All","Pakistani","15.3","22,840"
"All","Asian other","29.1","8,938"
"All","Black","15.1","28,949"
"All","Black African","17.9","18,358"
"All","Black Caribbean","9.1","6,933"
"All","Black other","12.2","3,658"
"All","Chinese","46.4","1,875"
"All","Mixed","18.8","24,646"
"All","Mixed White/Asian","26.7","5,537"
"All","Mixed White/Black African","16.5","2,936"
"All","Mixed White/Black Caribbean","10.2","7,093"
"All","Mixed other","21.4","9,080"
"All","White","15.7","396,680"
"All","White British","15.3","367,680"
"All","White Irish","25.6","1,646"
"All","Gypsy/Roma","0.6","1,107"
"All","Irish Traveller","0.0","111"
"All","White other","20.9","26,136"
"All","Other","21.3","8,573"
"All","Unknown","12.9","7,166"
"Boys","All","12.8","266,906"
"Boys","Asian","17.5","28,532"
"Boys","Bangladeshi","14.9","4,620"
"Boys","Indian","26.0","7,452"
"Boys","Pakistani","10.8","11,636"
"Boys","Asian other","23.0","4,824"
"Boys","Black","10.1","14,334"
"Boys","Black African","12.3","9,143"
"Boys","Black Caribbean","5.0","3,355"
"Boys","Black other","8.4","1,836"
"Boys","Chinese","40.0","903"
"Boys","Mixed","15.1","12,447"
"Boys","Mixed White/Asian","22.8","2,793"
"Boys","Mixed White/Black African","11.4","1,474"
"Boys","Mixed White/Black Caribbean","7.2","3,550"
"Boys","Mixed other","17.7","4,630"
"Boys","White","12.0","202,483"
"Boys","White British","11.6","187,806"
"Boys","White Irish","20.9","832"
"Boys","Gypsy/Roma","0.4","517"
"Boys","Irish Traveller","0.0","55"
"Boys","White other","16.9","13,273"
"Boys","Other","17.5","4,462"
"Boys","Unknown","10.3","3,745.00"
"Girls","All","20.8","256,720"
"Girls","Asian","28.0","27,205"
"Girls","Bangladeshi","22.9","4,764"
"Girls","Indian","39.4","7,123"
"Girls","Pakistani","19.9","11,204"
"Girls","Asian other","36.3","4,114"
"Girls","Black","20.0","14,615"
"Girls","Black African","23.5","9,215"
"Girls","Black Caribbean","13.0","3,578"
"Girls","Black other","16.0","1,822"
"Girls","Chinese","52.4","972"
"Girls","Mixed","22.6","12,199"
"Girls","Mixed White/Asian","30.7","2,744"
"Girls","Mixed White/Black African","21.7","1,462"
"Girls","Mixed White/Black Caribbean","13.3","3,543"
"Girls","Mixed other","25.2","4,450"
"Girls","White","19.6","194,197"
"Girls","White British","19.2","179,874"
"Girls","White Irish","30.3","814"
"Girls","Gypsy/Roma","0.8","590"
"Girls","Irish Traveller","0.0","56"
"Girls","White other","25.1","12,863"
"Girls","Other","25.4","4,111"
"Girls","Unknown","15.8","3,421"
