"Ethnicity","Type of School","%","Pupils"
"All","All state-funded schools","16.7","523,626"
"All","All state-funded mainstream schools","17.0","513,356"
"All","Academies and free schools","17.8","360,345"
"All","Converter academies","21.1","258,093"
"All","Free schools","23.9","6,037"
"All","Sponsored academies","8.9","92,197"
"All","Further education colleges with provision for 14- to 16-year-olds","0.3","1,209"
"All","Local authority maintained mainstream schools","15.2","151,242"
"All","State-funded special schools","0.0","10,270"
"All","Studio schools","2.2","1,061"
"All","University technical colleges","1.3","2,957"
"Asian","All state-funded schools","22.6","55,737"
"Asian","All state-funded mainstream schools","22.9","55,026"
"Asian","Academies and free schools","25.3","36,343"
"Asian","Converter academies","29.3","25,479"
"Asian","Free schools","35.9","1,291"
"Asian","Sponsored academies","13.7","9,231"
"Asian","Further education colleges with provision for 14- to 16-year-olds","0.0","5"
"Asian","Local authority maintained mainstream schools","18.2","18,640"
"Asian","State-funded special schools","0.0","711"
"Asian","Studio schools","3.9","76"
"Asian","University technical colleges","1.9","266"
"Black","All state-funded schools","15.1","28,949"
"Black","All state-funded mainstream schools","15.4","28,333"
"Black","Academies and free schools","16.5","18,236"
"Black","Converter academies","19.6","10,735"
"Black","Free schools","23.0","588"
"Black","Sponsored academies","11.4","6,670"
"Black","Further education colleges with provision for 14- to 16-year-olds","0.0","4"
"Black","Local authority maintained mainstream schools","13.5","10,056"
"Black","State-funded special schools","0.0","616"
"Black","Studio schools","2.9","34"
"Black","University technical colleges","0.5","209"
"Chinese","All state-funded schools","46.4","1,875"
"Chinese","All state-funded mainstream schools","47.0","1,853"
"Chinese","Academies and free schools","50.3","1,391"
"Chinese","Converter academies","54.2","1,105"
"Chinese","Free schools","46.2","26"
"Chinese","Sponsored academies","34.4","256"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","0"
"Chinese","Local authority maintained mainstream schools","37.0","459"
"Chinese","State-funded special schools","0.0","22"
"Chinese","Studio schools","0.0","1"
"Chinese","University technical colleges","0.0","3"
"Mixed","All state-funded schools","18.8","24,646"
"Mixed","All state-funded mainstream schools","19.2","24,142"
"Mixed","Academies and free schools","20.2","17,034"
"Mixed","Converter academies","23.8","11,828"
"Mixed","Free schools","24.1","428"
"Mixed","Sponsored academies","11.6","4,549"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","0.0","8"
"Mixed","Local authority maintained mainstream schools","16.7","7,051"
"Mixed","State-funded special schools","0.0","504"
"Mixed","Studio schools","0.0","51"
"Mixed","University technical colleges","2.2","178"
"White","All state-funded schools","15.7","396,680"
"White","All state-funded mainstream schools","16.0","388,496"
"White","Academies and free schools","16.6","277,452"
"White","Converter academies","19.7","202,901"
"White","Free schools","19.4","3,400"
"White","Sponsored academies","7.6","68,219"
"White","Further education colleges with provision for 14- to 16-year-olds","0.0","29"
"White","Local authority maintained mainstream schools","14.6","110,587"
"White","State-funded special schools","0.0","8,184"
"White","Studio schools","2.0","818"
"White","University technical colleges","1.1","2,114"
