"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","38.5","521,202","48.8","55,183","45.2","28,609","64.0","1,856","42.0","24,531","36.1","395,716"
"Barking and Dagenham","37.8","2,199","36.7","449","43.9","619","100.0","2","32.3","127","34.6","921"
"Barnet","60.9","3,810","78.0","532","47.5","497","81.8","44","61.4","409","59.7","1,914"
"Barnsley","27.4","2,011","25.0","8","14.3","14","N/A","0","42.9","35","27.2","1,940"
"Bath and North East Somerset","51.7","2,074","69.6","23","54.2","24","80.0","5","51.1","94","52.7","1,868"
"Bedford","31.9","1,832","27.1","269","33.0","91","0.0","1","21.7","152","33.7","1,281"
"Bexley","42.6","3,032","63.8","232","59.4","620","69.7","33","36.1","194","34.9","1,901"
"Birmingham","40.0","12,166","44.0","5,017","37.2","1,489","83.3","42","36.6","864","36.4","3,992"
"Blackburn with Darwen","35.7","1,830","55.7","838","30.8","13","66.7","3","42.2","45","16.8","913"
"Blackpool","15.1","1,136","22.7","22","20.0","5","0.0","3","4.3","23","15.1","1,078"
"Bolton","33.1","3,251","55.0","698","37.0","146","60.0","5","36.7","109","25.6","2,238"
"Bournemouth","44.6","1,512","63.4","41","71.4","7","71.4","14","51.4","74","43.0","1,328"
"Bracknell Forest","34.3","1,043","45.8","59","28.6","21","0.0","1","46.3","41","32.8","911"
"Bradford","37.8","5,941","43.5","2,727","33.7","104","66.7","3","29.9","244","33.3","2,715"
"Brent","63.5","2,858","67.8","897","57.2","675","100.0","3","61.8","178","61.5","494"
"Brighton and Hove","36.4","2,169","49.1","57","50.0","58","61.5","13","41.9","191","34.0","1,775"
"Bristol, City of","37.2","3,109","47.5","261","44.9","345","46.2","13","39.5","248","33.9","2,167"
"Bromley","53.7","3,214","72.3","166","56.5","306","66.7","33","50.2","269","54.1","2,270"
"Buckinghamshire","39.5","5,665","39.4","1,021","35.3","187","55.6","18","42.2","327","39.4","4,015"
"Bury","50.6","2,113","62.9","307","60.9","46","75.0","8","49.5","97","47.4","1,618"
"Calderdale","31.2","2,410","30.2","384","53.8","26","50.0","4","42.5","73","30.6","1,909"
"Cambridgeshire","37.4","5,491","47.1","157","37.7","61","75.0","24","49.8","227","36.5","4,858"
"Camden","49.3","1,533","42.3","274","46.1","358","36.4","11","45.3","181","53.7","546"
"Central Bedfordshire","33.4","2,579","38.0","50","41.1","56","55.6","9","31.6","114","33.1","2,301"
