"","Free school meals","","No free school meals",""
"Ethnicity","%","Pupils","%","Pupils"
"All","23.6","66,365","40.5","457,261"
"Asian","38.5","8,610","50.3","47,127"
"Bangladeshi","41.1","2,256","47.8","7,128"
"Indian","42.0","957","58.0","13,618"
"Pakistani","35.0","4,364","43.4","18,476"
"Asian other","44.1","1,033","55.4","7,905"
"Black","37.2","5,912","46.9","23,037"
"Black African","42.4","3,639","50.7","14,719"
"Black Caribbean","26.3","1,531","38.9","5,402"
"Black other","34.2","742","42.7","2,916"
"Chinese","48.6","107","64.5","1,768"
"Mixed","26.1","4,396","45.3","20,250"
"Mixed White/Asian","28.2","709","51.3","4,828"
"Mixed White/Black African","29.7","558","45.7","2,378"
"Mixed White/Black Caribbean","19.2","1,614","33.9","5,479"
"Mixed other","31.1","1,515","49.5","7,565"
"White","17.6","44,327","38.3","352,353"
"White British","16.4","41,457","37.5","326,223"
"White Irish","22.9","188","49.0","1,458"
"Gypsy/Roma","6.4","344","10.0","763"
"Irish Traveller","6.0","67","15.9","44"
"White other","41.8","2,271","50.0","23,865"
"Other","45.2","1,980","51.5","6,593"
"Unknown","20.3","1,033","33.0","6,133"
