"FSM","Ethnicity","%","Pupils"
"Free school meals","All","23.6","66,365"
"Free school meals","Asian","38.5","8,610"
"Free school meals","Bangladeshi","41.1","2,256"
"Free school meals","Indian","42.0","957"
"Free school meals","Pakistani","35.0","4,364"
"Free school meals","Asian other","44.1","1,033"
"Free school meals","Black","37.2","5,912"
"Free school meals","Black African","42.4","3,639"
"Free school meals","Black Caribbean","26.3","1,531"
"Free school meals","Black other","34.2","742"
"Free school meals","Chinese","48.6","107"
"Free school meals","Mixed","26.1","4,396"
"Free school meals","Mixed White/Asian","28.2","709"
"Free school meals","Mixed White/Black African","29.7","558"
"Free school meals","Mixed White/Black Caribbean","19.2","1,614"
"Free school meals","Mixed other","31.1","1,515"
"Free school meals","White","17.6","44,327"
"Free school meals","White British","16.4","41,457"
"Free school meals","White Irish","22.9","188"
"Free school meals","Gypsy/Roma","6.4","344"
"Free school meals","Irish Traveller","6.0","67"
"Free school meals","White other","41.8","2,271"
"Free school meals","Other","45.2","1,980"
"Free school meals","Unknown","20.3","1,033"
"No free school meals","All","40.5","457,261"
"No free school meals","Asian","50.3","47,127"
"No free school meals","Bangladeshi","47.8","7,128"
"No free school meals","Indian","58.0","13,618"
"No free school meals","Pakistani","43.4","18,476"
"No free school meals","Asian other","55.4","7,905"
"No free school meals","Black","46.9","23,037"
"No free school meals","Black African","50.7","14,719"
"No free school meals","Black Caribbean","38.9","5,402"
"No free school meals","Black other","42.7","2,916"
"No free school meals","Chinese","64.5","1,768"
"No free school meals","Mixed","45.3","20,250"
"No free school meals","Mixed White/Asian","51.3","4,828"
"No free school meals","Mixed White/Black African","45.7","2,378"
"No free school meals","Mixed White/Black Caribbean","33.9","5,479"
"No free school meals","Mixed other","49.5","7,565"
"No free school meals","White","38.3","352,353"
"No free school meals","White British","37.5","326,223"
"No free school meals","White Irish","49.0","1,458"
"No free school meals","Gypsy/Roma","10.0","763"
"No free school meals","Irish Traveller","15.9","44"
"No free school meals","White other","50.0","23,865"
"No free school meals","Other","51.5","6,593"
"No free school meals","Unknown","33.0","6,133"
