"","All","","Boys","","Girls",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils"
"All","38.4","523,626","32.8","266,906","44.2","256,720"
"Asian","48.5","55,737","42.0","28,532","55.3","27,205"
"Bangladeshi","46.2","9,384","41.9","4,620","50.3","4,764"
"Indian","57.0","14,575","50.7","7,452","63.6","7,123"
"Pakistani","41.8","22,840","34.1","11,636","49.8","11,204"
"Asian other","54.1","8,938","47.6","4,824","61.7","4,114"
"Black","45.0","28,949","37.8","14,334","52.0","14,615"
"Black African","49.1","18,358","42.2","9,143","55.9","9,215"
"Black Caribbean","36.1","6,933","28.0","3,355","43.8","3,578"
"Black other","41.0","3,658","33.5","1,836","48.6","1,822"
"Chinese","63.6","1,875","58.6","903","68.2","972"
"Mixed","41.8","24,646","36.3","12,447","47.5","12,199"
"Mixed White/Asian","48.4","5,537","43.2","2,793","53.6","2,744"
"Mixed White/Black African","42.7","2,936","35.6","1,474","49.8","1,462"
"Mixed White/Black Caribbean","30.5","7,093","25.0","3,550","36.1","3,543"
"Mixed other","46.4","9,080","41.0","4,630","52.1","4,450"
"White","36.0","396,680","30.6","202,483","41.6","194,197"
"White British","35.1","367,680","29.7","187,806","40.8","179,874"
"White Irish","46.1","1,646","42.3","832","49.9","814"
"Gypsy/Roma","8.9","1,107","5.8","517","11.5","590"
"Irish Traveller","9.9","111","3.6","55","16.1","56"
"White other","49.3","26,136","44.2","13,273","54.6","12,863"
"Other","50.0","8,573","45.0","4,462","55.5","4,111"
"Unknown","31.2","7,166","27.2","3,745","35.6","3,421"
