"","Boys: free school meals","","Boys: no free school meals","","Girls: free school meals","","Girls: no free school meals",""
"Ethnicity","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All","19.0","33,697","34.8","233,209","28.3","32,668","46.5","224,052"
"Asian","31.8","4,331","43.8","24,201","45.3","4,279","57.2","22,926"
"Bangladeshi","37.0","1,093","43.5","3,527","45.1","1,163","52.0","3,601"
"Indian","36.5","457","51.6","6,995","47.0","500","64.9","6,623"
"Pakistani","27.3","2,225","35.7","9,411","43.1","2,139","51.3","9,065"
"Asian other","35.8","556","49.2","4,268","53.9","477","62.7","3,637"
"Black","29.2","2,880","39.9","11,454","44.8","3,032","53.9","11,583"
"Black African","34.1","1,774","44.2","7,369","50.3","1,865","57.3","7,350"
"Black Caribbean","18.5","734","30.6","2,621","33.5","797","46.8","2,781"
"Black other","27.2","372","35.1","1,464","41.4","370","50.4","1,452"
"Chinese","40.9","44","59.5","859","54.0","63","69.2","909"
"Mixed","21.1","2,213","39.6","10,234","31.2","2,183","51.1","10,016"
"Mixed White/Asian","23.2","357","46.1","2,436","33.2","352","56.6","2,392"
"Mixed White/Black African","23.4","286","38.6","1,188","36.4","272","52.9","1,190"
"Mixed White/Black Caribbean","15.0","811","27.9","2,739","23.4","803","39.9","2,740"
"Mixed other","25.6","759","44.0","3,871","36.6","756","55.3","3,694"
"White","14.1","22,720","32.7","179,763","21.4","21,607","44.2","172,590"
"White British","12.9","21,285","31.9","166,521","20.1","20,172","43.4","159,702"
"White Irish","24.7","93","44.5","739","21.1","95","53.7","719"
"Gypsy/Roma","2.9","170","7.2","347","9.8","174","12.3","416"
"Irish Traveller","3.1","32","4.3","23","8.6","35","28.6","21"
"White other","37.0","1,140","44.8","12,133","46.7","1,131","55.3","11,732"
"Other","40.7","1,000","46.2","3,462","49.8","980","57.3","3,131"
"Unknown","16.9","509","28.8","3,236","23.7","524","37.8","2,897"
