"Group","Ethnicity","%","Pupils"
"Boys: free school meals","All","19.0","33,697"
"Boys: free school meals","Asian","31.8","4,331"
"Boys: free school meals","Bangladeshi","37.0","1,093"
"Boys: free school meals","Indian","36.5","457"
"Boys: free school meals","Pakistani","27.3","2,225"
"Boys: free school meals","Asian other","35.8","556"
"Boys: free school meals","Black","29.2","2,880"
"Boys: free school meals","Black African","34.1","1,774"
"Boys: free school meals","Black Caribbean","18.5","734"
"Boys: free school meals","Black other","27.2","372"
"Boys: free school meals","Chinese","40.9","44"
"Boys: free school meals","Mixed","21.1","2,213"
"Boys: free school meals","Mixed White/Asian","23.2","357"
"Boys: free school meals","Mixed White/Black African","23.4","286"
"Boys: free school meals","Mixed White/Black Caribbean","15.0","811"
"Boys: free school meals","Mixed other","25.6","759"
"Boys: free school meals","White","14.1","22,720"
"Boys: free school meals","White British","12.9","21,285"
"Boys: free school meals","White Irish","24.7","93"
"Boys: free school meals","Gypsy/Roma","2.9","170"
"Boys: free school meals","Irish Traveller","3.1","32"
"Boys: free school meals","White other","37.0","1,140"
"Boys: free school meals","Other","40.7","1,000"
"Boys: free school meals","Unknown","16.9","509"
"Boys: no free school meals","All","34.8","233,209"
"Boys: no free school meals","Asian","43.8","24,201"
"Boys: no free school meals","Bangladeshi","43.5","3,527"
"Boys: no free school meals","Indian","51.6","6,995"
"Boys: no free school meals","Pakistani","35.7","9,411"
"Boys: no free school meals","Asian other","49.2","4,268"
"Boys: no free school meals","Black","39.9","11,454"
"Boys: no free school meals","Black African","44.2","7,369"
"Boys: no free school meals","Black Caribbean","30.6","2,621"
"Boys: no free school meals","Black other","35.1","1,464"
"Boys: no free school meals","Chinese","59.5","859"
"Boys: no free school meals","Mixed","39.6","10,234"
"Boys: no free school meals","Mixed White/Asian","46.1","2,436"
"Boys: no free school meals","Mixed White/Black African","38.6","1,188"
"Boys: no free school meals","Mixed White/Black Caribbean","27.9","2,739"
"Boys: no free school meals","Mixed other","44.0","3,871"
"Boys: no free school meals","White","32.7","179,763"
"Boys: no free school meals","White British","31.9","166,521"
"Boys: no free school meals","White Irish","44.5","739"
"Boys: no free school meals","Gypsy/Roma","7.2","347"
"Boys: no free school meals","Irish Traveller","4.3","23"
"Boys: no free school meals","White other","44.8","12,133"
"Boys: no free school meals","Other","46.2","3,462"
"Boys: no free school meals","Unknown","28.8","3,236"
"Girls: free school meals","All","28.3","32,668"
"Girls: free school meals","Asian","45.3","4,279"
"Girls: free school meals","Bangladeshi","45.1","1,163"
"Girls: free school meals","Indian","47.0","500"
"Girls: free school meals","Pakistani","43.1","2,139"
"Girls: free school meals","Asian other","53.9","477"
"Girls: free school meals","Black","44.8","3,032"
"Girls: free school meals","Black African","50.3","1,865"
"Girls: free school meals","Black Caribbean","33.5","797"
"Girls: free school meals","Black other","41.4","370"
"Girls: free school meals","Chinese","54.0","63"
"Girls: free school meals","Mixed","31.2","2,183"
"Girls: free school meals","Mixed White/Asian","33.2","352"
"Girls: free school meals","Mixed White/Black African","36.4","272"
"Girls: free school meals","Mixed White/Black Caribbean","23.4","803"
"Girls: free school meals","Mixed other","36.6","756"
"Girls: free school meals","White","21.4","21,607"
"Girls: free school meals","White British","20.1","20,172"
"Girls: free school meals","White Irish","21.1","95"
"Girls: free school meals","Gypsy/Roma","9.8","174"
"Girls: free school meals","Irish Traveller","8.6","35"
"Girls: free school meals","White other","46.7","1,131"
"Girls: free school meals","Other","49.8","980"
"Girls: free school meals","Unknown","23.7","524"
"Girls: no free school meals","All","46.5","224,052"
"Girls: no free school meals","Asian","57.2","22,926"
"Girls: no free school meals","Bangladeshi","52.0","3,601"
"Girls: no free school meals","Indian","64.9","6,623"
"Girls: no free school meals","Pakistani","51.3","9,065"
"Girls: no free school meals","Asian other","62.7","3,637"
"Girls: no free school meals","Black","53.9","11,583"
"Girls: no free school meals","Black African","57.3","7,350"
"Girls: no free school meals","Black Caribbean","46.8","2,781"
"Girls: no free school meals","Black other","50.4","1,452"
"Girls: no free school meals","Chinese","69.2","909"
"Girls: no free school meals","Mixed","51.1","10,016"
"Girls: no free school meals","Mixed White/Asian","56.6","2,392"
"Girls: no free school meals","Mixed White/Black African","52.9","1,190"
"Girls: no free school meals","Mixed White/Black Caribbean","39.9","2,740"
"Girls: no free school meals","Mixed other","55.3","3,694"
"Girls: no free school meals","White","44.2","172,590"
"Girls: no free school meals","White British","43.4","159,702"
"Girls: no free school meals","White Irish","53.7","719"
"Girls: no free school meals","Gypsy/Roma","12.3","416"
"Girls: no free school meals","Irish Traveller","28.6","21"
"Girls: no free school meals","White other","55.3","11,732"
"Girls: no free school meals","Other","57.3","3,131"
"Girls: no free school meals","Unknown","37.8","2,897"
