"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Religious character","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","39.1","33.7","44.7","49.1","42.7","55.8","45.9","39.0","52.6","64.3","59.6","68.6","42.7","37.4","48.0","36.8","31.6","42.1"
"Church of England schools","40.4","35.3","45.6","49.1","45.0","53.9","47.2","40.2","53.2","68.4","69.2","67.6","43.6","40.1","46.7","38.1","32.7","43.7"
"Hindu schools","57.9","57.9","58.0","59.8","60.4","59.1","0.0","N/A","0.0","N/A","N/A","N/A","60.0","33.3","100.0","0.0","0.0","0.0"
"Jewish schools","50.3","48.7","51.7","67.4","59.1","75.0","44.8","37.5","53.8","0.0","0.0","N/A","48.1","33.3","60.0","46.2","43.1","48.4"
"Muslim schools","77.3","73.0","79.0","78.9","76.9","79.6","67.2","50.0","73.5","N/A","N/A","N/A","61.1","25.0","90.0","100.0","N/A","100.0"
"No religious character","38.4","33.0","44.0","48.4","42.1","55.0","44.9","38.3","51.7","64.0","58.0","69.3","42.1","36.5","47.9","36.0","30.8","41.3"
"Other Christian faith schools","42.7","38.8","47.1","58.8","52.9","66.3","37.1","34.1","41.3","69.6","70.5","68.0","49.7","51.1","47.8","40.4","36.0","45.0"
"Roman Catholic schools","43.5","37.8","49.0","45.8","38.5","53.9","49.6","41.9","55.9","61.4","60.3","62.5","44.8","40.1","48.9","41.9","36.5","47.1"
"Sikh schools","88.4","82.4","94.7","88.3","81.3","95.7","75.0","N/A","75.0","100.0","100.0","N/A","89.5","87.5","90.9","100.0","100.0","100.0"
