"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"Barking and Dagenham","46.1","2,199","53.9","449","47.1","619","79.3","2","42.4","127","41.9","921"
"Barnet","56.0","3,810","67.8","532","47.1","497","72.0","44","55.0","409","55.4","1,914"
"Barnsley","42.5","2,011","51.8","8","36.8","14","N/A","0","47.6","35","42.4","1,940"
"Bath and North East Somerset","48.7","2,074","57.0","23","40.8","24","72.0","5","48.9","94","49.0","1,868"
"Bedford","45.8","1,832","45.1","269","47.7","91","64.5","1","41.7","152","46.3","1,281"
"Bexley","49.6","3,032","58.6","232","54.8","620","66.0","33","48.4","194","46.7","1,901"
"Birmingham","45.8","12,166","46.9","5,017","43.3","1,489","75.0","42","45.1","864","45.8","3,992"
"Blackburn with Darwen","45.8","1,830","49.7","838","35.6","13","65.3","3","41.6","45","42.5","913"
"Blackpool","38.5","1,136","47.3","22","37.4","5","60.5","3","43.8","23","38.1","1,078"
"Bolton","44.6","3,251","50.3","698","44.0","146","61.6","5","41.3","109","43.1","2,238"
"Bournemouth","50.0","1,512","56.9","41","47.1","7","70.6","14","50.3","74","49.7","1,328"
"Bracknell Forest","48.1","1,043","54.1","59","47.3","21","57.0","1","49.3","41","47.7","911"
"Bradford","42.7","5,941","44.3","2,727","38.7","104","58.8","3","39.5","244","41.8","2,715"
"Brent","49.9","2,858","52.0","897","44.5","675","62.2","3","49.7","178","47.4","494"
"Brighton and Hove","48.0","2,169","51.2","57","42.1","58","57.7","13","48.4","191","48.0","1,775"
"Bristol, City of","45.5","3,109","48.0","261","40.6","345","61.7","13","45.7","248","46.0","2,167"
"Bromley","50.3","3,214","68.7","166","51.0","306","74.7","33","51.2","269","49.6","2,270"
"Buckinghamshire","55.0","5,665","56.2","1,021","53.1","187","64.2","18","54.6","327","54.7","4,015"
"Bury","45.2","2,113","46.9","307","40.0","46","56.2","8","42.0","97","45.0","1,618"
"Calderdale","49.4","2,410","48.2","384","48.3","26","64.1","4","49.6","73","49.7","1,909"
"Cambridgeshire","48.0","5,491","53.0","157","42.5","61","65.5","24","53.4","227","48.0","4,858"
"Camden","48.0","1,533","46.6","274","44.2","358","53.1","11","46.7","181","51.0","546"
"Central Bedfordshire","45.2","2,579","47.0","50","45.9","56","57.4","9","42.7","114","45.2","2,301"
"Cheshire East","48.8","3,537","50.7","61","44.0","12","71.3","8","47.5","85","48.8","3,328"
"Cheshire West and Chester","46.4","3,298","50.7","30","46.0","12","54.4","10","48.1","59","46.3","3,161"
"City of London","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Cornwall","45.1","5,117","50.7","16","56.0","5","36.4","6","46.1","82","45.1","4,940"
"County Durham","45.0","4,614","53.6","32","54.4","11","70.1","6","50.7","49","45.2","4,434"
"Coventry","43.3","3,377","49.2","687","43.9","335","58.1","6","40.7","192","41.4","2,105"
