"Ethnicity","Geography","Score","Pupils"
"All","Barking and Dagenham","46.1","2,199"
"All","Barnet","56.0","3,810"
"All","Barnsley","42.5","2,011"
"All","Bath and North East Somerset","48.7","2,074"
"All","Bedford","45.8","1,832"
"All","Bexley","49.6","3,032"
"All","Birmingham","45.8","12,166"
"All","Blackburn with Darwen","45.8","1,830"
"All","Blackpool","38.5","1,136"
"All","Bolton","44.6","3,251"
"All","Bournemouth","50.0","1,512"
"All","Bracknell Forest","48.1","1,043"
"All","Bradford","42.7","5,941"
"All","Brent","49.9","2,858"
"All","Brighton and Hove","48.0","2,169"
"All","Bristol, City of","45.5","3,109"
"All","Bromley","50.3","3,214"
"All","Buckinghamshire","55.0","5,665"
"All","Bury","45.2","2,113"
"All","Calderdale","49.4","2,410"
"All","Cambridgeshire","48.0","5,491"
"All","Camden","48.0","1,533"
"All","Central Bedfordshire","45.2","2,579"
"All","Cheshire East","48.8","3,537"
"All","Cheshire West and Chester","46.4","3,298"
"All","City of London","N/A","0"
"All","Cornwall","45.1","5,117"
"All","County Durham","45.0","4,614"
"All","Coventry","43.3","3,377"
"All","Croydon","45.8","3,452"
"All","Cumbria","46.7","4,689"
"All","Darlington","45.8","1,097"
"All","Derby","43.2","2,747"
"All","Derbyshire","45.6","7,069"
"All","Devon","45.8","6,559"
"All","Doncaster","42.7","2,903"
"All","Dorset","47.4","3,989"
"All","Dudley","43.4","3,283"
"All","Ealing","50.0","2,853"
"All","East Riding of Yorkshire","48.1","3,151"
"All","East Sussex","45.2","4,665"
"All","Enfield","46.3","3,414"
"All","Essex","46.1","14,040"
"All","Gateshead","46.2","1,885"
"All","Gloucestershire","49.6","6,006"
"All","Greenwich","44.5","2,269"
"All","Hackney","49.0","2,058"
"All","Halton","44.2","1,333"
"All","Hammersmith and Fulham","52.9","1,291"
"All","Hampshire","47.2","12,497"
"All","Haringey","46.3","2,190"
"All","Harrow","50.7","2,044"
"All","Hartlepool","42.3","1,016"
"All","Havering","46.9","2,774"
"All","Herefordshire, County of","45.9","1,644"
"All","Hertfordshire","51.5","12,372"
"All","Hillingdon","47.8","3,064"
"All","Hounslow","49.4","2,666"
"All","Isle of Wight","40.8","1,070"
"All","Isles of Scilly","64.8","15"
"All","Islington","46.3","1,404"
"All","Kensington and Chelsea","51.6","718"
"All","Kent","47.1","15,516"
"All","Kingston upon Hull, City of","43.3","2,307"
"All","Kingston upon Thames","57.8","1,515"
"All","Kirklees","45.4","4,488"
"All","Knowsley","35.3","929"
"All","Lambeth","44.6","2,114"
"All","Lancashire","46.7","11,631"
"All","Leeds","44.8","7,598"
"All","Leicester","42.8","3,511"
"All","Leicestershire","46.2","6,837"
"All","Lewisham","44.9","2,104"
"All","Lincolnshire","46.6","7,255"
"All","Liverpool","43.5","4,461"
"All","Luton","43.3","2,567"
"All","Manchester","43.2","4,734"
"All","Medway","46.0","2,899"
"All","Merton","49.7","1,404"
"All","Middlesbrough","42.4","1,337"
"All","Milton Keynes","44.5","2,774"
"All","Newcastle upon Tyne","45.1","2,438"
"All","Newham","48.7","3,745"
"All","Norfolk","45.1","7,486"
"All","North East Lincolnshire","43.4","1,558"
"All","North Lincolnshire","44.8","1,680"
"All","North Somerset","46.5","2,085"
"All","North Tyneside","46.0","1,879"
