"Ethnicity","Type of School","Score","Pupils"
"All","Academies and free schools","47.9","360,345"
"All","All state-funded mainstream schools","47.4","513,356"
"All","All state-funded schools","46.5","523,626"
"All","Converter academies","50.2","258,093"
"All","Free schools","48.9","6,037"
"All","Further education colleges with provision for 14- to 16-year-olds","18.0","1,209"
"All","Local authority maintained mainstream schools","46.5","151,242"
"All","Sponsored academies","41.7","92,197"
"All","State-funded special schools","2.8","10,270"
"All","Studio schools","36.3","1,061"
"All","University technical colleges","38.2","2,957"
"Asian","Academies and free schools","52.3","36,343"
"Asian","All state-funded mainstream schools","51.0","55,026"
"Asian","All state-funded schools","50.4","55,737"
"Asian","Converter academies","54.7","25,479"
"Asian","Free schools","55.8","1,291"
"Asian","Further education colleges with provision for 14- to 16-year-olds","4.4","5"
"Asian","Local authority maintained mainstream schools","48.6","18,640"
"Asian","Sponsored academies","45.7","9,231"
"Asian","State-funded special schools","1.0","711"
"Asian","Studio schools","38.1","76"
"Asian","University technical colleges","40.8","266"
"Black","Academies and free schools","46.6","18,236"
"Black","All state-funded mainstream schools","46.0","28,333"
"Black","All state-funded schools","45.0","28,949"
"Black","Converter academies","48.4","10,735"
"Black","Free schools","47.4","588"
"Black","Further education colleges with provision for 14- to 16-year-olds","2.0","4"
"Black","Local authority maintained mainstream schools","44.8","10,056"
"Black","Sponsored academies","44.0","6,670"
"Black","State-funded special schools","1.8","616"
"Black","Studio schools","39.1","34"
"Black","University technical colleges","35.5","209"
"Chinese","Academies and free schools","66.3","1,391"
"Chinese","All state-funded mainstream schools","64.9","1,853"
"Chinese","All state-funded schools","64.2","1,875"
"Chinese","Converter academies","67.9","1,105"
"Chinese","Free schools","64.5","26"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","0"
"Chinese","Local authority maintained mainstream schools","60.8","459"
"Chinese","Sponsored academies","60.0","256"
"Chinese","State-funded special schools","0.7","22"
"Chinese","Studio schools","46.0","1"
"Chinese","University technical colleges","53.8","3"
"Mixed","Academies and free schools","48.8","17,034"
"Mixed","All state-funded mainstream schools","48.2","24,142"
"Mixed","All state-funded schools","47.3","24,646"
"Mixed","Converter academies","51.2","11,828"
"Mixed","Free schools","48.0","428"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","5.5","8"
"Mixed","Local authority maintained mainstream schools","46.8","7,051"
"Mixed","Sponsored academies","43.3","4,549"
"Mixed","State-funded special schools","3.2","504"
"Mixed","Studio schools","37.6","51"
"Mixed","University technical colleges","36.7","178"
"White","Academies and free schools","47.3","277,452"
"White","All state-funded mainstream schools","47.0","388,496"
"White","All state-funded schools","46.1","396,680"
"White","Converter academies","49.6","202,901"
"White","Free schools","47.0","3,400"
"White","Further education colleges with provision for 14- to 16-year-olds","2.4","29"
"White","Local authority maintained mainstream schools","46.2","110,587"
"White","Sponsored academies","40.8","68,219"
"White","State-funded special schools","3.1","8,184"
"White","Studio schools","36.1","818"
"White","University technical colleges","38.2","2,114"
