"","Boys: free school meals","","Boys: no free school meals","","Girls: free school meals","","Girls: no free school meals",""
"Ethnicity","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All","31.2","33,697","45.6","233,209","37.7","32,668","51.0","224,052"
"Asian","40.2","4,331","49.4","24,201","45.7","4,279","54.3","22,926"
"Bangladeshi","42.8","1,093","48.7","3,527","47.5","1,163","53.3","3,601"
"Indian","44.3","457","54.8","6,995","48.6","500","59.3","6,623"
"Pakistani","38.1","2,225","44.4","9,411","43.6","2,139","49.5","9,065"
"Asian other","40.2","556","52.0","4,268","47.3","477","58.3","3,637"
"Black","34.5","2,880","43.1","11,454","43.0","3,032","50.1","11,583"
"Black African","37.7","1,774","45.5","7,369","45.8","1,865","52.3","7,350"
"Black Caribbean","28.1","734","37.6","2,621","37.3","797","45.2","2,781"
"Black other","31.5","372","40.9","1,464","41.4","370","48.4","1,452"
"Chinese","52.9","44","62.3","859","60.8","63","66.7","909"
"Mixed","33.3","2,213","47.0","10,234","40.0","2,183","52.3","10,016"
"Mixed White/Asian","35.9","357","52.8","2,436","41.3","352","56.3","2,392"
"Mixed White/Black African","35.4","286","44.8","1,188","42.3","272","51.7","1,190"
"Mixed White/Black Caribbean","29.8","811","40.5","2,739","37.0","803","46.8","2,740"
"Mixed other","35.1","759","48.5","3,871","41.7","756","54.1","3,694"
"White","28.5","22,720","45.3","179,763","34.8","21,607","50.6","172,590"
"White British","28.2","21,285","45.3","166,521","34.5","20,172","50.7","159,702"
"White Irish","28.9","93","52.8","739","41.4","95","56.0","719"
"Gypsy/Roma","14.2","170","16.0","347","19.2","174","21.1","416"
"Irish Traveller","14.0","32","23.3","23","21.7","35","32.6","21"
"White other","37.1","1,140","44.9","12,133","42.4","1,131","50.6","11,732"
"Other","40.3","1,000","45.5","3,462","45.3","980","51.8","3,131"
"Unknown","30.0","509","38.2","3,236","35.7","524","44.6","2,897"
