"Group","Ethnicity","Score","Pupils"
"Boys: free school meals","All","31.2","33,697"
"Boys: free school meals","Asian","40.2","4,331"
"Boys: free school meals","Bangladeshi","42.8","1,093"
"Boys: free school meals","Indian","44.3","457"
"Boys: free school meals","Pakistani","38.1","2,225"
"Boys: free school meals","Asian other","40.2","556"
"Boys: free school meals","Black","34.5","2,880"
"Boys: free school meals","Black African","37.7","1,774"
"Boys: free school meals","Black Caribbean","28.1","734"
"Boys: free school meals","Black other","31.5","372"
"Boys: free school meals","Chinese","52.9","44"
"Boys: free school meals","Mixed","33.3","2,213"
"Boys: free school meals","Mixed White/Asian","35.9","357"
"Boys: free school meals","Mixed White/Black African","35.4","286"
"Boys: free school meals","Mixed White/Black Caribbean","29.8","811"
"Boys: free school meals","Mixed other","35.1","759"
"Boys: free school meals","White","28.5","22,720"
"Boys: free school meals","White British","28.2","21,285"
"Boys: free school meals","White Irish","28.9","93"
"Boys: free school meals","Gypsy/Roma","14.2","170"
"Boys: free school meals","Irish Traveller","14.0","32"
"Boys: free school meals","White other","37.1","1,140"
"Boys: free school meals","Other","40.3","1,000"
"Boys: free school meals","Unknown","30.0","509"
"Boys: no free school meals","All","45.6","233,209"
"Boys: no free school meals","Asian","49.4","24,201"
"Boys: no free school meals","Bangladeshi","48.7","3,527"
"Boys: no free school meals","Indian","54.8","6,995"
"Boys: no free school meals","Pakistani","44.4","9,411"
"Boys: no free school meals","Asian other","52.0","4,268"
"Boys: no free school meals","Black","43.1","11,454"
"Boys: no free school meals","Black African","45.5","7,369"
"Boys: no free school meals","Black Caribbean","37.6","2,621"
"Boys: no free school meals","Black other","40.9","1,464"
"Boys: no free school meals","Chinese","62.3","859"
"Boys: no free school meals","Mixed","47.0","10,234"
"Boys: no free school meals","Mixed White/Asian","52.8","2,436"
"Boys: no free school meals","Mixed White/Black African","44.8","1,188"
"Boys: no free school meals","Mixed White/Black Caribbean","40.5","2,739"
"Boys: no free school meals","Mixed other","48.5","3,871"
"Boys: no free school meals","White","45.3","179,763"
"Boys: no free school meals","White British","45.3","166,521"
"Boys: no free school meals","White Irish","52.8","739"
"Boys: no free school meals","Gypsy/Roma","16.0","347"
"Boys: no free school meals","Irish Traveller","23.3","23"
"Boys: no free school meals","White other","44.9","12,133"
"Boys: no free school meals","Other","45.5","3,462"
"Boys: no free school meals","Unknown","38.2","3,236"
"Girls: free school meals","All","37.7","32,668"
"Girls: free school meals","Asian","45.7","4,279"
"Girls: free school meals","Bangladeshi","47.5","1,163"
"Girls: free school meals","Indian","48.6","500"
"Girls: free school meals","Pakistani","43.6","2,139"
"Girls: free school meals","Asian other","47.3","477"
"Girls: free school meals","Black","43.0","3,032"
"Girls: free school meals","Black African","45.8","1,865"
"Girls: free school meals","Black Caribbean","37.3","797"
"Girls: free school meals","Black other","41.4","370"
"Girls: free school meals","Chinese","60.8","63"
"Girls: free school meals","Mixed","40.0","2,183"
"Girls: free school meals","Mixed White/Asian","41.3","352"
"Girls: free school meals","Mixed White/Black African","42.3","272"
"Girls: free school meals","Mixed White/Black Caribbean","37.0","803"
"Girls: free school meals","Mixed other","41.7","756"
"Girls: free school meals","White","34.8","21,607"
"Girls: free school meals","White British","34.5","20,172"
"Girls: free school meals","White Irish","41.4","95"
"Girls: free school meals","Gypsy/Roma","19.2","174"
"Girls: free school meals","Irish Traveller","21.7","35"
"Girls: free school meals","White other","42.4","1,131"
"Girls: free school meals","Other","45.3","980"
"Girls: free school meals","Unknown","35.7","524"
"Girls: no free school meals","All","51.0","224,052"
"Girls: no free school meals","Asian","54.3","22,926"
"Girls: no free school meals","Bangladeshi","53.3","3,601"
"Girls: no free school meals","Indian","59.3","6,623"
"Girls: no free school meals","Pakistani","49.5","9,065"
"Girls: no free school meals","Asian other","58.3","3,637"
"Girls: no free school meals","Black","50.1","11,583"
"Girls: no free school meals","Black African","52.3","7,350"
"Girls: no free school meals","Black Caribbean","45.2","2,781"
"Girls: no free school meals","Black other","48.4","1,452"
"Girls: no free school meals","Chinese","66.7","909"
"Girls: no free school meals","Mixed","52.3","10,016"
"Girls: no free school meals","Mixed White/Asian","56.3","2,392"
"Girls: no free school meals","Mixed White/Black African","51.7","1,190"
"Girls: no free school meals","Mixed White/Black Caribbean","46.8","2,740"
"Girls: no free school meals","Mixed other","54.1","3,694"
"Girls: no free school meals","White","50.6","172,590"
"Girls: no free school meals","White British","50.7","159,702"
"Girls: no free school meals","White Irish","56.0","719"
"Girls: no free school meals","Gypsy/Roma","21.1","416"
"Girls: no free school meals","Irish Traveller","32.6","21"
"Girls: no free school meals","White other","50.6","11,732"
"Girls: no free school meals","Other","51.8","3,131"
"Girls: no free school meals","Unknown","44.6","2,897"
