"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Religious character","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","47.4","45.0","49.9","51.0","48.8","53.4","46.0","42.6","49.2","64.9","63.0","66.7","48.2","45.8","50.6","47.0","44.6","49.4"
"Church of England schools","48.6","46.4","50.9","53.0","51.4","54.8","46.2","42.7","49.2","66.7","65.9","67.4","48.9","48.0","49.7","48.4","46.1","50.8"
"Hindu schools","56.6","56.4","56.9","57.9","58.1","57.7","41.0","N/A","41.0","N/A","N/A","N/A","56.9","45.5","74.0","22.0","0.0","33.0"
"Jewish schools","60.0","58.3","61.3","54.7","52.7","56.5","46.4","42.7","50.9","64.5","64.5","N/A","47.2","41.6","51.7","59.6","57.3","61.2"
"Muslim schools","59.1","57.2","59.8","59.4","57.9","60.0","55.9","51.3","57.6","N/A","N/A","N/A","54.1","46.8","60.0","88.0","N/A","88.0"
"No religious character","47.0","44.6","49.5","50.5","48.2","52.8","45.3","42.0","48.5","64.6","62.2","66.8","47.8","45.4","50.3","46.6","44.2","49.0"
"Other Christian faith schools","49.9","48.4","51.6","61.3","59.3","63.8","47.5","44.9","51.1","71.4","74.0","67.0","54.1","54.1","54.1","48.4","46.7","50.2"
"Roman Catholic schools","49.4","46.8","51.8","52.3","49.6","55.4","48.3","44.8","51.1","63.6","61.9","65.4","49.7","46.5","52.3","49.1","46.7","51.4"
"Sikh schools","54.5","51.7","57.5","54.6","52.0","57.3","54.0","N/A","54.0","51.5","51.5","N/A","53.2","49.1","56.1","67.8","59.0","76.5"
