"Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","47.4","45.0","49.9"
"All","Church of England schools","48.6","46.4","50.9"
"All","Hindu schools","56.6","56.4","56.9"
"All","Jewish schools","60.0","58.3","61.3"
"All","Muslim schools","59.1","57.2","59.8"
"All","No religious character","47.0","44.6","49.5"
"All","Other Christian faith schools","49.9","48.4","51.6"
"All","Roman Catholic schools","49.4","46.8","51.8"
"All","Sikh schools","54.5","51.7","57.5"
"Asian","All state-funded mainstream schools","51.0","48.8","53.4"
"Asian","Church of England schools","53.0","51.4","54.8"
"Asian","Hindu schools","57.9","58.1","57.7"
"Asian","Jewish schools","54.7","52.7","56.5"
"Asian","Muslim schools","59.4","57.9","60.0"
"Asian","No religious character","50.5","48.2","52.8"
"Asian","Other Christian faith schools","61.3","59.3","63.8"
"Asian","Roman Catholic schools","52.3","49.6","55.4"
"Asian","Sikh schools","54.6","52.0","57.3"
"Black","All state-funded mainstream schools","46.0","42.6","49.2"
"Black","Church of England schools","46.2","42.7","49.2"
"Black","Hindu schools","41.0","N/A","41.0"
"Black","Jewish schools","46.4","42.7","50.9"
"Black","Muslim schools","55.9","51.3","57.6"
"Black","No religious character","45.3","42.0","48.5"
"Black","Other Christian faith schools","47.5","44.9","51.1"
"Black","Roman Catholic schools","48.3","44.8","51.1"
"Black","Sikh schools","54.0","N/A","54.0"
"Chinese","All state-funded mainstream schools","64.9","63.0","66.7"
"Chinese","Church of England schools","66.7","65.9","67.4"
"Chinese","Hindu schools","N/A","N/A","N/A"
"Chinese","Jewish schools","64.5","64.5","N/A"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","64.6","62.2","66.8"
"Chinese","Other Christian faith schools","71.4","74.0","67.0"
"Chinese","Roman Catholic schools","63.6","61.9","65.4"
"Chinese","Sikh schools","51.5","51.5","N/A"
"Mixed","All state-funded mainstream schools","48.2","45.8","50.6"
"Mixed","Church of England schools","48.9","48.0","49.7"
"Mixed","Hindu schools","56.9","45.5","74.0"
"Mixed","Jewish schools","47.2","41.6","51.7"
"Mixed","Muslim schools","54.1","46.8","60.0"
"Mixed","No religious character","47.8","45.4","50.3"
"Mixed","Other Christian faith schools","54.1","54.1","54.1"
"Mixed","Roman Catholic schools","49.7","46.5","52.3"
"Mixed","Sikh schools","53.2","49.1","56.1"
"White","All state-funded mainstream schools","47.0","44.6","49.4"
"White","Church of England schools","48.4","46.1","50.8"
"White","Hindu schools","22.0","0.0","33.0"
"White","Jewish schools","59.6","57.3","61.2"
"White","Muslim schools","88.0","N/A","88.0"
"White","No religious character","46.6","44.2","49.0"
"White","Other Christian faith schools","48.4","46.7","50.2"
"White","Roman Catholic schools","49.1","46.7","51.4"
"White","Sikh schools","67.8","59.0","76.5"
