"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","SEN_type","SEN_grouping","Admission_type","school_characteristic","Religious_denomination","Value","Denominator","Numerator"
"Average Attainment 8 score","All","All","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","46.7","542568","25333500.08"
"Average Attainment 8 score","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","44","276638","12178447.68"
"Average Attainment 8 score","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","49.5","265930","13155052.4"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","51.1","4921","251655.03"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","48.2","4942","238364"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","54.9","8082","443805.11"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","43.6","12063","525558.39"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","48.6","30008","1459382.53"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","38.7","1941","75109.25"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","43.6","9802","427857.26"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","35.7","3776","134827.25"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","41.1","15519","637793.76"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","62.7","1002","62824.79"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","46.8","5182","242312.15"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","44.5","4983","221926.94"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","43.6","191323","8332201.41"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","49.7","878","43629.5"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","58.3","4382","255313.14"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","31.6","67","2118.25"
"Average Attainment 8 score","White British","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","48.9","184089","8998068.77"
"Average Attainment 8 score","White Irish","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","54.7","810","44308.75"
"Average Attainment 8 score","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","54.5","9303","506968.17"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","50.6","9877","499784.26"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","57.3","15429","884562.5"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","46.2","23502","1084821.2"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","51.2","58111","2976136.13"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","49.2","10108","497558.32"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","47.6","27018","1286409.14"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","53.2","6144","326727.78"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","47.4","3262","154612.78"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","41","7504","307510.26"
"Average Attainment 8 score","Other","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","47.3","9607","454462.7"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","44.9","13558","608833.56"
"Average Attainment 8 score","Mixed White and Asian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","51","3130","159590.64"
"Average Attainment 8 score","Mixed White and Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","44.2","1617","71433.02"
"Average Attainment 8 score","Mixed White and Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","37.3","3629","135497.75"
"Average Attainment 8 score","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","48.7","15656","761897.68"
"Average Attainment 8 score","Chinese","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","65.9","1004","66187.17"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","38.1","4188","159514.88"
"Average Attainment 8 score","White Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","44.2","14480","640170.31"
"Average Attainment 8 score","Gypsy/Roma","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","16.7","615","10266.5"
"Average Attainment 8 score","White","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","43.5","207380","9028171.22"
"Average Attainment 8 score","Irish Traveller","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys"," 11-16","All","All","All","All","All state-funded","All","22.7","84","1903.5"
"Average Attainment 8 score","Unknown","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All"," 11-16","All","All","All","All","All state-funded","All","40.5","7943","321793.26"
"Average Attainment 8 score","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","53","4935","261420.26"
"Average Attainment 8 score","Indian","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","60","7347","440757.39"
"Average Attainment 8 score","Pakistani","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","48.9","11439","559262.81"
"Average Attainment 8 score","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","54","28103","1516753.6"
"Average Attainment 8 score","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","47.2","1934","91347.64"
"Average Attainment 8 score","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","51","10005","509990.04"
"Average Attainment 8 score","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","43.2","3717","160560"
"Average Attainment 8 score","Mixed Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","51.8","4926","255246.17"
"Average Attainment 8 score","Mixed","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls"," 11-16","All","All","All","All","All state-funded","All","50.3","13460","677575.58"
