"","Free school meals","","No free school meals",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","38.6","88,666","52.3","473,328"
"Asian","47.1","10,443","56.0","50,580"
"Bangladeshi","50.0","2,707","55.3","7,665"
"Indian","51.9","1,143","61.4","14,986"
"Pakistani","44.7","5,162","50.6","19,113"
"Asian other","46.4","1,431","59.1","8,816"
"Black","43.7","8,265","50.6","24,670"
"Black African","45.8","5,153","52.5","16,146"
"Black Caribbean","39.0","2,039","45.9","5,339"
"Black other","42.2","1,073","49.1","3,185"
"Chinese","62.8","140","68.0","1,819"
"Mixed","40.5","6,321","53.7","23,160"
"Mixed White/Asian","42.2","1,062","58.5","5,592"
"Mixed White/Black African","43.4","832","53.3","2,874"
"Mixed White/Black Caribbean","37.0","2,244","47.9","5,784"
"Mixed other","42.2","2,183","54.5","8,910"
"White","35.8","59,303","52.0","357,201"
"White British","35.6","55,375","52.1","327,646"
"White Irish","38.3","223","58.3","1,425"
"Gypsy/Roma","21.1","497","24.6","857"
"Irish Traveller","25.1","89","40.2","71"
"White other","42.8","3,119","51.6","27,202"
"Other","44.8","2,783","52.7","7,739"
"Unknown","37.9","1,411","42.0","8,159"
