"SEN","Ethnicity","Score","Pupils"
"No identified SEN","All","53.7","477,952"
"No identified SEN","Asian","57.2","54,832"
"No identified SEN","Black","52.0","28,402"
"No identified SEN","Chinese","69.1","1,839"
"No identified SEN","Mixed","54.1","25,185"
"No identified SEN","White","53.2","351,792"
"No identified SEN","Other","53.0","9,345"
"No identified SEN","Unknown","51.1","6,557"
"Any SEN","All","30.7","82,093"
"Any SEN","Asian","30.4","6,189"
"Any SEN","Black","29.6","4,532"
"Any SEN","Chinese","45.1","120"
"Any SEN","Mixed","31.4","4,292"
"Any SEN","White","30.8","64,654"
"Any SEN","Other","31.4","1,175"
"Any SEN","Unknown","29.7","1,131"
"SEN support","All","36.4","60,251"
"SEN support","Asian","36.8","4,432"
"SEN support","Black","35.8","3,222"
"SEN support","Chinese","53.0","78"
"SEN support","Mixed","37.0","3,153"
"SEN support","White","36.3","47,662"
"SEN support","Other","36.7","885"
"SEN support","Unknown","34.7","819"
"SEN with a statement or EHC plan","All","15.2","21,842"
"SEN with a statement or EHC plan","Asian","14.4","1,757"
"SEN with a statement or EHC plan","Black","14.4","1,310"
"SEN with a statement or EHC plan","Chinese","30.4","42"
"SEN with a statement or EHC plan","Mixed","16.0","1,139"
"SEN with a statement or EHC plan","White","15.2","16,992"
"SEN with a statement or EHC plan","Other","15.5","290"
"SEN with a statement or EHC plan","Unknown","16.7","312"
