"Free school meals","Ethnicity","Score","Pupils"
"Free school meals","All","39.1","107,838"
"Free school meals","Asian","48.0","12,664"
"Free school meals","Bangladeshi","51.5","3,141"
"Free school meals","Indian","51.6","1,405"
"Free school meals","Pakistani","45.3","6,287"
"Free school meals","Asian other","48.6","1,831"
"Free school meals","Black","44.7","10,197"
"Free school meals","Black African","47.5","6,478"
"Free school meals","Black Caribbean","38.3","2,375"
"Free school meals","Black other","42.7","1,344"
"Free school meals","Chinese","66.5","157"
"Free school meals","Mixed","40.9","8,077"
"Free school meals","Mixed White/Asian","42.5","1,474"
"Free school meals","Mixed White/Black African","42.5","1,089"
"Free school meals","Mixed White/Black Caribbean","37.0","2,746"
"Free school meals","Mixed other","43.2","2,768"
"Free school meals","White","36.1","71,165"
"Free school meals","White British","35.8","66,121"
"Free school meals","White Irish","37.4","261"
"Free school meals","Gypsy/Roma","19.6","615"
"Free school meals","Irish Traveller","23.8","97"
"Free school meals","White other","43.2","4,071"
"Free school meals","Other","46.0","3,555"
"Free school meals","Unknown","39.2","2,023"
"No free school meals","All","53.6","468,025"
"No free school meals","Asian","57.7","51,040"
"No free school meals","Bangladeshi","57.5","7,106"
"No free school meals","Indian","63.0","15,496"
"No free school meals","Pakistani","52.2","19,464"
"No free school meals","Asian other","60.7","8,974"
"No free school meals","Black","52.2","24,714"
"No free school meals","Black African","54.1","16,762"
"No free school meals","Black Caribbean","46.8","4,767"
"No free school meals","Black other","50.7","3,185"
"No free school meals","Chinese","69.4","1,944"
"No free school meals","Mixed","54.9","23,695"
"No free school meals","Mixed White/Asian","59.6","6,057"
"No free school meals","Mixed White/Black African","53.5","3,004"
"No free school meals","Mixed White/Black Caribbean","48.8","5,650"
"No free school meals","Mixed other","56.0","8,984"
"No free school meals","White","53.1","350,830"
"No free school meals","White British","53.1","320,448"
"No free school meals","White Irish","58.9","1,460"
"No free school meals","Gypsy/Roma","25.1","810"
"No free school meals","Irish Traveller","39.8","74"
"No free school meals","White other","53.4","28,038"
"No free school meals","Other","54.3","7,710"
"No free school meals","Unknown","46.6","8,092"
