"","Boys","","Girls",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","48.1","293,649","53.9","282,214"
"Asian","53.0","32,822","58.7","30,882"
"Bangladeshi","53.0","5,148","58.3","5,099"
"Indian","59.2","8,711","65.0","8,190"
"Pakistani","47.9","13,246","53.4","12,505"
"Asian other","55.6","5,717","62.0","5,088"
"Black","46.3","17,473","53.8","17,438"
"Black African","48.5","11,552","55.9","11,688"
"Black Caribbean","40.2","3,604","47.8","3,538"
"Black other","44.8","2,317","52.0","2,212"
"Chinese","67.4","1,025","70.8","1,076"
"Mixed","48.4","15,997","54.3","15,775"
"Mixed White/Asian","53.4","3,910","59.2","3,621"
"Mixed White/Black African","47.6","2,083","53.7","2,010"
"Mixed White/Black Caribbean","41.7","4,135","48.1","4,261"
"Mixed other","50.1","5,869","55.9","5,883"
"White","47.4","215,374","53.2","206,621"
"White British","47.4","197,283","53.1","189,286"
"White Irish","52.9","873","58.5","848"
"Gypsy/Roma","21.0","720","24.5","705"
"Irish Traveller","29.2","99","32.8","72"
"White other","49.3","16,399","55.0","15,710"
"Other","48.8","5,818","54.8","5,447"
"Unknown","43.3","5,140","47.0","4,975"
