"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All - England","50.9","575,863","55.8","63,704","50.0","34,911","69.2","2,101","51.3","31,772","50.2","421,995"
"Barking and Dagenham","50.5","2,805","57.7","639","53.0","775","67.6","14","48.1","303","44.4","963"
"Barnet","60.8","4,100","71.4","603","53.4","506","72.2","40","58.7","450","61.0","1,944"
"Barnsley","46.3","2,345","56.2","11","50.9","18","!","2","49.2","52","47.6","2,159"
"Bath and North East Somerset","55.0","2,198","66.8","39","49.7","21","74.3","7","58.0","124","54.8","1,936"
"Bedford","48.6","1,989","50.2","299","47.5","152","73.9","5","46.0","193","48.6","1,302"
"Bexley","54.0","3,262","66.3","278","58.4","640","69.7","39","56.9","197","50.4","2,007"
"Birmingham","50.1","14,036","52.3","5,611","47.6","1,894","69.1","43","49.1","1,023","49.2","4,359"
"Blackburn with Darwen","50.7","2,052","55.9","891","55.1","30","69.5","5","52.7","61","46.0","1,002"
"Blackpool","41.7","1,296","60.7","30","59.8","6","51.2","3","35.3","29","41.3","1,221"
"Bolton","48.9","3,648","54.5","863","42.9","199","57.7","3","52.0","133","47.1","2,355"
"Bournemouth, Christchurch and Poole","54.2","3,665","64.3","100","54.8","25","73.3","13","56.0","192","53.8","3,242"
"Bracknell Forest","52.8","1,227","61.8","62","52.0","37","!","2","54.8","71","52.2","1,047"
"Bradford","45.9","6,658","48.0","2,978","47.0","119","64.9","10","43.4","352","44.5","2,970"
"Brent","53.7","3,160","56.2","959","48.9","665","70.9","7","52.8","208","53.1","634"
"Brighton and Hove","52.5","2,225","56.5","81","48.7","51","63.6","9","51.6","193","52.4","1,804"
"Bristol, City of","49.6","3,694","53.2","300","45.6","429","67.1","15","48.0","339","50.2","2,477"
"Bromley","55.2","3,356","69.1","219","56.2","379","71.6","38","54.8","323","53.5","2,242"
"Buckinghamshire","59.0","6,070","62.0","1,300","54.1","213","77.8","46","59.2","368","58.1","4,029"
"Bury","49.4","2,229","50.8","336","44.8","62","67.3","6","44.7","80","49.5","1,692"
"Calderdale","52.2","2,757","53.9","477","56.1","38","!","2","52.1","115","51.7","2,099"
"Cambridgeshire","52.7","6,039","58.6","209","47.1","85","63.8","33","55.8","313","52.2","5,214"
"Camden","53.1","1,644","54.4","296","49.7","370","80.3","7","49.6","187","55.7","577"
"Central Bedfordshire","49.2","2,790","56.4","64","51.1","85","59.0","11","48.1","161","49.0","2,383"
"Cheshire East","52.3","3,988","58.8","63","44.7","20","66.2","17","51.9","122","52.3","3,685"
"Cheshire West and Chester","51.6","3,743","48.5","47","50.0","21","58.4","9","57.7","97","51.5","3,529"
"Cornwall","50.1","5,399","56.0","11","37.6","5","66.6","8","47.9","123","50.0","5,151"
"County Durham","50.1","5,269","62.4","41","54.6","16","64.4","14","54.2","74","50.6","4,982"
"Coventry","48.0","3,827","55.5","730","47.1","504","79.4","7","48.7","268","45.9","2,191"
"Croydon","50.0","3,831","56.2","522","47.4","1,230","69.0","11","48.8","514","50.9","1,359"
"Cumbria","49.4","5,070","67.0","34","50.8","10","60.0","19","54.8","76","49.3","4,780"
