"Ethnicity","Score","Pupils"
"All","50.9","575,863"
"Asian","55.8","63,704"
"Bangladeshi","55.6","10,247"
"Indian","62.0","16,901"
"Pakistani","50.5","25,751"
"Asian other","58.6","10,805"
"Black","50.0","34,911"
"Black African","52.2","23,240"
"Black Caribbean","44.0","7,142"
"Black other","48.3","4,529"
"Chinese","69.2","2,101"
"Mixed","51.3","31,772"
"Mixed White/Asian","56.2","7,531"
"Mixed White/Black African","50.6","4,093"
"Mixed White/Black Caribbean","45.0","8,396"
"Mixed other","53.0","11,752"
"White","50.2","421,995"
"White British","50.2","386,569"
"White Irish","55.7","1,721"
"Gypsy/Roma","22.7","1,425"
"Irish Traveller","30.7","171"
"White other","52.1","32,109"
"Other","51.7","11,265"
"Unknown","45.1","10,115"
