"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Academies and free schools","All","52.1","Score out of 90","432813","22561111.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","All","50.9","Score out of 90","575863","29319309.77"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Church of England","52.9","Score out of 90","31434","1664085"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Hindu","65.3","Score out of 90","295","19273.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Jewish","64.1","Score out of 90","1453","93070"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Muslim","64.6","Score out of 90","1435","92697"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","No religious character","50.4","Score out of 90","475789","23963462.64"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Other Christian faith","55.7","Score out of 90","10444","581469.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Roman catholic","53.6","Score out of 90","53369","2859576.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","Sikh","56.7","Score out of 90","440","24943.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Converter Academies","All","54.4","Score out of 90","295143","16056734.98"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","FE 14-16 Colleges","All","17.2","Score out of 90","1204","20731.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Free Schools","All","53.4","Score out of 90","13142","701845.26"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","LA maintained mainstream","All","51.5","Score out of 90","129298","6660153.64"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Sponsored Academies","All","46.6","Score out of 90","119982","5595012.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","All","51.9","Score out of 90","563912","29278352.89"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Church of England","52.9","Score out of 90","31434","1664085"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Hindu","65.3","Score out of 90","295","19273.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Jewish","64.1","Score out of 90","1453","93070"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Muslim","64.6","Score out of 90","1435","92697"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","No religious character","51.6","Score out of 90","463838","23922505.76"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Other Christian faith","55.7","Score out of 90","10444","581469.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Roman catholic","53.6","Score out of 90","53369","2859576.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","Sikh","56.7","Score out of 90","440","24943.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded special schools","All","3.4","Score out of 90","11951","40956.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","Studio Schools","All","43.2","Score out of 90","1171","50559.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","All","University Technical Colleges (UTCs)","All","46.5","Score out of 90","3375","156959"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Academies and free schools","All","46.9","Score out of 90","29881","1400584.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","All state-funded","All","46.9","Score out of 90","35153","1647654.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Converter Academies","All","48","Score out of 90","18587","892276.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Free Schools","All","52.6","Score out of 90","919","48295.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","LA maintained mainstream","All","46.9","Score out of 90","5272","247070"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Sponsored Academies","All","44.4","Score out of 90","10176","451837"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.9","Score out of 90","35153","1647654.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","University Technical Colleges (UTCs)","All","41.1","Score out of 90","199","8175.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Academies and free schools","All","51.2","Score out of 90","380362","19470678.85"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","All state-funded","All","51.2","Score out of 90","501818","25687549.98"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Converter Academies","All","53.1","Score out of 90","254165","13485778.33"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Free Schools","All","53.5","Score out of 90","12223","653550.01"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","LA maintained mainstream","All","51.1","Score out of 90","120859","6180515.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Sponsored Academies","All","46.8","Score out of 90","109627","5132007.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","State-funded mainstream","All","51.2","Score out of 90","501818","25687549.98"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Studio Schools","All","43.2","Score out of 90","1171","50559.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","University Technical Colleges (UTCs)","All","46.8","Score out of 90","3176","148783.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Academies and free schools","All","74.9","Score out of 90","22570","1689847.9"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","All state-funded","All","74.7","Score out of 90","25737","1922416.41"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Converter Academies","All","75","Score out of 90","22391","1678679.9"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","LA maintained mainstream","All","73.4","Score out of 90","3167","232568.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Sponsored Academies","All","!","Score out of 90","179","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","All","selective schools","State-funded mainstream","All","74.7","Score out of 90","25737","1922416.41"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Academies and free schools","All","35.6","Score out of 90","57153","2035453.65"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","All state-funded","All","31.1","Score out of 90","87210","2713944.79"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Converter Academies","All","37.5","Score out of 90","35772","1339850.65"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","FE 14-16 Colleges","All","8","Score out of 90","15","120"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Free Schools","All","37","Score out of 90","1808","66971"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","LA maintained mainstream","All","35.2","Score out of 90","18030","634326.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Sponsored Academies","All","31.8","Score out of 90","18558","590689"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","All","35.5","Score out of 90","75259","2672987.91"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Church of England","36","Score out of 90","4399","158441.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Hindu","35.6","Score out of 90","21","748.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Jewish","46","Score out of 90","181","8322.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Muslim","43.7","Score out of 90","123","5373.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","No religious character","35.2","Score out of 90","62685","2205201.41"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Other Christian faith","40","Score out of 90","1286","51470.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Roman catholic","37.1","Score out of 90","6510","241791.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","Sikh","38.9","Score out of 90","39","1518.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded special schools","All","3.4","Score out of 90","11951","40956.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Studio Schools","All","34","Score out of 90","288","9795"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","University Technical Colleges (UTCs)","All","38.7","Score out of 90","727","28148"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","non-selective schools in highly selective areas","State-funded mainstream","All","33.7","Score out of 90","5379","181106.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","non-selective schools in other areas","State-funded mainstream","All","35","Score out of 90","68465","2397008.65"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","Any SEN","selective schools","State-funded mainstream","All","67.7","Score out of 90","1400","94752.76"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Academies and free schools","All","54.6","Score out of 90","375660","20525657.85"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","All state-funded","All","54.5","Score out of 90","487466","26584768.23"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Converter Academies","All","56.7","Score out of 90","259371","14716884.33"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","FE 14-16 Colleges","All","!","Score out of 90","2","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Free Schools","All","56","Score out of 90","11334","634874.26"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","LA maintained mainstream","All","54.2","Score out of 90","111268","6025827.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Sponsored Academies","All","49.3","Score out of 90","101424","5004323.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","All","54.5","Score out of 90","487466","26584768.23"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Church of England","55.7","Score out of 90","27035","1505643.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Hindu","67.6","Score out of 90","274","18525.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Jewish","66.6","Score out of 90","1272","84747.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Muslim","66.6","Score out of 90","1312","87323.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","No religious character","54.1","Score out of 90","401153","21717304.35"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Other Christian faith","57.9","Score out of 90","9158","529999.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Roman catholic","55.9","Score out of 90","46859","2617785.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","Sikh","58.4","Score out of 90","401","23424.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Studio Schools","All","46.2","Score out of 90","883","40764.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","University Technical Colleges (UTCs)","All","48.6","Score out of 90","2648","128811"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in highly selective areas","State-funded mainstream","All","49.3","Score out of 90","29774","1466548.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in other areas","State-funded mainstream","All","53.7","Score out of 90","433353","23290541.33"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","All","No identified SEN","selective schools","State-funded mainstream","All","75.1","Score out of 90","24337","1827663.65"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Academies and free schools","All","54.6","Score out of 90","375660","20525657.85"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","All state-funded","All","54.5","Score out of 90","487466","26584768.23"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Converter Academies","All","56.7","Score out of 90","259371","14716884.33"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","FE 14-16 Colleges","All","!","Score out of 90","2","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Free Schools","All","56","Score out of 90","11334","634874.26"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","LA maintained mainstream","All","54.2","Score out of 90","111268","6025827.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Sponsored Academies","All","49.3","Score out of 90","101424","5004323.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","All","54.5","Score out of 90","487466","26584768.23"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Church of England","55.7","Score out of 90","27035","1505643.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","Hindu","67.6","Score out of 90","274","18525.25"
