"","Boys","","Girls",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","47.4","286,588","53.1","275,406"
"Asian","51.9","31,129","57.1","29,894"
"Bangladeshi","51.5","5,143","56.3","5,229"
"Indian","58.2","8,308","63.3","7,821"
"Pakistani","46.8","12,280","51.9","11,995"
"Asian other","54.5","5,398","60.5","4,849"
"Black","45.1","16,436","52.6","16,499"
"Black African","47.4","10,522","54.3","10,777"
"Black Caribbean","40.1","3,700","47.8","3,678"
"Black other","42.7","2,214","52.4","2,044"
"Chinese","65.4","957","69.7","1,002"
"Mixed","47.7","14,814","54.0","14,667"
"Mixed White/Asian","52.5","3,410","59.4","3,244"
"Mixed White/Black African","47.1","1,831","54.9","1,875"
"Mixed White/Black Caribbean","41.4","3,906","48.1","4,122"
"Mixed other","49.4","5,667","54.9","5,426"
"White","47.0","212,811","52.6","203,693"
"White British","47.0","195,714","52.5","187,307"
"White Irish","52.3","837","59.0","811"
"Gypsy/Roma","21.2","687","25.6","667"
"Irish Traveller","27.8","75","35.4","85"
"White other","47.8","15,498","53.7","14,823"
"Other","47.2","5,445","54.3","5,077"
"Unknown","39.6","4,996","43.4","4,574"
