"Gender","Ethnicity","Score","Pupils"
"Boys","All","47.4","286,588"
"Boys","Asian","51.9","31,129"
"Boys","Bangladeshi","51.5","5,143"
"Boys","Indian","58.2","8,308"
"Boys","Pakistani","46.8","12,280"
"Boys","Asian other","54.5","5,398"
"Boys","Black","45.1","16,436"
"Boys","Black African","47.4","10,522"
"Boys","Black Caribbean","40.1","3,700"
"Boys","Black other","42.7","2,214"
"Boys","Chinese","65.4","957"
"Boys","Mixed","47.7","14,814"
"Boys","Mixed White/Asian","52.5","3,410"
"Boys","Mixed White/Black African","47.1","1,831"
"Boys","Mixed White/Black Caribbean","41.4","3,906"
"Boys","Mixed other","49.4","5,667"
"Boys","White","47.0","212,811"
"Boys","White British","47.0","195,714"
"Boys","White Irish","52.3","837"
"Boys","Gypsy/Roma","21.2","687"
"Boys","Irish Traveller","27.8","75"
"Boys","White other","47.8","15,498"
"Boys","Other","47.2","5,445"
"Boys","Unknown","39.6","4,996"
"Girls","All","53.1","275,406"
"Girls","Asian","57.1","29,894"
"Girls","Bangladeshi","56.3","5,229"
"Girls","Indian","63.3","7,821"
"Girls","Pakistani","51.9","11,995"
"Girls","Asian other","60.5","4,849"
"Girls","Black","52.6","16,499"
"Girls","Black African","54.3","10,777"
"Girls","Black Caribbean","47.8","3,678"
"Girls","Black other","52.4","2,044"
"Girls","Chinese","69.7","1,002"
"Girls","Mixed","54.0","14,667"
"Girls","Mixed White/Asian","59.4","3,244"
"Girls","Mixed White/Black African","54.9","1,875"
"Girls","Mixed White/Black Caribbean","48.1","4,122"
"Girls","Mixed other","54.9","5,426"
"Girls","White","52.6","203,693"
"Girls","White British","52.5","187,307"
"Girls","White Irish","59.0","811"
"Girls","Gypsy/Roma","25.6","667"
"Girls","Irish Traveller","35.4","85"
"Girls","White other","53.7","14,823"
"Girls","Other","54.3","5,077"
"Girls","Unknown","43.4","4,574"
