"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All - England","50.2","561,994","54.5","61,023","48.9","32,935","67.6","1,959","50.8","29,481","49.7","416,504"
"Barking and Dagenham","49.7","2,525","56.5","555","51.3","733","65.0","10","45.0","211","45.6","936"
"Barnet","60.1","4,010","70.4","560","53.9","513","76.8","42","61.2","405","59.5","1,951"
"Barnsley","46.1","2,303","59.6","9","42.9","16","69.8","2","53.9","51","48.5","2,082"
"Bath and North East Somerset","53.3","2,166","59.9","30","51.4","24","68.5","4","50.2","112","53.6","1,845"
"Bedford","48.7","1,943","49.0","286","47.6","136","62.1","4","45.1","160","49.0","1,308"
"Bexley","53.5","3,150","65.5","266","57.2","662","71.8","31","54.7","208","49.9","1,888"
"Birmingham","49.2","13,973","51.6","5,440","46.2","1,888","69.8","53","47.5","1,079","48.6","4,464"
"Blackburn with Darwen","49.7","1,968","54.5","905","40.8","18","!","1","49.2","53","45.3","951"
"Blackpool","40.9","1,271","48.2","29","32.7","5","61.8","4","39.1","53","40.8","1,173"
"Bolton","48.3","3,549","52.6","875","43.2","204","58.6","8","48.0","141","47.2","2,262"
"Bournemouth, Christchurch and Poole","54.0","3,572","63.9","98","57.0","20","62.0","18","56.0","146","54.0","3,124"
"Bracknell Forest","50.5","1,219","58.7","60","48.4","39","56.9","5","48.8","55","50.2","1,053"
"Bradford","45.7","6,391","47.2","2,853","42.3","135","68.2","5","42.6","281","44.7","2,928"
"Brent","53.1","3,078","55.8","927","48.8","687","52.5","4","51.9","220","50.9","547"
"Brighton and Hove","51.9","2,275","51.8","78","44.0","41","58.8","11","53.5","216","51.9","1,839"
"Bristol, City of","48.6","3,481","51.5","313","43.0","408","66.8","12","48.1","280","49.3","2,361"
"Bromley","54.5","3,411","68.9","254","53.6","362","74.8","40","53.5","341","53.1","2,314"
"Buckinghamshire","58.0","5,981","60.5","1,229","55.3","186","75.9","30","55.6","360","57.4","4,080"
"Bury","48.1","2,174","49.5","322","42.7","66","53.4","8","47.2","107","48.1","1,629"
"Calderdale","52.3","2,634","54.0","455","55.9","23","72.1","4","51.8","114","51.8","2,010"
"Cambridgeshire","51.3","5,826","58.1","190","50.1","87","75.9","29","54.7","287","50.7","5,072"
