"Ethnicity","Score","Pupils"
"All","46.7","542,568"
"Asian","51.2","58,111"
"Bangladeshi","50.6","9,877"
"Indian","57.3","15,429"
"Pakistani","46.2","23,502"
"Asian other","54.5","9,303"
"Black","44.9","31,175"
"Black African","47.3","19,807"
"Black Caribbean","39.4","7,493"
"Black other","43.0","3,875"
"Chinese","64.3","2,006"
"Mixed","47.6","27,018"
"Mixed White/Asian","53.2","6,144"
"Mixed White/Black African","47.4","3,262"
"Mixed White/Black Caribbean","41.0","7,504"
"Mixed other","49.2","10,108"
"White","46.1","406,708"
"White British","46.2","375,412"
"White Irish","52.1","1,688"
"Gypsy/Roma","19.1","1,243"
"Irish Traveller","26.6","151"
"White other","46.8","28,214"
"Other","47.3","9,607"
"Unknown","40.5","7,943"
