"Gender","Ethnicity","Score","Pupils"
"All pupils","All","46.3","527,859"
"All pupils","Asian","49.8","52,787"
"All pupils","Bangladeshi","49.9","8,874"
"All pupils","Indian","55.4","13,968"
"All pupils","Pakistani","45.0","21,323"
"All pupils","Asian other","52.3","8,622"
"All pupils","Black","44.8","27,922"
"All pupils","Black African","46.9","17,466"
"All pupils","Black Caribbean","40.5","7,097"
"All pupils","Black other","42.6","3,359"
"All pupils","Chinese","62.6","2,073"
"All pupils","Mixed","47.0","23,483"
"All pupils","Mixed White/Asian","51.8","5,147"
"All pupils","Mixed White/Black African","47.0","2,714"
"All pupils","Mixed White/Black Caribbean","41.3","7,038"
"All pupils","Mixed other","48.8","8,584"
"All pupils","White","45.9","406,342"
"All pupils","White British","45.9","378,108"
"All pupils","White Irish","51.6","1,676"
"All pupils","Gypsy/Roma","18.0","1,073"
"All pupils","Irish Traveller","23.8","118"
"All pupils","White other","46.5","25,367"
"All pupils","Other","46.8","8,441"
"All pupils","Unknown","39.9","6,811"
"Boys","All","43.7","268,527"
"Boys","Asian","47.3","27,070"
"Boys","Bangladeshi","47.5","4,349"
"Boys","Indian","53.1","7,294"
"Boys","Pakistani","42.6","10,903"
"Boys","Asian other","49.3","4,524"
"Boys","Black","41.4","13,919"
"Boys","Black African","43.7","8,703"
"Boys","Black Caribbean","36.9","3,530"
"Boys","Black other","39.2","1,686"
"Boys","Chinese","60.5","1,080"
"Boys","Mixed","44.3","11,749"
"Boys","Mixed White/Asian","49.3","2,602"
"Boys","Mixed White/Black African","44.1","1,340"
"Boys","Mixed White/Black Caribbean","38.0","3,471"
"Boys","Mixed other","46.3","4,336"
"Boys","White","43.3","206,635"
"Boys","White British","43.4","192,325"
"Boys","White Irish","50.3","846"
"Boys","Gypsy/Roma","16.8","560"
"Boys","Irish Traveller","18.0","54"
"Boys","White other","43.6","12,850"
"Boys","Other","44.1","4,471"
"Boys","Unknown","37.1","3,603"
"Girls","All","49.0","259,332"
"Girls","Asian","52.4","25,717"
"Girls","Bangladeshi","52.3","4,525"
"Girls","Indian","57.9","6,674"
"Girls","Pakistani","47.6","10,420"
"Girls","Asian other","55.7","4,098"
"Girls","Black","48.1","14,003"
"Girls","Black African","50.1","8,763"
"Girls","Black Caribbean","44.0","3,567"
"Girls","Black other","46.2","1,673"
"Girls","Chinese","64.8","993"
"Girls","Mixed","49.7","11,734"
"Girls","Mixed White/Asian","54.3","2,545"
"Girls","Mixed White/Black African","49.9","1,374"
"Girls","Mixed White/Black Caribbean","44.4","3,567"
"Girls","Mixed other","51.4","4,248"
"Girls","White","48.6","199,707"
"Girls","White British","48.6","185,783"
"Girls","White Irish","52.9","830"
"Girls","Gypsy/Roma","19.3","513"
"Girls","Irish Traveller","28.7","64"
"Girls","White other","49.4","12,517"
"Girls","Other","49.9","3,970"
"Girls","Unknown","43.0","3,208"
