"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local authority","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All - England","-0.02","494,835","0.45","50,460","0.12","25,183","1.03","1,536","-0.02","22,916","-0.10","381,934"
"Barking and Dagenham","0.17","1,983","0.65","398","0.44","540","1.85","2","-0.11","123","-0.19","857"
"Barnet","0.57","3,438","0.96","481","0.32","443","1.12","38","0.45","374","0.50","1,749"
"Barnsley","-0.15","1,983","1.06","8","0.48","14","N/A","0","0.20","31","-0.17","1,918"
"Bath and North East Somerset","-0.03","1,996","0.91","21","-0.07","20","0.43","4","-0.07","90","-0.02","1,806"
"Bedford","0.10","1,734","0.25","260","0.31","76","0.37","1","-0.10","149","0.07","1,219"
"Bexley","-0.10","2,899","0.57","219","0.31","562","0.55","30","-0.19","186","-0.31","1,858"
"Birmingham","-0.04","11,185","0.08","4,728","0.00","1,278","1.09","39","-0.24","810","-0.19","3,746"
"Blackburn with Darwen","0.02","1,756","0.50","802","-0.44","10","0.44","3","-0.10","43","-0.41","886"
"Blackpool","-0.64","1,106","0.13","21","0.32","5","0.63","3","-0.56","23","-0.67","1,049"
"Bolton","-0.12","3,065","0.53","632","0.56","99","0.40","5","-0.16","98","-0.34","2,193"
"Bournemouth","0.14","1,417","1.12","38","0.30","4","1.21","13","0.10","70","0.10","1,252"
"Bracknell Forest","0.02","986","0.80","52","0.50","17","N/A","0","0.11","36","-0.04","872"
"Bradford","0.00","5,630","0.27","2,601","0.24","73","1.12","3","-0.35","236","-0.25","2,600"
"Brent","0.54","2,422","0.96","737","0.09","632","1.50","3","0.00","162","0.36","387"
"Brighton and Hove","-0.02","2,045","0.59","51","0.42","49","1.32","10","0.00","176","-0.08","1,700"
"Bristol, City of","-0.09","2,900","0.42","234","0.06","296","1.08","11","0.01","234","-0.20","2,062"
"Bromley","0.03","3,004","0.84","140","0.34","267","1.03","28","0.18","247","-0.01","2,183"
"Buckinghamshire","0.22","5,172","0.46","924","0.34","155","0.78","16","0.10","298","0.16","3,698"
"Bury","-0.23","2,018","0.41","277","0.01","38","0.19","7","-0.37","94","-0.35","1,568"
