"Gender","Ethnicity","Score","Pupils"
"Boys","All","-0.25","251,693"
"Boys","Asian","0.23","25,690"
"Boys","Bangladeshi","0.20","4,302"
"Boys","Indian","0.52","6,541"
"Boys","Pakistani","-0.02","10,860"
"Boys","Asian other","0.47","3,987"
"Boys","Black","-0.15","12,399"
"Boys","Black African","0.04","7,676"
"Boys","Black Caribbean","-0.59","3,206"
"Boys","Black other","-0.19","1,517"
"Boys","Chinese","0.86","732"
"Boys","Mixed","-0.25","11,535"
"Boys","Mixed White/Asian","0.06","2,584"
"Boys","Mixed White/Black African","-0.27","1,342"
"Boys","Mixed White/Black Caribbean","-0.62","3,466"
"Boys","Mixed other","-0.12","4,143"
"Boys","White","-0.33","194,807"
"Boys","White British","-0.36","184,192"
"Boys","White Irish","-0.07","751"
"Boys","Gypsy/Roma","-1.07","334"
"Boys","Irish Traveller","-1.45","49"
"Boys","White other","0.26","9,481"
"Boys","Other","0.31","3,310"
"Boys","Unknown","-0.60","3,220"
"Girls","All","0.22","243,142"
"Girls","Asian","0.68","24,770"
"Girls","Bangladeshi","0.67","4,457"
"Girls","Indian","0.93","6,276"
"Girls","Pakistani","0.49","10,502"
"Girls","Asian other","0.85","3,535"
"Girls","Black","0.39","12,784"
"Girls","Black African","0.58","7,838"
"Girls","Black Caribbean","-0.03","3,433"
"Girls","Black other","0.35","1,513"
"Girls","Chinese","1.18","804"
"Girls","Mixed","0.21","11,381"
"Girls","Mixed White/Asian","0.38","2,565"
"Girls","Mixed White/Black African","0.30","1,327"
"Girls","Mixed White/Black Caribbean","-0.12","3,469"
"Girls","Mixed other","0.37","4,020"
"Girls","White","0.13","187,127"
"Girls","White British","0.10","176,659"
"Girls","White Irish","0.29","747"
"Girls","Gypsy/Roma","-0.54","403"
"Girls","Irish Traveller","-0.89","51"
"Girls","White other","0.76","9,267"
"Girls","Other","0.80","3,279"
"Girls","Unknown","-0.19","2,997"
