"Ethnicity","Type of School","Value","pupils"
"All","All state-funded schools","-0.02","494,835"
"All","All state-funded mainstream schools","0.01","485,334"
"All","Local authority maintained mainstream schools","-0.03","142,755"
"All","Academies and free schools","0.03","341,119"
"All","Converter Academies","0.11","246,084"
"All","Sponsored Academies","-0.19","85,859"
"All","Free schools","0.24","5,439"
"All","State-funded special schools","-1.69","9,501"
"All","Further education colleges with provision for 14- to 16-year-olds","-1.88","939"
"All","Studio Schools","-0.62","967"
"All","University technical colleges","-0.80","2,770"
"Asian","All state-funded schools","0.45","50,460"
"Asian","All state-funded mainstream schools","0.48","15,775"
"Asian","Local authority maintained mainstream schools","0.38","16,850"
"Asian","Academies and free schools","0.53","32,922"
"Asian","Converter Academies","0.60","23,317"
"Asian","Sponsored Academies","0.33","8,116"
"Asian","Free schools","0.80","1,192"
"Asian","State-funded special schools","-1.45","647"
"Asian","Further education colleges with provision for 14- to 16-year-olds","-2.75","4"
"Asian","Studio Schools","-0.34","59"
"Asian","University technical colleges","-0.42","238"
"Black","All state-funded schools","0.12","9,569"
"Black","All state-funded mainstream schools","0.16","1,536"
"Black","Local authority maintained mainstream schools","0.09","5,471"
"Black","Academies and free schools","0.20","25,183"
"Black","Converter Academies","0.25","530"
"Black","Sponsored Academies","0.15","540"
"Black","Free schools","0.22","1"
"Black","State-funded special schools","-1.57","23"
"Black","Further education colleges with provision for 14- to 16-year-olds","-2.75","8,833"
"Black","Studio Schools","-0.50","182"
"Black","University technical colleges","-0.85","1,144"
"Chinese","All state-funded schools","1.03","14"
"Chinese","All state-funded mainstream schools","1.06","372"
"Chinese","Local authority maintained mainstream schools","1.06","1"
"Chinese","Academies and free schools","1.06","916"
"Chinese","Converter Academies","1.07","371"
"Chinese","Sponsored Academies","1.04","2"
"Chinese","Free schools","1.13","211"
"Chinese","State-funded special schools","-1.60","15,831"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","NA","18"
"Chinese","Studio Schools","0.10","22,916"
"Chinese","University technical colleges","2.21","11,053"
"Mixed","All state-funded schools","-0.02","6,579"
"Mixed","All state-funded mainstream schools","0.02","21"
"Mixed","Local authority maintained mainstream schools","-0.07","161"
"Mixed","Academies and free schools","0.05","5"
"Mixed","Converter Academies","0.15","4,199"
"Mixed","Sponsored Academies","-0.15","267,344"
"Mixed","Free schools","0.13","456"
"Mixed","State-funded special schools","-1.74","381,934"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","-2.99","46"
"Mixed","Studio Schools","-0.56","196,141"
"Mixed","University technical colleges","-0.87","3,087"
"White","All state-funded schools","-0.10","65,327"
"White","All state-funded mainstream schools","-0.07","374,286"
"White","Local authority maintained mainstream schools","-0.12","485,334"
"White","Academies and free schools","-0.05","106,524"
"White","Converter Academies","0.04","7,648"
"White","Sponsored Academies","-0.30","49,813"
"White","Free schools","0.04","771"
"White","State-funded special schools","-1.72","24,643"
"White","Further education colleges with provision for 14- to 16-year-olds","-2.75","2,018"
"White","Studio Schools","-0.67","1,518"
"White","University technical colleges","-0.85","22,460"
