"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Local authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All - England","-0.02","-0.25","0.22","0.45","0.23","0.68","0.12","-0.15","0.39","1.03","0.86","1.18","-0.02","-0.25","0.21","-0.10","-0.33","0.13"
"Barking and Dagenham","0.17","0.00","0.34","0.65","0.39","0.91","0.44","0.18","0.71","1.85","N/A","1.85","-0.11","-0.29","0.03","-0.19","-0.26","-0.11"
"Barnet","0.57","0.33","0.83","0.96","0.86","1.07","0.32","-0.03","0.71","1.12","0.67","1.56","0.45","0.18","0.73","0.50","0.25","0.76"
"Barnsley","-0.15","-0.38","0.09","1.06","0.58","1.54","0.48","0.18","0.89","N/A","N/A","N/A","0.20","-0.41","0.77","-0.17","-0.39","0.06"
"Bath and North East Somerset","-0.03","-0.33","0.27","0.91","0.42","1.35","-0.07","-0.06","-0.09","0.43","0.22","0.64","-0.07","-0.32","0.15","-0.02","-0.34","0.30"
"Bedford","0.10","-0.09","0.30","0.25","0.10","0.40","0.31","0.39","0.23","0.37","0.37","N/A","-0.10","-0.34","0.23","0.07","-0.14","0.29"
"Bexley","-0.10","-0.33","0.12","0.57","0.48","0.67","0.31","-0.11","0.65","0.55","0.13","0.96","-0.19","-0.32","-0.07","-0.31","-0.50","-0.11"
"Birmingham","-0.04","-0.30","0.24","0.08","-0.16","0.31","0.00","-0.29","0.32","1.09","1.19","0.97","-0.24","-0.54","0.06","-0.19","-0.47","0.10"
"Blackburn with Darwen","0.02","-0.19","0.24","0.50","0.26","0.76","-0.44","-0.68","-0.19","0.44","N/A","0.44","-0.10","-0.47","0.26","-0.41","-0.57","-0.24"
"Blackpool","-0.64","-0.87","-0.37","0.13","-0.28","0.58","0.32","0.15","0.58","0.63","0.81","0.27","-0.56","-0.81","-0.33","-0.67","-0.89","-0.40"
"Bolton","-0.12","-0.37","0.15","0.53","0.22","0.86","0.56","0.48","0.64","0.40","N/A","0.40","-0.16","-0.35","0.02","-0.34","-0.58","-0.08"
"Bournemouth","0.14","-0.10","0.37","1.12","0.70","1.70","0.30","0.45","0.15","1.21","1.29","1.16","0.10","0.16","0.02","0.10","-0.16","0.36"
"Bracknell Forest","0.02","-0.17","0.22","0.80","0.66","0.95","0.50","0.06","0.73","N/A","N/A","N/A","0.11","0.37","-0.19","-0.04","-0.26","0.19"
"Bradford","0.00","-0.22","0.22","0.27","0.05","0.50","0.24","0.20","0.30","1.12","2.80","0.28","-0.35","-0.48","-0.20","-0.25","-0.47","-0.02"
"Brent","0.54","0.34","0.75","0.96","0.79","1.16","0.09","-0.21","0.37","1.50","1.50","N/A","0.00","-0.36","0.41","0.36","0.21","0.53"
"Brighton and Hove","-0.02","-0.21","0.18","0.59","0.42","0.77","0.42","0.09","0.67","1.32","1.27","1.37","0.00","-0.44","0.43","-0.08","-0.24","0.10"
"Bristol, City of","-0.09","-0.39","0.18","0.42","0.18","0.66","0.06","-0.21","0.33","1.08","0.97","1.11","0.01","-0.25","0.27","-0.20","-0.51","0.08"
"Bromley","0.03","-0.24","0.31","0.84","0.70","0.96","0.34","0.21","0.43","1.03","1.05","1.01","0.18","-0.03","0.36","-0.01","-0.29","0.28"
"Buckinghamshire","0.22","0.02","0.44","0.46","0.28","0.66","0.34","0.00","0.67","0.78","0.95","0.67","0.10","0.07","0.13","0.16","-0.05","0.39"
"Bury","-0.23","-0.45","0.00","0.41","0.16","0.64","0.01","-0.11","0.24","0.19","0.09","0.32","-0.37","-0.59","-0.13","-0.35","-0.57","-0.12"
"Calderdale","0.07","-0.21","0.34","0.39","0.06","0.73","0.58","0.34","0.73","0.31","0.52","-0.31","-0.06","-0.13","0.01","0.00","-0.29","0.27"
"Cambridgeshire","0.13","-0.09","0.37","0.73","0.55","0.89","0.24","0.13","0.33","0.98","0.80","1.14","0.33","-0.01","0.70","0.12","-0.10","0.35"
"Camden","0.07","-0.37","0.39","0.11","-0.17","0.36","-0.05","-0.59","0.31","1.01","0.05","2.45","-0.13","-0.54","0.13","0.10","-0.37","0.44"
"Central Bedfordshire","-0.13","-0.38","0.12","0.20","0.07","0.33","0.49","0.21","0.65","1.39","1.82","1.18","-0.29","-0.75","0.12","-0.16","-0.38","0.08"
"Cheshire East","0.01","-0.23","0.26","0.48","0.19","0.70","0.67","-0.02","1.02","1.12","0.43","1.80","-0.13","-0.29","0.10","0.00","-0.24","0.25"
"Cheshire West and Chester","-0.11","-0.30","0.09","0.54","0.42","0.78","0.81","0.34","1.13","0.70","0.45","1.01","-0.08","-0.26","0.09","-0.13","-0.31","0.08"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","-0.09","-0.33","0.16","0.70","0.86","0.52","0.67","1.45","0.41","0.91","0.40","1.08","-0.05","-0.21","0.14","-0.09","-0.34","0.17"
"County Durham","-0.23","-0.45","0.01","0.58","0.59","0.54","-0.79","-0.90","-0.59","1.29","1.45","0.97","0.16","0.19","0.14","-0.21","-0.44","0.02"
"Coventry","-0.08","-0.32","0.17","0.54","0.32","0.77","0.13","-0.20","0.46","1.67","1.56","1.88","-0.29","-0.51","-0.06","-0.30","-0.53","-0.06"
"Croydon","0.07","-0.15","0.27","0.58","0.41","0.75","-0.08","-0.35","0.18","1.18","0.89","1.46","0.00","-0.21","0.17","0.03","-0.21","0.25"
"Cumbria","-0.11","-0.30","0.09","0.67","0.17","1.11","0.07","0.32","-0.93","1.64","1.28","2.12","0.11","0.50","-0.23","-0.11","-0.31","0.10"
"Darlington","-0.26","-0.45","-0.04","0.19","0.31","0.13","0.46","0.59","0.37","1.96","N/A","1.96","0.24","0.24","0.24","-0.29","-0.48","-0.07"
"Derby","-0.19","-0.43","0.08","0.33","0.13","0.52","0.02","-0.50","0.49","0.68","0.75","0.53","-0.59","-0.91","-0.07","-0.29","-0.52","-0.05"
"Derbyshire","-0.23","-0.45","0.00","0.31","-0.03","0.85","-0.32","-0.09","-0.69","0.54","0.07","1.24","-0.25","-0.49","-0.01","-0.23","-0.45","0.00"
"Devon","-0.13","-0.36","0.12","0.54","0.06","0.73","0.03","-0.79","0.31","0.92","2.12","-0.28","-0.08","-0.14","-0.02","-0.13","-0.36","0.12"
"Doncaster","-0.22","-0.47","0.05","0.35","0.25","0.47","0.16","0.36","-0.09","0.87","-0.53","1.81","-0.20","-0.67","0.48","-0.25","-0.50","0.02"
"Dorset","0.03","-0.21","0.29","1.08","0.95","1.29","0.64","0.66","0.58","1.65","1.22","1.83","0.33","0.19","0.62","0.01","-0.22","0.27"
"Dudley","-0.15","-0.41","0.12","0.19","-0.14","0.51","-0.14","-0.28","0.07","1.06","0.68","1.26","-0.13","-0.31","0.07","-0.20","-0.45","0.07"
"Ealing","0.53","0.29","0.76","0.89","0.69","1.06","0.24","-0.02","0.48","1.82","1.69","2.82","0.14","-0.24","0.48","0.44","0.20","0.67"
"East Riding of Yorkshire","0.06","-0.18","0.30","0.64","0.61","0.71","0.12","0.12","N/A","0.77","0.77","N/A","0.66","0.65","0.66","0.05","-0.20","0.30"
"East Sussex","-0.03","-0.30","0.27","0.78","0.57","0.90","0.68","0.65","0.71","0.84","1.40","0.65","0.05","-0.28","0.31","-0.05","-0.32","0.25"
"Enfield","0.08","-0.21","0.39","0.49","0.12","0.91","0.01","-0.32","0.38","1.02","0.92","1.09","0.07","-0.11","0.27","0.03","-0.25","0.32"
