"Group","Ethnicity","Score","Pupils"
"Boys: no free school meals","All","-0.18","219,577"
"Boys: no free school meals","Asian","0.29","21,618"
"Boys: no free school meals","Bangladeshi","0.27","3,244"
"Boys: no free school meals","Indian","0.55","6,099"
"Boys: no free school meals","Pakistani","0.04","8,728"
"Boys: no free school meals","Asian other","0.52","3,547"
"Boys: no free school meals","Black","-0.08","9,849"
"Boys: no free school meals","Black African","0.10","6,153"
"Boys: no free school meals","Black Caribbean","-0.50","2,500"
"Boys: no free school meals","Black other","-0.10","1,196"
"Boys: no free school meals","Chinese","0.87","694"
"Boys: no free school meals","Mixed","-0.14","9,432"
"Boys: no free school meals","Mixed White/Asian","0.15","2,253"
"Boys: no free school meals","Mixed White/Black African","-0.23","1,068"
"Boys: no free school meals","Mixed White/Black Caribbean","-0.52","2,670"
"Boys: no free school meals","Mixed other","-0.01","3,441"
"Boys: no free school meals","White","-0.25","172,701"
"Boys: no free school meals","White British","-0.28","163,292"
"Boys: no free school meals","White Irish","0.07","667"
"Boys: no free school meals","Gypsy/Roma","-0.88","188"
"Boys: no free school meals","Irish Traveller","-1.09","21"
"Boys: no free school meals","White other","0.31","8,533"
"Boys: no free school meals","Other","0.37","2,532"
"Boys: no free school meals","Unknown","-0.55","2,751"
"Girls: no free school meals","All","0.29","211,850"
"Girls: no free school meals","Asian","0.74","20,732"
"Girls: no free school meals","Bangladeshi","0.74","3,330"
"Girls: no free school meals","Indian","0.96","5,798"
"Girls: no free school meals","Pakistani","0.53","8,462"
"Girls: no free school meals","Asian other","0.88","3,142"
"Girls: no free school meals","Black","0.44","10,084"
"Girls: no free school meals","Black African","0.61","6,213"
"Girls: no free school meals","Black Caribbean","0.03","2,671"
"Girls: no free school meals","Black other","0.41","1,200"
"Girls: no free school meals","Chinese","1.19","745"
"Girls: no free school meals","Mixed","0.31","9,301"
"Girls: no free school meals","Mixed White/Asian","0.45","2,231"
"Girls: no free school meals","Mixed White/Black African","0.39","1,071"
"Girls: no free school meals","Mixed White/Black Caribbean","-0.02","2,675"
"Girls: no free school meals","Mixed other","0.46","3,324"
"Girls: no free school meals","White","0.22","166,002"
"Girls: no free school meals","White British","0.18","156,730"
"Girls: no free school meals","White Irish","0.36","659"
"Girls: no free school meals","Gypsy/Roma","-0.41","260"
"Girls: no free school meals","Irish Traveller","-0.63","20"
"Girls: no free school meals","White other","0.80","8,333"
"Girls: no free school meals","Other","0.87","2,479"
"Girls: no free school meals","Unknown","-0.12","2,507"
"Boys: free school meals","All","-0.78","32,116"
"Boys: free school meals","Asian","-0.11","4,072"
"Boys: free school meals","Bangladeshi","0.02","1,058"
"Boys: free school meals","Indian","0.07","442"
"Boys: free school meals","Pakistani","-0.26","2,132"
"Boys: free school meals","Asian other","0.08","440"
"Boys: free school meals","Black","-0.41","2,550"
"Boys: free school meals","Black African","-0.16","1,523"
"Boys: free school meals","Black Caribbean","-0.91","706"
"Boys: free school meals","Black other","-0.52","321"
"Boys: free school meals","Chinese","0.76","38"
"Boys: free school meals","Mixed","-0.72","2,103"
"Boys: free school meals","Mixed White/Asian","-0.58","331"
"Boys: free school meals","Mixed White/Black African","-0.44","274"
"Boys: free school meals","Mixed White/Black Caribbean","-0.97","796"
"Boys: free school meals","Mixed other","-0.61","702"
"Boys: free school meals","White","-0.98","22,106"
"Boys: free school meals","White British","-1.02","20,900"
"Boys: free school meals","White Irish","-1.15","84"
"Boys: free school meals","Gypsy/Roma","-1.31","146"
"Boys: free school meals","Irish Traveller","-1.72","28"
"Boys: free school meals","White other","-0.19","948"
"Boys: free school meals","Other","0.12","778"
"Boys: free school meals","Unknown","-0.92","469"
"Girls: free school meals","All","-0.28","31,292"
"Girls: free school meals","Asian","0.41","4,038"
"Girls: free school meals","Bangladeshi","0.48","1,127"
"Girls: free school meals","Indian","0.58","478"
"Girls: free school meals","Pakistani","0.30","2,040"
"Girls: free school meals","Asian other","0.56","393"
"Girls: free school meals","Black","0.21","2,700"
"Girls: free school meals","Black African","0.44","1,625"
"Girls: free school meals","Black Caribbean","-0.24","762"
"Girls: free school meals","Black other","0.12","313"
"Girls: free school meals","Chinese","1.06","59"
"Girls: free school meals","Mixed","-0.22","2,080"
"Girls: free school meals","Mixed White/Asian","-0.08","334"
"Girls: free school meals","Mixed White/Black African","-0.04","256"
"Girls: free school meals","Mixed White/Black Caribbean","-0.46","794"
"Girls: free school meals","Mixed other","-0.07","696"
"Girls: free school meals","White","-0.51","21,125"
"Girls: free school meals","White British","-0.55","19,929"
"Girls: free school meals","White Irish","-0.25","88"
"Girls: free school meals","Gypsy/Roma","-0.79","143"
"Girls: free school meals","Irish Traveller","-1.05","31"
"Girls: free school meals","White other","0.32","934"
"Girls: free school meals","Other","0.57","800"
"Girls: free school meals","Unknown","-0.55","490"
