"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","ONS geography code","Gender","FSM","SEN","Admission_Basis","Type_of_school","Religious_character","Value","Denominator","Lower confidence interval","Upper confidence interval","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.05","431427","0.05","0.05","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","0.03","341119","0.03","0.03","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","All Pupils","0.01","485334","0.01","0.01","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","0.08","27542","0.06","0.09","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","0.75","92","0.49","1.01","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","0.82","1196","0.75","0.89","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","1.2","821","1.11","1.29","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","-0.01","398371","-0.02","-0.01","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","0.09","8904","0.06","0.12","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","0.12","47142","0.11","0.14","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","0.62","327","0.48","0.75","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","-0.02","494835","-0.03","-0.02","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","0.11","246084","0.11","0.12","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","0.24","5439","0.2","0.27","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Further education colleges with provision for 14- to 16-year-olds","All Pupils","-1.88","939","-1.96","-1.8","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","-0.03","142755","-0.04","-0.02","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","-0.19","85859","-0.2","-0.18","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","-1.69","9501","-1.72","-1.67","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","-0.62","967","-0.7","-0.55","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","-0.8","2770","-0.85","-0.76","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","-0.13","31624","-0.15","-0.12","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","0","431573","-0.01","0","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Selective schools","All state-funded mainstream schools","All Pupils","0.56","21198","0.55","0.58","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","All SEN","All Pupils","All state-funded schools","All Pupils","-0.61","70435","-0.62","-0.6","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","No identified SEN","All Pupils","All state-funded schools","All Pupils","0.08","423440","0.07","0.08","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","SEN support","All Pupils","All state-funded schools","All Pupils","-0.43","51959","-0.45","-0.42","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","SEN with a statement or EHC plan","All Pupils","All state-funded schools","All Pupils","-1.09","18476","-1.11","-1.07","","","",""
"Average Progress 8","2017/18","2018","Academic Year","All pupils","All pupils","England","Country","E92000001","All Pupils","Pupils eligible for FSM","All Pupils","All Pupils","All state-funded schools","All Pupils","-0.53","63408","-0.54","-0.52","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All other pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.51","42350","0.5","0.52","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Academies and free schools","All Pupils","0.53","32922","0.52","0.54","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Church of England","0.51","2294","0.46","0.56","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Hindu","0.78","86","0.51","1.05","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Jewish","0.75","35","0.33","1.17","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Muslim","1.2","728","1.11","1.29","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","No religious character","0.45","42102","0.44","0.46","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Other Christian Faith","0.64","729","0.55","0.73","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Roman Catholic","0.61","3565","0.57","0.65","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded mainstream schools","Sikh","0.67","270","0.51","0.82","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","All state-funded schools","All Pupils","0.45","50460","0.44","0.46","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Converter Academies","All Pupils","0.6","23317","0.58","0.61","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Free schools","All Pupils","0.8","1192","0.73","0.87","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Further education colleges with provision for 14- to 16-year-olds","All Pupils","-2.75","4","-3.99","-1.51","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Local authority maintained mainstream schools","All Pupils","0.38","16850","0.36","0.4","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Sponsored Academies","All Pupils","0.33","8116","0.3","0.36","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","State-funded special schools","All Pupils","-1.45","647","-1.54","-1.35","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","Studio Schools","All Pupils","-0.34","59","-0.66","-0.02","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","All Pupils","University technical colleges","All Pupils","-0.42","238","-0.58","-0.26","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in highly selective areas","All state-funded mainstream schools","All Pupils","0.42","1834","0.37","0.48","","","",""
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","All Pupils","Non-selective schools in other areas","All state-funded mainstream schools","All Pupils","0.44","44130","0.43","0.45","","","",""
