"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","-0.02","494835","-0.03","-0.02"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","Boys","All Pupils","-0.25","251693","-0.26","-0.25"
"Average Progress 8","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","Girls","All Pupils","0.22","243142","0.21","0.22"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","0.45","50460","0.44","0.46"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","0.23","25690","0.21","0.25"
"Average Progress 8","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","0.68","24770","0.67","0.7"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","0.12","25183","0.11","0.14"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","-0.15","12399","-0.17","-0.13"
"Average Progress 8","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","0.39","12784","0.37","0.41"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","1.03","1536","0.97","1.09"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","0.86","732","0.77","0.96"
"Average Progress 8","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","1.18","804","1.09","1.27"
