"Ethnicity","Local authority","All","Boys","Girls"
"All","All - England","-0.02","-0.25","0.22"
"All","Barking and Dagenham","0.17","0.00","0.34"
"All","Barnet","0.57","0.33","0.83"
"All","Barnsley","-0.15","-0.38","0.09"
"All","Bath and North East Somerset","-0.03","-0.33","0.27"
"All","Bedford","0.10","-0.09","0.30"
"All","Bexley","-0.10","-0.33","0.12"
"All","Birmingham","-0.04","-0.30","0.24"
"All","Blackburn with Darwen","0.02","-0.19","0.24"
"All","Blackpool","-0.64","-0.87","-0.37"
"All","Bolton","-0.12","-0.37","0.15"
"All","Bournemouth","0.14","-0.10","0.37"
"All","Bracknell Forest","0.02","-0.17","0.22"
"All","Bradford","0.00","-0.22","0.22"
"All","Brent","0.54","0.34","0.75"
"All","Brighton and Hove","-0.02","-0.21","0.18"
"All","Bristol, City of","-0.09","-0.39","0.18"
"All","Bromley","0.03","-0.24","0.31"
"All","Buckinghamshire","0.22","0.02","0.44"
"All","Bury","-0.23","-0.45","0.00"
"All","Calderdale","0.07","-0.21","0.34"
"All","Cambridgeshire","0.13","-0.09","0.37"
"All","Camden","0.07","-0.37","0.39"
"All","Central Bedfordshire","-0.13","-0.38","0.12"
"All","Cheshire East","0.01","-0.23","0.26"
"All","Cheshire West and Chester","-0.11","-0.30","0.09"
"All","City of London","N/A","N/A","N/A"
"All","Cornwall","-0.09","-0.33","0.16"
"All","County Durham","-0.23","-0.45","0.01"
"All","Coventry","-0.08","-0.32","0.17"
"All","Croydon","0.07","-0.15","0.27"
"All","Cumbria","-0.11","-0.30","0.09"
"All","Darlington","-0.26","-0.45","-0.04"
"All","Derby","-0.19","-0.43","0.08"
"All","Derbyshire","-0.23","-0.45","0.00"
"All","Devon","-0.13","-0.36","0.12"
"All","Doncaster","-0.22","-0.47","0.05"
"All","Dorset","0.03","-0.21","0.29"
"All","Dudley","-0.15","-0.41","0.12"
"All","Ealing","0.53","0.29","0.76"
"All","East Riding of Yorkshire","0.06","-0.18","0.30"
"All","East Sussex","-0.03","-0.30","0.27"
"All","Enfield","0.08","-0.21","0.39"
"All","Essex","-0.09","-0.32","0.16"
"All","Gateshead","-0.25","-0.47","-0.02"
"All","Gloucestershire","0.02","-0.21","0.25"
"All","Greenwich","-0.18","-0.34","-0.02"
"All","Hackney","0.31","-0.02","0.57"
"All","Halton","-0.26","-0.50","-0.01"
"All","Hammersmith and Fulham","0.34","0.06","0.62"
"All","Hampshire","-0.09","-0.31","0.15"
"All","Haringey","0.16","-0.07","0.39"
"All","Harrow","0.45","0.22","0.67"
"All","Hartlepool","-0.47","-0.84","-0.11"
"All","Havering","-0.09","-0.23","0.07"
"All","Herefordshire, County of","-0.03","-0.26","0.21"
"All","Hertfordshire","0.19","-0.04","0.43"
"All","Hillingdon","0.15","-0.08","0.38"
"All","Hounslow","0.43","0.21","0.65"
"All","Isle of Wight","-0.38","-0.63","-0.13"
"All","Isles of Scilly","0.85","0.26","1.43"
"All","Islington","0.15","0.05","0.26"
"All","Kensington and Chelsea","0.11","0.09","0.13"
"All","Kent","-0.08","-0.30","0.15"
"All","Kingston upon Hull, City of","-0.08","-0.25","0.11"
"All","Kingston upon Thames","0.53","0.33","0.71"
"All","Kirklees","-0.04","-0.36","0.27"
"All","Knowsley","-0.82","-1.09","-0.55"
"All","Lambeth","-0.05","-0.34","0.24"
"All","Lancashire","-0.09","-0.34","0.18"
"All","Leeds","-0.02","-0.25","0.22"
"All","Leicester","-0.04","-0.35","0.30"
"All","Leicestershire","-0.04","-0.30","0.25"
"All","Lewisham","-0.22","-0.45","0.02"
"All","Lincolnshire","-0.14","-0.38","0.12"
"All","Liverpool","-0.32","-0.55","-0.09"
"All","Luton","-0.04","-0.20","0.14"
"All","Manchester","-0.13","-0.37","0.11"
"All","Medway","0.02","-0.16","0.19"
"All","Merton","0.44","0.24","0.65"
"All","Middlesbrough","-0.24","-0.46","-0.02"
"All","Milton Keynes","-0.15","-0.39","0.10"
"All","Newcastle upon Tyne","-0.14","-0.31","0.04"
"All","Newham","0.32","0.08","0.55"
"All","Norfolk","0.00","-0.21","0.21"
"All","North East Lincolnshire","-0.03","-0.22","0.17"
"All","North Lincolnshire","0.11","-0.07","0.31"
"All","North Somerset","-0.09","-0.28","0.09"
"All","North Tyneside","-0.20","-0.42","0.03"
"All","North Yorkshire","0.13","-0.09","0.36"
"All","Northamptonshire","0.00","-0.22","0.24"
"All","Northumberland","-0.09","-0.30","0.12"
"All","Nottingham","-0.27","-0.47","-0.07"
"All","Nottinghamshire","-0.02","-0.23","0.20"
"All","Oldham","-0.30","-0.67","0.08"
"All","Oxfordshire","-0.01","-0.22","0.21"
"All","Peterborough","-0.20","-0.46","0.09"
"All","Plymouth","-0.32","-0.54","-0.09"
"All","Poole","0.30","0.14","0.47"
"All","Portsmouth","-0.34","-0.60","-0.03"
"All","Reading","-0.04","-0.32","0.28"
"All","Redbridge","0.47","0.25","0.72"
"All","Redcar and Cleveland","-0.45","-0.66","-0.22"
"All","Richmond upon Thames","0.14","-0.04","0.32"
"All","Rochdale","-0.14","-0.37","0.10"
"All","Rotherham","-0.09","-0.34","0.15"
"All","Rutland","0.43","0.30","0.57"
"All","Salford","-0.46","-0.78","-0.15"
"All","Sandwell","-0.31","-0.45","-0.17"
"All","Sefton","-0.30","-0.47","-0.12"
"All","Sheffield","0.00","-0.23","0.24"
"All","Shropshire","-0.08","-0.28","0.14"
"All","Slough","0.30","-0.04","0.59"
"All","Solihull","-0.14","-0.36","0.09"
"All","Somerset","-0.14","-0.39","0.13"
"All","South Gloucestershire","-0.18","-0.43","0.08"
"All","South Tyneside","-0.26","-0.50","-0.02"
"All","Southampton","-0.22","-0.40","-0.03"
"All","Southend-on-Sea","0.14","0.00","0.29"
"All","Southwark","0.30","0.11","0.49"
"All","St. Helens","-0.39","-0.57","-0.19"
"All","Staffordshire","-0.12","-0.36","0.13"
"All","Stockport","-0.03","-0.28","0.25"
"All","Stockton-on-Tees","-0.08","-0.24","0.10"
"All","Stoke-on-Trent","-0.26","-0.48","-0.04"
"All","Suffolk","0.08","-0.10","0.26"
"All","Sunderland","-0.37","-0.59","-0.15"
"All","Surrey","0.17","-0.04","0.39"
"All","Sutton","0.39","0.25","0.53"
"All","Swindon","-0.14","-0.40","0.14"
"All","Tameside","-0.17","-0.42","0.10"
"All","Telford and Wrekin","-0.13","-0.35","0.10"
"All","Thurrock","-0.19","-0.36","-0.01"
"All","Torbay","-0.07","-0.22","0.08"
"All","Tower Hamlets","0.15","-0.12","0.39"
"All","Trafford","0.22","0.05","0.40"
"All","Wakefield","-0.19","-0.39","0.03"
"All","Walsall","-0.19","-0.43","0.04"
"All","Waltham Forest","0.21","-0.05","0.45"
"All","Wandsworth","0.30","0.15","0.46"
"All","Warrington","-0.14","-0.37","0.12"
"All","Warwickshire","0.06","-0.22","0.36"
"All","West Berkshire","0.11","-0.17","0.37"
"All","West Sussex","0.05","-0.20","0.31"
"All","Westminster","0.47","0.13","0.81"
"All","Wigan","-0.33","-0.62","-0.04"
"All","Wiltshire","0.01","-0.22","0.24"
"All","Windsor and Maidenhead","0.26","0.05","0.48"
"All","Wirral","0.03","-0.21","0.27"
"All","Wokingham","0.34","0.12","0.57"
"All","Wolverhampton","-0.05","-0.29","0.17"
"All","Worcestershire","0.06","-0.20","0.34"
"All","York","0.11","-0.21","0.42"
"Asian","All - England","0.45","0.23","0.68"
"Asian","Barking and Dagenham","0.65","0.39","0.91"
"Asian","Barnet","0.96","0.86","1.07"
"Asian","Barnsley","1.06","0.58","1.54"
"Asian","Bath and North East Somerset","0.91","0.42","1.35"
"Asian","Bedford","0.25","0.10","0.40"
"Asian","Bexley","0.57","0.48","0.67"
"Asian","Birmingham","0.08","-0.16","0.31"
"Asian","Blackburn with Darwen","0.50","0.26","0.76"
"Asian","Blackpool","0.13","-0.28","0.58"
"Asian","Bolton","0.53","0.22","0.86"
"Asian","Bournemouth","1.12","0.70","1.70"
"Asian","Bracknell Forest","0.80","0.66","0.95"
"Asian","Bradford","0.27","0.05","0.50"
"Asian","Brent","0.96","0.79","1.16"
"Asian","Brighton and Hove","0.59","0.42","0.77"
"Asian","Bristol, City of","0.42","0.18","0.66"
"Asian","Bromley","0.84","0.70","0.96"
"Asian","Buckinghamshire","0.46","0.28","0.66"
"Asian","Bury","0.41","0.16","0.64"
"Asian","Calderdale","0.39","0.06","0.73"
"Asian","Cambridgeshire","0.73","0.55","0.89"
"Asian","Camden","0.11","-0.17","0.36"
"Asian","Central Bedfordshire","0.20","0.07","0.33"
"Asian","Cheshire East","0.48","0.19","0.70"
"Asian","Cheshire West and Chester","0.54","0.42","0.78"
"Asian","City of London","N/A","N/A","N/A"
"Asian","Cornwall","0.70","0.86","0.52"
"Asian","County Durham","0.58","0.59","0.54"
"Asian","Coventry","0.54","0.32","0.77"
"Asian","Croydon","0.58","0.41","0.75"
"Asian","Cumbria","0.67","0.17","1.11"
"Asian","Darlington","0.19","0.31","0.13"
"Asian","Derby","0.33","0.13","0.52"
"Asian","Derbyshire","0.31","-0.03","0.85"
"Asian","Devon","0.54","0.06","0.73"
"Asian","Doncaster","0.35","0.25","0.47"
"Asian","Dorset","1.08","0.95","1.29"
"Asian","Dudley","0.19","-0.14","0.51"
"Asian","Ealing","0.89","0.69","1.06"
"Asian","East Riding of Yorkshire","0.64","0.61","0.71"
"Asian","East Sussex","0.78","0.57","0.90"
"Asian","Enfield","0.49","0.12","0.91"
"Asian","Essex","0.83","0.75","0.93"
"Asian","Gateshead","0.54","0.40","0.87"
"Asian","Gloucestershire","0.82","0.79","0.87"
"Asian","Greenwich","0.22","0.15","0.30"
"Asian","Hackney","0.44","0.18","0.67"
"Asian","Halton","-0.21","-1.58","1.15"
"Asian","Hammersmith and Fulham","0.49","0.22","0.81"
"Asian","Hampshire","0.54","0.38","0.73"
"Asian","Haringey","0.35","-0.01","0.67"
"Asian","Harrow","0.69","0.45","0.92"
"Asian","Hartlepool","0.50","-0.08","0.98"
"Asian","Havering","0.64","0.67","0.61"
"Asian","Herefordshire, County of","0.95","-0.01","1.33"
"Asian","Hertfordshire","0.67","0.50","0.88"
"Asian","Hillingdon","0.73","0.50","0.93"
"Asian","Hounslow","0.86","0.61","1.11"
"Asian","Isle of Wight","0.49","N/A","0.49"
"Asian","Isles of Scilly","N/A","N/A","N/A"
"Asian","Islington","0.64","0.80","0.48"
"Asian","Kensington and Chelsea","0.58","0.52","0.64"
"Asian","Kent","0.70","0.64","0.78"
"Asian","Kingston upon Hull, City of","0.74","0.60","0.91"
"Asian","Kingston upon Thames","1.04","0.99","1.08"
"Asian","Kirklees","0.21","-0.15","0.54"
"Asian","Knowsley","0.11","-0.85","0.59"
"Asian","Lambeth","0.55","0.53","0.58"
"Asian","Lancashire","0.29","0.01","0.58"
"Asian","Leeds","0.27","-0.03","0.68"
"Asian","Leicester","0.44","0.13","0.78"
"Asian","Leicestershire","0.76","0.55","0.96"
"Asian","Lewisham","0.09","0.01","0.19"
"Asian","Lincolnshire","1.03","0.94","1.09"
"Asian","Liverpool","0.74","0.60","0.85"
"Asian","Luton","0.32","0.19","0.46"
"Asian","Manchester","0.47","0.19","0.76"
"Asian","Medway","0.95","0.99","0.91"
"Asian","Merton","0.98","0.83","1.12"
"Asian","Middlesbrough","0.65","0.56","0.74"
"Asian","Milton Keynes","0.38","0.32","0.45"
"Asian","Newcastle upon Tyne","0.62","0.39","0.83"
"Asian","Newham","0.57","0.35","0.79"
"Asian","Norfolk","0.71","0.66","0.75"
"Asian","North East Lincolnshire","0.47","0.79","0.18"
"Asian","North Lincolnshire","0.48","0.41","0.57"
"Asian","North Somerset","0.59","0.44","0.77"
"Asian","North Tyneside","0.39","0.26","0.63"
"Asian","North Yorkshire","0.52","0.48","0.56"
"Asian","Northamptonshire","0.64","0.39","0.85"
"Asian","Northumberland","0.54","0.37","0.72"
"Asian","Nottingham","0.27","0.03","0.51"
"Asian","Nottinghamshire","0.66","0.42","0.93"
"Asian","Oldham","0.07","-0.37","0.48"
"Asian","Oxfordshire","0.17","0.01","0.38"
"Asian","Peterborough","0.11","-0.16","0.38"
"Asian","Plymouth","1.06","1.03","1.07"
"Asian","Poole","1.02","1.06","0.99"
"Asian","Portsmouth","0.79","0.49","1.04"
"Asian","Reading","0.65","0.33","0.96"
"Asian","Redbridge","0.68","0.50","0.89"
"Asian","Redcar and Cleveland","0.71","0.49","1.04"
"Asian","Richmond upon Thames","0.64","0.48","0.86"
"Asian","Rochdale","0.26","-0.07","0.58"
"Asian","Rotherham","0.09","-0.17","0.36"
"Asian","Rutland","0.84","N/A","0.84"
"Asian","Salford","0.64","0.48","0.88"
"Asian","Sandwell","0.13","-0.07","0.38"
"Asian","Sefton","0.22","-0.10","1.11"
"Asian","Sheffield","0.35","0.10","0.62"
"Asian","Shropshire","0.15","-0.17","0.66"
"Asian","Slough","0.45","0.10","0.75"
"Asian","Solihull","0.23","0.08","0.43"
"Asian","Somerset","0.46","0.45","0.47"
"Asian","South Gloucestershire","0.62","0.33","0.82"
"Asian","South Tyneside","0.65","0.62","0.66"
"Asian","Southampton","0.47","0.45","0.48"
"Asian","Southend-on-Sea","0.93","0.96","0.88"
"Asian","Southwark","0.67","0.38","0.95"
"Asian","St. Helens","0.77","0.67","0.87"
"Asian","Staffordshire","0.30","0.00","0.67"
"Asian","Stockport","0.59","0.15","1.06"
"Asian","Stockton-on-Tees","0.53","0.38","0.72"
"Asian","Stoke-on-Trent","0.11","-0.11","0.33"
"Asian","Suffolk","0.79","0.48","1.10"
"Asian","Sunderland","0.82","0.70","0.91"
"Asian","Surrey","0.59","0.38","0.84"
"Asian","Sutton","1.05","0.93","1.18"
"Asian","Swindon","0.47","0.18","0.76"
"Asian","Tameside","0.50","0.19","0.79"
"Asian","Telford and Wrekin","0.27","0.09","0.51"
"Asian","Thurrock","0.29","0.17","0.43"
"Asian","Torbay","1.13","1.03","1.16"
"Asian","Tower Hamlets","0.36","0.11","0.59"
"Asian","Trafford","0.61","0.43","0.81"
"Asian","Wakefield","0.10","-0.38","0.55"
"Asian","Walsall","0.27","0.06","0.50"
"Asian","Waltham Forest","0.48","0.23","0.73"
"Asian","Wandsworth","0.59","0.57","0.63"
"Asian","Warrington","0.61","0.56","0.72"
"Asian","Warwickshire","0.71","0.45","0.95"
"Asian","West Berkshire","0.40","0.08","0.80"
"Asian","West Sussex","0.69","0.48","0.93"
"Asian","Westminster","0.59","0.36","0.90"
"Asian","Wigan","0.42","-0.18","1.07"
"Asian","Wiltshire","0.78","0.60","0.97"
"Asian","Windsor and Maidenhead","0.38","0.18","0.56"
"Asian","Wirral","1.10","1.00","1.19"
"Asian","Wokingham","0.64","0.51","0.88"
"Asian","Wolverhampton","0.52","0.23","0.80"
