"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Religious character","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","0.01","-0.21","0.23","0.48","0.26","0.70","0.16","-0.10","0.41","1.06","0.91","1.20","0.02","-0.20","0.23","-0.07","-0.29","0.15"
"Church of England schools","0.08","-0.14","0.30","0.51","0.32","0.72","0.11","-0.16","0.33","1.18","1.11","1.24","0.07","-0.05","0.18","0.02","-0.20","0.25"
"Hindu schools","0.75","0.79","0.70","0.78","0.81","0.75","-1.15","N/A","-1.15","N/A","N/A","N/A","0.76","0.35","1.16","N/A","N/A","N/A"
"Jewish schools","0.82","0.54","1.05","0.75","0.59","0.87","0.13","-0.32","0.62","1.47","1.47","N/A","-0.12","-0.61","0.33","0.82","0.50","1.04"
"Muslim schools","1.20","0.94","1.30","1.20","0.97","1.29","1.13","0.74","1.25","N/A","N/A","N/A","1.10","0.62","1.39","2.40","N/A","2.40"
"No religious character","-0.01","-0.23","0.21","0.45","0.23","0.67","0.12","-0.14","0.38","1.05","0.89","1.19","-0.01","-0.23","0.21","-0.09","-0.31","0.13"
"Other Christian faith schools","0.09","-0.10","0.31","0.64","0.50","0.82","0.26","0.04","0.58","1.37","1.23","1.65","0.20","0.00","0.47","-0.01","-0.22","0.21"
"Roman Catholic schools","0.12","-0.10","0.34","0.61","0.38","0.86","0.30","0.05","0.51","0.91","0.72","1.11","0.14","-0.11","0.36","0.03","-0.19","0.24"
"Sikh schools","0.62","0.40","0.84","0.67","0.52","0.82","0.15","N/A","0.15","-0.37","-0.37","N/A","0.52","-0.03","0.87","0.38","0.38","N/A"
