"","All","Asian","Black","Chinese","Mixed","White","Other"
"Geography","%","%","%","%","%","%","%"
"Barking and Dagenham","76","81","79","78","77","72","71"
"Barnet","79","83","73","97","78","80","78"
"Barnsley","75","80","71","50","72","75","78"
"Bath and North East Somerset","77","91","47","67","72","77","75"
"Bedford","73","67","74","90","74","74","61"
"Bexley","81","86","84","94","83","80","79"
"Birmingham","73","75","72","91","73","72","74"
"Blackburn with Darwen","76","77","74","80","76","76","69"
"Blackpool","73","85","67","100","81","73","82"
"Bolton","74","78","60","92","83","74","66"
"Bournemouth","79","86","90","100","73","79","75"
"Bracknell Forest","80","85","71","91","82","80","77"
"Bradford","73","75","59","83","73","72","66"
"Brent","75","81","73","71","76","76","68"
"Brighton and Hove","76","71","73","100","73","77","54"
"Bristol, City of","75","70","63","93","74","77","73"
"Bromley","80","89","71","97","81","81","78"
"Buckinghamshire","78","77","76","100","78","79","65"
"Bury","74","69","67","94","78","75","66"
"Calderdale","73","69","67","100","71","74","50"
"Cambridgeshire","75","81","60","94","74","75","77"
"Camden","76","77","72","85","77","79","70"
"Central Bedfordshire","79","84","76","88","74","79","74"
"Cheshire East","77","78","69","70","79","77","63"
"Cheshire West and Chester","74","80","76","88","77","74","68"
"City of London","!","!","!","!","!","!","!"
"Cornwall","72","83","0","69","75","72","80"
"County Durham","78","77","50","85","74","78","60"
"Coventry","73","80","71","88","71","72","66"
"Croydon","78","83","77","96","77","79","74"
"Cumbria","75","80","50","100","77","75","86"
"Darlington","78","80","80","75","81","78","67"
"Derby","74","74","77","89","77","74","72"
"Derbyshire","77","81","70","86","76","77","60"
"Devon","75","77","64","100","75","75","64"
"Doncaster","75","71","70","100","76","75","64"
"Dorset","77","78","25","100","84","76","69"
"Dudley","74","73","74","90","74","74","63"
"Ealing","77","81","69","89","76","80","71"
"East Riding of Yorkshire","77","90","40","100","83","77","40"
"East Sussex","77","83","71","88","78","77","75"
"Enfield","74","84","72","96","80","73","74"
"Essex","77","85","76","85","78","77","77"
"Gateshead","77","89","84","83","82","77","54"
"Gloucestershire","75","79","71","93","77","75","52"
"Greenwich","80","85","82","97","79","77","80"
"Hackney","81","87","78","93","83","82","84"
"Halton","74","50","100","N/A","83","74","67"
"Hammersmith and Fulham","81","84","73","100","82","83","81"
"Hampshire","79","83","71","94","79","79","82"
"Haringey","78","85","76","89","80","78","75"
"Harrow","80","86","71","93","79","75","72"
"Hartlepool","77","82","100","80","68","77","63"
"Havering","78","83","77","88","75","79","68"
"Herefordshire, County of","77","75","100","100","76","78","46"
"Hertfordshire","78","82","72","96","76","78","80"
"Hillingdon","78","84","75","100","79","75","75"
"Hounslow","81","86","75","94","85","80","77"
"Isle of Wight","68","78","100","100","69","68","0"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","77","82","71","100","74","81","75"
"Kensington and Chelsea","82","88","74","80","84","86","76"
"Kent","79","87","85","86","82","78","70"
"Kingston upon Hull, City of","73","86","63","100","74","74","70"
"Kingston upon Thames","80","79","69","94","80","82","77"
"Kirklees","73","72","68","87","70","75","73"
"Knowsley","72","87","71","100","73","72","80"
"Lambeth","80","80","76","91","81","83","81"
"Lancashire","75","73","78","88","76","76","72"
"Leeds","71","69","67","92","68","72","68"
"Leicester","72","78","72","89","72","66","75"
"Leicestershire","76","80","65","87","75","76","81"
"Lewisham","78","80","73","85","79","82","78"
"Lincolnshire","74","83","81","93","71","74","65"
"Liverpool","72","80","76","89","70","72","63"
"Luton","73","74","74","71","73","74","63"
"Manchester","74","74","76","94","75","74","71"
"Medway","78","84","87","91","79","77","88"
"Merton","78","83","74","86","78","77","74"
"Middlesbrough","68","70","76","50","72","69","42"
"Milton Keynes","76","82","73","95","78","75","80"
"Newcastle upon Tyne","76","77","72","92","79","76","77"
"Newham","81","83","81","80","83","76","82"
"Norfolk","74","75","71","88","74","75","70"
"North East Lincolnshire","73","87","71","100","77","73","53"
"North Lincolnshire","76","90","56","83","88","76","52"
"North Somerset","77","75","54","100","78","77","67"
"North Tyneside","79","75","71","89","86","79","67"
"North Yorkshire","75","75","74","88","75","75","65"
"Northamptonshire","75","76","70","93","75","76","69"
"Northumberland","79","82","100","88","84","79","58"
"Nottingham","71","74","73","92","73","71","66"
"Nottinghamshire","75","77","69","92","73","75","70"
"Oldham","70","66","66","75","72","74","61"
"Oxfordshire","77","75","70","89","77","77","70"
"Peterborough","72","72","77","64","76","72","81"
"Plymouth","73","69","65","89","66","73","70"
"Poole","80","90","73","100","72","80","100"
"Portsmouth","73","76","74","100","75","73","59"
"Reading","76","82","72","85","72","76","77"
"Redbridge","81","86","75","93","76","78","74"
"Redcar and Cleveland","78","80","50","100","73","78","25"
"Richmond upon Thames","85","88","81","95","85","85","88"
"Rochdale","74","72","65","100","77","75","72"
"Rotherham","75","77","71","69","77","75","54"
"Rutland","79","88","67","N/A","83","79","100"
"Salford","75","80","74","86","75","76","75"
"Sandwell","73","77","73","87","72","71","66"
"Sefton","76","80","45","100","77","76","64"
"Sheffield","74","76","71","91","70","75","71"
"Shropshire","74","79","63","83","75","74","67"
"Slough","77","83","71","100","79","71","71"
"Solihull","77","80","70","95","78","77","78"
"Somerset","77","78","73","83","80","77","64"
"South Gloucestershire","80","89","81","100","82","80","70"
"South Tyneside","77","80","67","86","70","78","78"
"Southampton","76","80","76","95","73","76","74"
"Southend-on-Sea","76","74","74","86","75","77","68"
"Southwark","78","82","76","92","80","81","73"
"St. Helens","75","82","71","100","76","75","50"
"Staffordshire","78","75","64","86","78","78","70"
"Stockport","74","69","72","100","74","75","68"
"Stockton-on-Tees","77","73","86","71","76","78","44"
"Stoke-on-Trent","72","73","69","100","76","72","59"
"Suffolk","74","78","73","100","73","74","75"
"Sunderland","77","73","90","87","74","77","67"
"Surrey","79","80","70","92","80","79","78"
"Sutton","81","91","78","98","76","80","81"
"Swindon","78","81","90","92","77","78","68"
"Tameside","73","72","65","83","83","73","78"
"Telford and Wrekin","77","80","80","100","74","77","100"
"Thurrock","78","85","84","100","76","77","90"
"Torbay","74","91","100","100","76","74","50"
"Tower Hamlets","77","79","78","85","75","76","74"
"Trafford","80","81","73","90","75","81","82"
"Wakefield","74","74","65","89","71","74","69"
"Walsall","74","77","69","93","73","73","60"
"Waltham Forest","81","83","76","97","81","81","80"
"Wandsworth","83","80","77","94","78","88","82"
"Warrington","78","89","83","100","75","78","80"
"Warwickshire","77","85","70","96","79","76","78"
"West Berkshire","76","88","82","67","80","76","75"
"West Sussex","74","76","64","95","74","74","61"
"Westminster","78","80","75","88","83","79","74"
"Wigan","76","66","65","88","85","77","57"
"Wiltshire","75","79","66","89","74","76","56"
"Windsor and Maidenhead","80","77","75","100","86","81","77"
"Wirral","74","81","92","100","77","73","73"
"Wokingham","81","89","69","96","77","79","71"
"Wolverhampton","75","80","76","77","72","74","69"
"Worcestershire","76","74","73","93","80","76","73"
"York","77","80","50","64","79","77","80"
