"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","75","24"
"Boys","Asian","77","26"
"Boys","Bangladeshi","76","24"
"Boys","Indian","84","34"
"Boys","Pakistani","71","19"
"Boys","Asian other","79","29"
"Boys","Black","72","20"
"Boys","Black African","74","22"
"Boys","Black Caribbean","66","14"
"Boys","Black other","69","18"
"Boys","Chinese","90","48"
"Boys","Mixed","75","25"
"Boys","Mixed White/Asian","80","32"
"Boys","Mixed White/Black African","75","24"
"Boys","Mixed White/Black Caribbean","69","17"
"Boys","Mixed other","77","27"
"Boys","White","75","24"
"Boys","White British","75","24"
"Boys","White Irish","75","28"
"Boys","Gypsy/Roma","32","3"
"Boys","Irish Traveller","36","3"
"Boys","White other","75","24"
"Boys","Other","72","22"
"Boys","Unknown","59","18"
"Girls","All","77","20"
"Girls","Asian","80","22"
"Girls","Bangladeshi","80","20"
"Girls","Indian","87","30"
"Girls","Pakistani","75","16"
"Girls","Asian other","82","25"
"Girls","Black","76","19"
"Girls","Black African","78","21"
"Girls","Black Caribbean","71","15"
"Girls","Black other","74","17"
"Girls","Chinese","92","44"
"Girls","Mixed","78","20"
"Girls","Mixed White/Asian","82","26"
"Girls","Mixed White/Black African","78","19"
"Girls","Mixed White/Black Caribbean","73","14"
"Girls","Mixed other","78","22"
"Girls","White","77","19"
"Girls","White British","78","19"
"Girls","White Irish","78","24"
"Girls","Gypsy/Roma","35","2"
"Girls","Irish Traveller","35","3"
"Girls","White other","76","18"
"Girls","Other","73","17"
"Girls","Unknown","60","13"
