"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Geography","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls"
"Barking and Dagenham","73","79","76","87","76","82","67","83","76","78","69","75","78","63"
"Barnet","79","80","81","84","71","75","97","97","77","78","79","81","81","76"
"Barnsley","72","78","90","60","64","80","0","100","77","64","72","78","60","100"
"Bath and North East Somerset","78","76","95","86","50","44","75","50","75","67","78","77","71","80"
"Bedford","72","74","69","64","75","74","75","100","71","77","72","77","75","50"
"Bexley","81","82","86","86","83","85","94","94","79","88","80","80","67","94"
"Birmingham","72","74","73","78","70","74","93","90","71","76","72","71","73","74"
"Blackburn with Darwen","74","78","72","82","79","70","100","75","79","73","76","77","94","33"
"Blackpool","72","74","86","84","100","33","100","100","83","81","72","74","75","86"
"Bolton","73","75","75","80","54","66","88","100","84","81","73","75","64","69"
"Bournemouth","77","80","85","86","82","100","100","100","69","77","78","80","71","77"
"Bracknell Forest","79","80","83","87","74","68","100","86","81","82","79","80","67","86"
"Bradford","71","74","72","78","51","65","100","50","76","69","71","72","63","70"
"Brent","74","77","79","84","71","75","100","50","74","79","77","76","63","75"
"Brighton and Hove","74","77","75","66","64","79","100","100","72","74","76","78","64","43"
"Bristol, City of","74","75","73","68","61","65","100","87","74","73","76","77","72","75"
"Bromley","81","80","88","91","69","73","94","100","81","81","81","80","72","83"
"Buckinghamshire","78","79","78","76","75","78","100","100","76","80","78","80","74","50"
"Bury","74","73","69","69","63","70","89","100","78","78","76","74","59","75"
"Calderdale","71","76","69","69","60","73","100","100","72","70","72","77","67","33"
"Cambridgeshire","75","75","81","81","54","70","100","88","75","73","75","75","80","73"
"Camden","76","77","74","79","71","72","82","89","75","79","80","78","63","77"
"Central Bedfordshire","78","79","81","88","69","83","89","86","74","75","78","80","73","75"
"Cheshire East","76","78","76","79","60","73","60","80","81","77","76","78","57","70"
"Cheshire West and Chester","73","76","77","82","73","83","86","100","79","75","73","76","50","82"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","71","73","78","89","N/A","0","88","40","76","73","71","73","90","70"
"County Durham","77","79","86","70","40","100","82","87","78","69","77","79","50","73"
"Coventry","72","75","78","82","68","74","86","90","70","71","72","73","60","71"
"Croydon","77","79","83","83","76","77","91","100","77","77","77","80","74","73"
"Cumbria","74","77","85","76","0","67","100","100","76","78","74","77","90","75"
"Darlington","76","80","78","84","75","83","50","100","69","89","76","80","50","83"
"Derby","72","76","72","76","75","77","93","75","77","77","72","76","73","70"
"Derbyshire","76","77","70","91","67","73","86","86","74","78","76","77","75","46"
"Devon","74","75","64","96","33","88","100","100","76","74","74","75","68","60"
"Doncaster","72","78","69","73","59","84","100","100","67","85","73","78","50","76"
"Dorset","76","77","77","78","50","0","100","100","78","89","76","77","71","67"
"Dudley","71","76","69","77","70","77","88","100","67","79","71","77","74","52"
"Ealing","75","78","81","81","66","72","100","82","71","80","78","81","72","69"
"East Riding of Yorkshire","77","78","88","92","0","67","100","100","80","87","77","78","29","46"
"East Sussex","75","80","86","81","71","71","67","100","74","83","75","80","64","89"
"Enfield","73","75","86","83","68","76","100","94","81","80","73","72","71","77"
"Essex","76","77","88","83","70","83","81","91","80","76","76","77","67","86"
"Gateshead","74","80","86","91","67","87","71","100","77","89","75","79","50","59"
"Gloucestershire","75","76","77","82","67","74","89","100","74","80","75","76","62","44"
"Greenwich","78","82","83","87","79","86","97","96","75","84","77","77","83","77"
"Hackney","80","84","85","88","75","82","91","94","82","84","80","84","84","84"
"Halton","73","74","50","N/A","N/A","100","N/A","N/A","78","93","73","74","50","100"
"Hammersmith and Fulham","80","81","80","88","74","73","100","100","82","82","83","84","78","84"
"Hampshire","78","80","80","87","68","73","96","92","80","78","78","80","85","79"
"Haringey","78","78","85","84","75","78","78","100","82","79","78","79","79","69"
"Harrow","79","81","85","88","65","76","80","100","79","78","75","75","69","74"
"Hartlepool","75","79","70","89","100","100","50","100","50","85","76","78","75","50"
"Havering","77","80","81","86","74","80","83","100","71","80","78","80","56","73"
"Herefordshire, County of","75","80","78","73","100","100","100","N/A","75","76","75","80","57","33"
"Hertfordshire","78","78","81","83","71","72","93","100","75","78","78","78","83","76"
"Hillingdon","77","80","81","87","75","75","100","100","79","80","74","77","75","76"
"Hounslow","80","83","85","86","69","82","100","92","87","82","77","82","77","77"
"Isle of Wight","68","69","100","67","100","N/A","100","N/A","74","63","68","69","0","N/A"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","76","79","78","86","71","70","100","100","72","76","78","84","71","79"
"Kensington and Chelsea","81","82","90","85","72","76","80","N/A","86","82","86","85","70","82"
"Kent","77","80","85","90","81","89","81","92","80","84","77","80","71","68"
"Kingston upon Hull, City of","72","74","100","74","64","62","100","100","72","76","72","75","76","65"
"Kingston upon Thames","80","80","78","81","60","77","86","100","79","82","83","80","77","77"
"Kirklees","72","75","70","75","74","59","100","71","66","73","74","76","74","71"
"Knowsley","69","75","89","86","78","63","100","100","71","74","68","75","80","80"
"Lambeth","78","81","76","85","73","80","92","90","80","81","82","83","82","80"
"Lancashire","74","76","72","74","74","81","84","93","73","79","75","76","74","68"
"Leeds","70","71","67","71","67","67","93","92","67","70","71","73","65","70"
"Leicester","71","73","77","79","72","72","82","100","72","72","65","68","72","77"
"Leicestershire","75","77","79","81","70","61","81","93","76","74","75","77","83","79"
"Lewisham","78","79","76","87","72","75","82","88","80","78","83","82","77","79"
"Lincolnshire","72","75","83","84","83","80","80","100","70","71","73","75","65","64"
"Liverpool","71","73","76","84","76","76","87","91","67","74","71","73","63","63"
"Luton","70","77","69","80","69","79","67","75","71","75","72","76","69","58"
"Manchester","72","75","72","75","73","79","91","97","73","78","73","76","71","70"
"Medway","75","81","78","91","87","88","88","100","76","82","74","81","93","83"
"Merton","78","79","82","84","71","78","92","75","78","79","77","77","77","70"
"Middlesbrough","67","70","68","72","71","80","67","0","71","72","67","71","47","36"
"Milton Keynes","74","78","78","86","74","73","100","88","71","86","74","76","75","86"
"Newcastle upon Tyne","76","77","73","81","69","75","90","94","78","80","77","76","69","84"
"Newham","79","83","81","86","77","85","78","82","79","86","74","78","83","81"
"Norfolk","74","75","79","71","69","72","86","89","77","71","73","76","64","77"
"North East Lincolnshire","71","76","100","67","50","80","100","100","85","69","71","76","50","57"
"North Lincolnshire","74","79","89","91","75","40","100","75","95","81","74","79","46","60"
"North Somerset","78","76","87","65","67","43","100","100","76","79","78","77","100","50"
"North Tyneside","78","79","78","68","75","67","100","80","76","94","78","79","78","50"
"North Yorkshire","75","75","79","69","67","82","100","80","75","76","75","76","59","71"
"Northamptonshire","75","75","76","77","68","73","94","92","76","73","75","76","67","74"
"Northumberland","77","81","89","74","100","100","100","75","81","86","76","81","57","60"
"Nottingham","70","73","73","75","71","74","86","100","71","75","69","73","66","67"
"Nottinghamshire","74","77","79","76","74","66","90","95","72","74","74","77","65","73"
"Oldham","68","73","63","69","62","69","85","33","68","76","72","76","65","56"
"Oxfordshire","76","77","74","76","66","73","93","83","75","78","77","77","68","72"
"Peterborough","69","74","69","76","82","71","33","88","68","83","69","74","79","83"
"Plymouth","71","75","50","92","57","75","82","100","61","71","71","75","70","71"
"Poole","79","81","95","87","83","60","100","100","76","67","78","81","100","100"
"Portsmouth","71","76","77","74","75","74","100","100","74","77","71","76","50","73"
"Reading","77","74","85","79","74","70","100","71","75","69","77","74","83","69"
"Redbridge","81","81","85","86","78","73","88","100","78","73","79","78","72","79"
"Redcar and Cleveland","76","80","67","100","67","0","100","N/A","78","65","76","80","33","0"
"Richmond upon Thames","84","85","85","92","89","72","90","100","86","84","85","85","82","100"
"Rochdale","72","75","69","74","65","64","100","100","76","80","73","76","74","68"
"Rotherham","73","76","75","80","59","81","75","60","69","86","74","76","46","60"
"Rutland","79","80","100","67","100","33","N/A","N/A","75","100","79","80","N/A","100"
"Salford","73","79","73","86","76","72","75","100","70","81","73","79","70","80"
"Sandwell","71","74","77","78","70","75","92","82","66","78","70","72","69","63"
"Sefton","74","77","75","88","50","40","100","100","69","87","75","77","64","64"
"Sheffield","73","75","76","76","64","77","100","86","68","72","74","75","70","72"
"Shropshire","74","74","79","79","100","40","100","50","84","68","74","74","67","N/A"
"Slough","75","80","82","85","65","78","100","100","78","80","69","74","63","80"
"Solihull","77","78","77","84","74","67","93","100","75","80","77","77","77","80"
"Somerset","76","77","71","86","67","78","83","83","79","81","77","77","55","73"
"South Gloucestershire","77","83","86","92","83","78","100","100","78","85","77","82","70","70"
"South Tyneside","75","79","79","80","67","67","100","83","71","68","76","80","90","63"
"Southampton","73","79","78","82","75","77","91","100","71","76","73","79","69","78"
"Southend-on-Sea","76","77","78","71","74","73","100","75","74","75","76","78","64","75"
"Southwark","77","79","81","82","74","78","89","95","77","84","81","81","78","69"
"St. Helens","73","77","67","92","80","50","100","100","63","84","73","77","25","83"
"Staffordshire","77","80","70","81","61","68","81","89","72","83","77","80","50","80"
"Stockport","74","75","70","68","65","77","100","100","80","69","74","75","68","67"
"Stockton-on-Tees","75","80","72","73","84","92","60","100","74","78","76","81","50","40"
"Stoke-on-Trent","70","73","73","73","66","72","100","100","74","78","70","74","54","63"
"Suffolk","72","75","73","83","73","72","100","100","70","76","73","75","67","86"
"Sunderland","73","81","71","75","100","83","91","75","66","82","74","81","50","75"
"Surrey","78","80","81","80","63","75","95","88","79","81","78","80","75","81"
"Sutton","79","84","89","92","72","85","95","100","74","79","78","84","75","86"
"Swindon","77","80","77","87","81","98","100","83","77","77","77","79","64","73"
"Tameside","70","76","72","72","59","72","75","88","87","79","70","76","63","87"
"Telford and Wrekin","75","78","76","83","79","81","100","100","73","75","75","78","100","N/A"
"Thurrock","77","80","85","84","84","83","100","100","68","87","75","78","94","86"
"Torbay","71","77","100","75","N/A","100","100","100","70","82","71","78","60","33"
"Tower Hamlets","75","80","76","82","76","80","78","89","78","72","75","77","74","74"
"Trafford","81","80","81","82","79","65","90","89","75","74","81","81","83","81"
"Wakefield","73","75","78","71","57","72","92","86","74","67","73","76","71","67"
"Walsall","71","76","75","79","64","74","100","91","71","75","72","75","52","67"
"Waltham Forest","79","82","83","84","75","78","94","100","79","82","80","84","81","80"
"Wandsworth","82","84","77","82","76","77","83","100","77","80","87","88","86","76"
"Warrington","77","80","91","86","75","100","100","100","76","74","76","80","82","78"
"Warwickshire","75","78","81","88","67","72","92","100","76","81","75","78","83","70"
"West Berkshire","75","78","85","91","91","73","50","100","78","81","74","77","75","75"
"West Sussex","73","74","75","77","64","64","90","100","69","79","74","74","59","64"
"Westminster","77","79","76","83","79","71","92","83","82","83","77","82","73","76"
"Wigan","74","79","81","59","47","81","82","100","86","84","74","79","65","50"
"Wiltshire","76","75","85","73","60","72","86","100","75","73","76","76","67","48"
"Windsor and Maidenhead","79","82","78","76","75","75","100","100","86","85","79","84","69","85"
"Wirral","72","76","83","80","89","100","100","100","73","83","71","75","80","67"
"Wokingham","81","81","88","89","59","79","100","93","78","76","80","79","75","67"
"Wolverhampton","73","77","77","83","76","76","81","67","71","73","72","77","69","70"
