"Ethnicity","Geography","boys","girls"
"All","Barking and Dagenham","73","79"
"All","Barnet","79","80"
"All","Barnsley","72","78"
"All","Bath and North East Somerset","78","76"
"All","Bedford","72","74"
"All","Bexley","81","82"
"All","Birmingham","72","74"
"All","Blackburn with Darwen","74","78"
"All","Blackpool","72","74"
"All","Bolton","73","75"
"All","Bournemouth","77","80"
"All","Bracknell Forest","79","80"
"All","Bradford","71","74"
"All","Brent","74","77"
"All","Brighton and Hove","74","77"
"All","Bristol, City of","74","75"
"All","Bromley","81","80"
"All","Buckinghamshire","78","79"
"All","Bury","74","73"
"All","Calderdale","71","76"
"All","Cambridgeshire","75","75"
"All","Camden","76","77"
"All","Central Bedfordshire","78","79"
"All","Cheshire East","76","78"
"All","Cheshire West and Chester","73","76"
"All","City of London","!","!"
"All","Cornwall","71","73"
"All","County Durham","77","79"
"All","Coventry","72","75"
"All","Croydon","77","79"
"All","Cumbria","74","77"
"All","Darlington","76","80"
"All","Derby","72","76"
"All","Derbyshire","76","77"
"All","Devon","74","75"
"All","Doncaster","72","78"
"All","Dorset","76","77"
"All","Dudley","71","76"
"All","Ealing","75","78"
"All","East Riding of Yorkshire","77","78"
"All","East Sussex","75","80"
"All","Enfield","73","75"
"All","Essex","76","77"
"All","Gateshead","74","80"
"All","Gloucestershire","75","76"
"All","Greenwich","78","82"
"All","Hackney","80","84"
"All","Halton","73","74"
"All","Hammersmith and Fulham","80","81"
"All","Hampshire","78","80"
"All","Haringey","78","78"
"All","Harrow","79","81"
"All","Hartlepool","75","79"
"All","Havering","77","80"
"All","Herefordshire, County of","75","80"
"All","Hertfordshire","78","78"
"All","Hillingdon","77","80"
"All","Hounslow","80","83"
"All","Isle of Wight","68","69"
"All","Isles of Scilly","!","!"
"All","Islington","76","79"
"All","Kensington and Chelsea","81","82"
"All","Kent","77","80"
"All","Kingston upon Hull, City of","72","74"
"All","Kingston upon Thames","80","80"
"All","Kirklees","72","75"
"All","Knowsley","69","75"
"All","Lambeth","78","81"
"All","Lancashire","74","76"
"All","Leeds","70","71"
"All","Leicester","71","73"
"All","Leicestershire","75","77"
"All","Lewisham","78","79"
"All","Lincolnshire","72","75"
"All","Liverpool","71","73"
"All","Luton","70","77"
"All","Manchester","72","75"
"All","Medway","75","81"
"All","Merton","78","79"
"All","Middlesbrough","67","70"
"All","Milton Keynes","74","78"
"All","Newcastle upon Tyne","76","77"
"All","Newham","79","83"
"All","Norfolk","74","75"
"All","North East Lincolnshire","71","76"
"All","North Lincolnshire","74","79"
"All","North Somerset","78","76"
"All","North Tyneside","78","79"
"All","North Yorkshire","75","75"
"All","Northamptonshire","75","75"
"All","Northumberland","77","81"
"All","Nottingham","70","73"
"All","Nottinghamshire","74","77"
"All","Oldham","68","73"
"All","Oxfordshire","76","77"
"All","Peterborough","69","74"
"All","Plymouth","71","75"
"All","Poole","79","81"
"All","Portsmouth","71","76"
"All","Reading","77","74"
"All","Redbridge","81","81"
"All","Redcar and Cleveland","76","80"
"All","Richmond upon Thames","84","85"
"All","Rochdale","72","75"
"All","Rotherham","73","76"
"All","Rutland","79","80"
"All","Salford","73","79"
"All","Sandwell","71","74"
"All","Sefton","74","77"
"All","Sheffield","73","75"
"All","Shropshire","74","74"
"All","Slough","75","80"
"All","Solihull","77","78"
"All","Somerset","76","77"
"All","South Gloucestershire","77","83"
"All","South Tyneside","75","79"
"All","Southampton","73","79"
"All","Southend-on-Sea","76","77"
"All","Southwark","77","79"
"All","St. Helens","73","77"
"All","Staffordshire","77","80"
"All","Stockport","74","75"
"All","Stockton-on-Tees","75","80"
"All","Stoke-on-Trent","70","73"
"All","Suffolk","72","75"
"All","Sunderland","73","81"
"All","Surrey","78","80"
"All","Sutton","79","84"
"All","Swindon","77","80"
"All","Tameside","70","76"
"All","Telford and Wrekin","75","78"
"All","Thurrock","77","80"
"All","Torbay","71","77"
"All","Tower Hamlets","75","80"
"All","Trafford","81","80"
"All","Wakefield","73","75"
"All","Walsall","71","76"
"All","Waltham Forest","79","82"
"All","Wandsworth","82","84"
"All","Warrington","77","80"
"All","Warwickshire","75","78"
"All","West Berkshire","75","78"
"All","West Sussex","73","74"
"All","Westminster","77","79"
"All","Wigan","74","79"
"All","Wiltshire","76","75"
"All","Windsor and Maidenhead","79","82"
"All","Wirral","72","76"
"All","Wokingham","81","81"
"All","Wolverhampton","73","77"
"All","Worcestershire","74","77"
"All","York","79","76"
"Asian","Barking and Dagenham","76","87"
"Asian","Barnet","81","84"
"Asian","Barnsley","90","60"
"Asian","Bath and North East Somerset","95","86"
"Asian","Bedford","69","64"
"Asian","Bexley","86","86"
"Asian","Birmingham","73","78"
"Asian","Blackburn with Darwen","72","82"
"Asian","Blackpool","86","84"
"Asian","Bolton","75","80"
"Asian","Bournemouth","85","86"
"Asian","Bracknell Forest","83","87"
"Asian","Bradford","72","78"
"Asian","Brent","79","84"
"Asian","Brighton and Hove","75","66"
"Asian","Bristol, City of","73","68"
"Asian","Bromley","88","91"
"Asian","Buckinghamshire","78","76"
"Asian","Bury","69","69"
"Asian","Calderdale","69","69"
"Asian","Cambridgeshire","81","81"
"Asian","Camden","74","79"
"Asian","Central Bedfordshire","81","88"
"Asian","Cheshire East","76","79"
"Asian","Cheshire West and Chester","77","82"
"Asian","City of London","!","!"
"Asian","Cornwall","78","89"
"Asian","County Durham","86","70"
"Asian","Coventry","78","82"
"Asian","Croydon","83","83"
"Asian","Cumbria","85","76"
"Asian","Darlington","78","84"
"Asian","Derby","72","76"
"Asian","Derbyshire","70","91"
"Asian","Devon","64","96"
"Asian","Doncaster","69","73"
"Asian","Dorset","77","78"
"Asian","Dudley","69","77"
"Asian","Ealing","81","81"
"Asian","East Riding of Yorkshire","88","92"
"Asian","East Sussex","86","81"
"Asian","Enfield","86","83"
"Asian","Essex","88","83"
"Asian","Gateshead","86","91"
"Asian","Gloucestershire","77","82"
"Asian","Greenwich","83","87"
"Asian","Hackney","85","88"
"Asian","Halton","50","N/A"
"Asian","Hammersmith and Fulham","80","88"
"Asian","Hampshire","80","87"
"Asian","Haringey","85","84"
"Asian","Harrow","85","88"
"Asian","Hartlepool","70","89"
"Asian","Havering","81","86"
"Asian","Herefordshire, County of","78","73"
"Asian","Hertfordshire","81","83"
"Asian","Hillingdon","81","87"
"Asian","Hounslow","85","86"
"Asian","Isle of Wight","100","67"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","78","86"
"Asian","Kensington and Chelsea","90","85"
"Asian","Kent","85","90"
"Asian","Kingston upon Hull, City of","100","74"
"Asian","Kingston upon Thames","78","81"
"Asian","Kirklees","70","75"
"Asian","Knowsley","89","86"
"Asian","Lambeth","76","85"
