"Gender","Ethnicity","FSM","Non FSM"
"Boys","All","59","77"
"Boys","Asian","67","78"
"Boys","Bangladeshi","71","76"
"Boys","Indian","70","84"
"Boys","Pakistani","65","72"
"Boys","Asian other","68","80"
"Boys","Black","67","74"
"Boys","Black African","69","75"
"Boys","Black Caribbean","59","68"
"Boys","Black other","64","71"
"Boys","Chinese","81","91"
"Boys","Mixed","63","78"
"Boys","Mixed White/Asian","66","82"
"Boys","Mixed White/Black African","64","78"
"Boys","Mixed White/Black Caribbean","59","72"
"Boys","Mixed other","65","79"
"Boys","White","56","78"
"Boys","White British","56","78"
"Boys","White Irish","52","79"
"Boys","Gypsy/Roma","30","34"
"Boys","Irish Traveller","31","42"
"Boys","White other","61","76"
"Boys","Other","64","74"
"Boys","Unknown","56","59"
"Girls","All","63","80"
"Girls","Asian","72","81"
"Girls","Bangladeshi","76","81"
"Girls","Indian","76","87"
"Girls","Pakistani","69","76"
"Girls","Asian other","73","83"
"Girls","Black","70","78"
"Girls","Black African","73","80"
"Girls","Black Caribbean","62","74"
"Girls","Black other","66","76"
"Girls","Chinese","85","92"
"Girls","Mixed","67","81"
"Girls","Mixed White/Asian","70","84"
"Girls","Mixed White/Black African","70","79"
"Girls","Mixed White/Black Caribbean","64","76"
"Girls","Mixed other","66","81"
"Girls","White","60","80"
"Girls","White British","60","80"
"Girls","White Irish","55","82"
"Girls","Gypsy/Roma","38","34"
"Girls","Irish Traveller","30","45"
"Girls","White other","63","77"
"Girls","Other","65","75"
"Girls","Unknown","66","59"
