"Ethnicity","Expected standard","Higher standard"
"All","76","22"
"Asian","78","24"
"Bangladeshi","78","22"
"Indian","85","32"
"Pakistani","73","17"
"Asian other","81","27"
"Black","74","20"
"Black African","76","21"
"Black Caribbean","69","14"
"Black other","72","17"
"Chinese","91","46"
"Mixed","77","23"
"Mixed White/Asian","81","29"
"Mixed White/Black African","76","21"
"Mixed White/Black Caribbean","71","15"
"Mixed other","78","24"
"White","76","22"
"White British","76","22"
"White Irish","76","26"
"Gypsy/Roma","34","3"
"Irish Traveller","36","3"
"White other","75","21"
"Other","72","19"
"Unknown","59","16"
