"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","All","76","%","3678","2804"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","73","%","1894","1387"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","79","%","1784","1417"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","All","79","%","4445","3523"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Boys","79","%","2264","1785"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Girls","80","%","2181","1738"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","All","75","%","3002","2239"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Boys","72","%","1548","1111"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Girls","78","%","1454","1128"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","All","77","%","1926","1483"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys","78","%","1009","786"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Girls","76","%","917","697"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","All","73","%","2300","1675"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Boys","72","%","1160","831"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Girls","74","%","1140","844"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","All","81","%","3346","2724"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Boys","81","%","1725","1393"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Girls","82","%","1621","1331"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","All","73","%","16733","12189"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Boys","72","%","8609","6162"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Girls","74","%","8124","6027"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","All","76","%","2237","1700"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Boys","74","%","1139","847"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Girls","78","%","1098","853"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","All","73","%","1683","1235"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","Boys","72","%","822","594"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","Girls","74","%","861","641"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","All","74","%","4041","2992"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","Boys","73","%","2069","1505"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","Girls","75","%","1972","1487"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bournemouth","Local authority","E06000028","All","79","%","1991","1563"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bournemouth","Local authority","E06000028","Boys","77","%","1013","780"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bournemouth","Local authority","E06000028","Girls","80","%","978","783"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bracknell Forest","Local authority","E06000036","All","80","%","1457","1159"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bracknell Forest","Local authority","E06000036","Boys","79","%","733","577"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bracknell Forest","Local authority","E06000036","Girls","80","%","724","582"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bradford","Local authority","E08000032","All","73","%","8037","5837"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bradford","Local authority","E08000032","Boys","71","%","4125","2939"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bradford","Local authority","E08000032","Girls","74","%","3912","2898"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Brent","Local authority","E09000005","All","75","%","3891","2929"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Brent","Local authority","E09000005","Boys","74","%","2066","1522"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Brent","Local authority","E09000005","Girls","77","%","1825","1407"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Brighton and Hove","Local authority","E06000043","All","76","%","2745","2076"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Brighton and Hove","Local authority","E06000043","Boys","74","%","1395","1038"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Brighton and Hove","Local authority","E06000043","Girls","77","%","1350","1038"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bristol, City of","Local authority","E06000023","All","75","%","5261","3922"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bristol, City of","Local authority","E06000023","Boys","74","%","2668","1980"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2017-18","Academic Year","Bristol, City of","Local authority","E06000023","Girls","75","%","2593","1942"
