"Ethnicity","Local authority","%"
"All","Barking and Dagenham","76"
"All","Barnet","80"
"All","Barnsley","75"
"All","Bath and North East Somerset","77"
"All","Bedford","70"
"All","Bexley","79"
"All","Birmingham","73"
"All","Blackburn with Darwen","75"
"All","Blackpool","72"
"All","Bolton","74"
"All","Bournemouth, Christchurch and Poole","78"
"All","Bracknell Forest","78"
"All","Bradford","74"
"All","Brent","76"
"All","Brighton and Hove","76"
"All","Bristol, City of","75"
"All","Bromley","80"
"All","Buckinghamshire","76"
"All","Bury","74"
"All","Calderdale","73"
"All","Cambridgeshire","75"
"All","Camden","75"
"All","Central Bedfordshire","77"
"All","Cheshire East","76"
"All","Cheshire West and Chester","73"
"All","City of London","!"
"All","Cornwall","72"
"All","County Durham","77"
"All","Coventry","73"
"All","Croydon","78"
"All","Cumbria","75"
"All","Darlington","75"
"All","Derby","74"
"All","Derbyshire","75"
"All","Devon","74"
"All","Doncaster","74"
"All","Dorset","75"
"All","Dudley","73"
"All","Ealing","77"
"All","East Riding of Yorkshire","75"
"All","East Sussex","78"
"All","Enfield","73"
"All","Essex","77"
"All","Gateshead","75"
"All","Gloucestershire","74"
"All","Greenwich","80"
"All","Hackney","80"
"All","Halton","71"
"All","Hammersmith and Fulham","80"
"All","Hampshire","80"
"All","Haringey","77"
"All","Harrow","80"
"All","Hartlepool","75"
"All","Havering","79"
"All","Herefordshire, County of","79"
"All","Hertfordshire","76"
"All","Hillingdon","78"
"All","Hounslow","79"
"All","Isle of Wight","70"
"All","Isles of Scilly","!"
"All","Islington","78"
"All","Kensington and Chelsea","82"
"All","Kent","78"
"All","Kingston upon Hull, City of","73"
"All","Kingston upon Thames","80"
"All","Kirklees","74"
"All","Knowsley","72"
"All","Lambeth","79"
"All","Lancashire","74"
"All","Leeds","71"
"All","Leicester","73"
"All","Leicestershire","76"
"All","Lewisham","76"
"All","Lincolnshire","73"
"All","Liverpool","71"
"All","Luton","73"
"All","Manchester","72"
"All","Medway","77"
"All","Merton","79"
"All","Middlesbrough","71"
"All","Milton Keynes","77"
"All","Newcastle upon Tyne","76"
"All","Newham","80"
"All","Norfolk","74"
"All","North East Lincolnshire","75"
"All","North Lincolnshire","76"
"All","North Somerset","76"
"All","North Tyneside","78"
"All","North Yorkshire","74"
"All","Northamptonshire","75"
"All","Northumberland","79"
"All","Nottingham","72"
"All","Nottinghamshire","75"
"All","Oldham","71"
"All","Oxfordshire","76"
"All","Peterborough","70"
"All","Plymouth","72"
"All","Portsmouth","73"
"All","Reading","73"
"All","Redbridge","80"
"All","Redcar and Cleveland","77"
"All","Richmond upon Thames","82"
"All","Rochdale","71"
"All","Rotherham","73"
"All","Rutland","79"
"All","Salford","75"
