"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","75","24","77","19"
"Asian","76","26","80","23"
"Bangladeshi","74","24","79","22"
"Indian","83","34","87","31"
"Pakistani","71","19","75","16"
"Asian other","77","29","81","25"
"Black","71","20","77","18"
"Black African","73","21","79","19"
"Black Caribbean","65","14","71","12"
"Black other","69","19","75","16"
"Chinese","90","52","92","45"
"Mixed","75","25","78","21"
"Mixed White/Asian","81","32","83","27"
"Mixed White/Black African","75","23","77","20"
"Mixed White/Black Caribbean","69","17","72","15"
"Mixed other","76","27","78","21"
"White","75","24","77","19"
"White British","75","24","77","19"
"White Irish","78","29","80","23"
"Gypsy/Roma","34","4","34","4"
"Irish Traveller","34","4","41","4"
"White other","74","24","76","19"
"Other","71","21","72","17"
"Unknown","58","17","59","14"
