"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","76","%","3786","2866"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","73","%","1988","1442"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","79","%","1798","1424"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","80","%","4485","3568"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","80","%","2269","1814"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","79","%","2216","1754"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All","6-7","75","%","3017","2251"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Boys","6-7","72","%","1499","1079"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Girls","6-7","77","%","1518","1172"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All","6-7","77","%","1892","1454"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys","6-7","77","%","962","744"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Girls","6-7","76","%","930","710"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bedford","Local authority","E06000055","All","6-7","70","%","2327","1626"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bedford","Local authority","E06000055","Boys","6-7","71","%","1198","851"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bedford","Local authority","E06000055","Girls","6-7","69","%","1129","775"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bexley","Local authority","E09000004","All","6-7","79","%","3272","2597"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bexley","Local authority","E09000004","Boys","6-7","79","%","1688","1335"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bexley","Local authority","E09000004","Girls","6-7","80","%","1584","1262"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Birmingham","Local authority","E08000025","All","6-7","73","%","16630","12186"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Birmingham","Local authority","E08000025","Boys","6-7","71","%","8612","6117"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Birmingham","Local authority","E08000025","Girls","6-7","76","%","8018","6069"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","All","6-7","75","%","2258","1697"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","Boys","6-7","74","%","1164","859"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","Girls","6-7","77","%","1094","838"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Blackpool","Local authority","E06000009","All","6-7","72","%","1736","1247"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Blackpool","Local authority","E06000009","Boys","6-7","70","%","877","618"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Blackpool","Local authority","E06000009","Girls","6-7","73","%","859","629"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bolton","Local authority","E08000001","All","6-7","74","%","4191","3104"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bolton","Local authority","E08000001","Boys","6-7","73","%","2146","1565"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bolton","Local authority","E08000001","Girls","6-7","75","%","2045","1539"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All","6-7","78","%","4166","3242"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Boys","6-7","77","%","2165","1671"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","Girls","6-7","79","%","2001","1571"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","All","6-7","78","%","1448","1124"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","Boys","6-7","77","%","721","555"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","Girls","6-7","78","%","727","569"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bradford","Local authority","E08000032","All","6-7","74","%","7865","5820"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bradford","Local authority","E08000032","Boys","6-7","72","%","3993","2878"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bradford","Local authority","E08000032","Girls","6-7","76","%","3872","2942"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brent","Local authority","E09000005","All","6-7","76","%","3881","2949"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brent","Local authority","E09000005","Boys","6-7","74","%","1987","1464"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brent","Local authority","E09000005","Girls","6-7","78","%","1894","1485"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","All","6-7","76","%","2676","2044"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","Boys","6-7","74","%","1324","981"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","Girls","6-7","79","%","1352","1063"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","All","6-7","75","%","5351","4004"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","Boys","6-7","76","%","2700","2039"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","Girls","6-7","74","%","2651","1965"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bromley","Local authority","E09000006","All","6-7","80","%","3995","3211"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bromley","Local authority","E09000006","Boys","6-7","79","%","2004","1588"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Bromley","Local authority","E09000006","Girls","6-7","82","%","1991","1623"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","All","6-7","76","%","6575","5022"
"Percentage of pupils reaching the expected standard in key stage 1 maths","All","All","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","Boys","6-7","76","%","3346","2531"
